,index,city_st
906,"Bismarck, ND",2
250,"Blacksburg, VA",3
495,"Blaine, MN",2
2627,"Bloomfield, CT",1
591,"Bloomfield, NJ",2
236,"Bloomington, IL",4
337,"Bloomington, IN",3
1102,"Bloomsburg, PA",1
1479,"Blue Springs, MO",1
1635,"Bluefield, WV",1
2416,"Bluffton, SC",1
316,"Boca Raton, FL",3
803,"Boerne, TX",2
118,"Boise, ID",6
2252,"Bolingbrook, IL",1
2392,"Bologna, Italy",1
1306,"Bonita Springs, FL",1
483,"Bonn, Germany",2
2122,"Bonney Lake, WA",1
2204,"Boone, IA",1
590,"Boone, NC",2
2066,"Bordentown, NJ",1
16,"Boston, MA",12
760,"Bothell, WA",2
1239,"Boulder City, NV",1
222,"Boulder, CO",4
2102,"Boulder, UT",1
2103,"Bourbon County, KS",1
120,"Bowling Green, KY",6
432,"Bowling Green, OH",3
2148,"Bowling Green, VA",1
1367,"Boyertown, PA",1
395,"Boynton Beach, FL",3
507,"Bozeman, MT",2
1439,"Bradenton, FL",1
1510,"Bradford, PA",1
842,"Bradley, IL",2
815,"Brainerd, MN",2
2182,"Branford, CT",1
703,"Branson, MO",2
1811,"Braselton, GA",1
385,"Brattleboro, VT",3
1478,"Brea, CA",1
2307,"Breckenridge, CO",1
2042,"Breckinridge, CO",1
1024,"Brecksville, OH",1
641,"Bremerton, WA",2
2014,"Brenham, TX",1
2115,"Brentwood, CA",1
1332,"Brentwood, MO",1
1462,"Brentwood, NY",1
486,"Brevard, NC",2
1070,"Brewster, NY",1
1018,"Brewton, AL",1
2045,"Briarwood, NY",1
1845,"Brick, NJ",1
1989,"Bridgehampton, NY",1
378,"Bridgeport, CT",3
1819,"Bridgeport, PA",1
2295,"Bridgewater, CT",1
918,"Bridgewater, MA",2
1743,"Bridgewater, NJ",1
961,"Brighton, MI",1
1351,"Brighton, NY",1
873,"Bristol, CT",2
1256,"Bristol, NH",1
2400,"Bristol, PA",1
2472,"Bristol, RI",1
1261,"Bristol, TN",1
2464,"Bristol, VA",1
137,"Brockton, MA",5
1894,"Broken Arrow, OK",1
2544,"Broken Bow, NE",1
1851,"Bronson, FL",1
604,"Bronx, NY",2
1916,"Brookfield, MO",1
793,"Brookfield, WI",2
1368,"Brookhaven, GA",1
2624,"Brookings, OR",1
807,"Brookings, SD",2
122,"Brooklyn, NY",6
1524,"Broward County Library. A line of sheriff's deputies blocked the north side of the intersection; Fort Lauderdale police officers stood in a line on the east side. Officers were equipped with riot gear, including helmets and shields. Some officers were on horses, and armored vehicles were deployed. Windows were broken in stores and government buildings; two were arrested for looting. An art work valued at $58,000 was destroyed. Police used tear gas and percussion grenades. About 8, FL",1
1686,"Brown Deer, WI",1
2602,"Brownsburg, IN",1
934,"Brownsville, TX",1
1146,"Brownwood, TX",1
652,"Brunswick, GA",2
388,"Brunswick, ME",3
1104,"Bryan, OH",1
225,"Bryan, TX",4
2259,"Bryson City, NC",1
1892,"Bucyrus, OH",1
2247,"Buda, TX",1
1945,"Buellton, CA",1
2245,"Buena Park, CA",1
2147,"Buffalo Grove, IL",1
50,"Buffalo, NY",9
1796,"Bullhead City, AZ",1
1220,"Burbank, CA",1
1201,"Burien, WA",1
689,"Burke, VA",2
1564,"Burlington, IA",1
1241,"Burlington, NC",1
207,"Burlington, VT",4
1132,"Burlington, WA",1
1717,"Burlington, WI",1
1293,"Burns, OR",1
1946,"Burnsville, NC",1
1792,"Butler, AL",1
929,"Butler, PA",2
2302,"Butte, MT",1
2125,"Buzzards Bay, MA",1
2129,"Cabot, AR",1
984,"Cadillac, MI",1
340,"Calabasas, CA",3
2236,"Caldwell, NJ",1
1886,"Caledonia, NY",1
443,"Calexico, CA",2
729,"Callicoon, NY",2
826,"Calumet City, IL",2
1559,"Camarillo, CA",1
2263,"Camas, WA",1
282,"Cambridge, MA",3
552,"Cambridge, MD",2
2113,"Cambridge, NY",1
954,"Cambridge, OH",1
1390,"Cambridge, WI",1
2367,"Camden, ME",1
861,"Camden, NJ",2
2134,"Camdenton, MO",1
2592,"Canal Winchester, OH",1
1391,"Canandaigua, NY",1
1218,"Canova Park, FL",1
1375,"Canton, IL",1
1222,"Canton, MO",1
2288,"Canton, NC",1
1069,"Canton, NY",1
1389,"Canton, New York, NY",1
238,"Canton, OH",4
1334,"Canyon, TX",1
2343,"Cape Cod, MA",1
1076,"Cape Coral, FL",1
1858,"Cape Elizabeth, ME",1
1308,"Cape Girardeau, MO",1
2387,"Cape May, NJ",1
339,"Carbondale, IL",3
2281,"Cardiff, CA",1
2072,"Carefree, AZ",1
2634,"Caribou, ME",1
1996,"Carleton, MI",1
2346,"Carlinville, IL",1
303,"Carlisle, PA",3
1784,"Carlsbad, CA",1
593,"Carlsbad, NM",2
2235,"Carlstadt, NJ",1
1011,"Carmel, IN",1
884,"Carmel, NY",2
2616,"Caro, MI",1
1716,"Carol Stream, IL",1
624,"Carrollton, GA",2
1543,"Carrollton, OH",1
2163,"Carrollton, TX",1
1037,"Carson City, NV",1
1252,"Carson, CA",1
1821,"Cartersville, GA",1
2466,"Carterville, IL",1
1509,"Cary, NC",1
1051,"Casa Grande, AZ",1
817,"Casper, WY",2
1982,"Castle Rock, CO",1
1388,"Castro Valley, CA",1
1296,"Catasauqua, PA",1
764,"Catskill, NY",2
2313,"Cazenovia, NY",1
685,"Cedar City, UT",2
857,"Cedar Hill, TX",2
960,"Cedar Park, TX",1
193,"Cedar Rapids, IA",4
1106,"Cedartown, GA",1
1645,"Cederhurst, NY",1
1891,"Celina, OH",1
1499,"Celina, TX",1
1629,"Center, TX",1
2276,"Centerville, OH",1
2476,"Centralia, IL",1
759,"Centralia, WA",2
1713,"Centreville, MD",1
2231,"Century City, CA",1
1301,"Century City, Los Angeles, CA",1
2089,"Cerdarhurst, NY",1
1826,"Cerritos, CA",1
278,"Chadron, NE",3
505,"Chagrin Falls, OH",2
778,"Chambersburg, PA",2
217,"Champaign, IL",4
2383,"Champaign–Urbana, IL",1
133,"Chandler, AZ",5
520,"Chapel Hill, NC",2
2299,"Charles Town, WV",1
996,"Charleston, IL",1
91,"Charleston, SC",7
389,"Charleston, WV",3
2625,"Charlevoix, MI",1
17,"Charlotte, NC",12
157,"Charlottesville, VA",5
1202,"Chaska, MN",1
953,"Chatham, MA",1
2239,"Chatsworth, CA",1
31,"Chattanooga, TN",10
2429,"Cheboygan, MI",1
283,"Chehalis, WA",3
2169,"Chelan, WA",1
1170,"Chelsea, MA",1
2524,"Chelsea, MI",1
1662,"Chenoa, IL",1
1319,"Cherry Hill, NJ",1
678,"Chesapeake, VA",2
410,"Cheshire, CT",3
1415,"Chester, SC",1
608,"Chester, VT",2
1473,"Chesterfield, MO",1
