,index,city_st
2105,"Grand Marais, MN",1
1238,"Grand Prairie, TX",1
83,"Grand Rapids, MI",7
2591,"Grandview, WA",1
1777,"Granite City, IL",1
544,"Granite Falls, WA",2
876,"Grants Pass, OR",2
2238,"Granville, OH",1
2421,"Grass Valley, CA",1
1809,"Grayslake, IL",1
639,"Great Barrington, MA",2
768,"Great Bend, KS",2
1910,"Great Falls, MI",1
1605,"Great Falls, MN",1
2095,"Great Falls, MT",1
1356,"Greeley, CO",1
202,"Green Bay, WI",4
1650,"Green Valley, AZ",1
2619,"Greencastle, IN",1
1484,"Greencastle, PA",1
1978,"Greeneville, TN",1
1672,"Greenfield, IN",1
297,"Greenfield, MA",3
2229,"Greenlawn, NY",1
99,"Greensboro, NC",6
575,"Greensburg, PA",2
1035,"Greenville, KY",1
679,"Greenville, NC",2
1554,"Greenville, PA",1
279,"Greenville, SC",3
634,"Greenville, TX",2
869,"Greenwich, CT",2
2284,"Greenwood, IN",1
1689,"Greenwood, MS",1
1370,"Greenwood, SC",1
466,"Gresham, OR",2
1652,"Griffith, IN",1
956,"Grosse Pointe Woods, MI",1
1327,"Groton, CT",1
1577,"Grottoes, VA",1
2446,"Grove City, OH",1
994,"Grove City, PA",1
1074,"Grove, OK",1
1442,"Grundy Center, IA",1
1385,"Guilford, CT",1
2202,"Guilford, ME",1
1068,"Gulfport, MS",1
1254,"Gunnison, CO",1
471,"Hackensack, NJ",2
1794,"Hackettstown, NJ",1
2309,"Haddonfield, NJ",1
367,"Hagerstown, MD",3
2258,"Hagåtña, Guam",1
1007,"Hailey, ID",1
1583,"Haines, AK",1
995,"Half Moon Bay, CA",1
946,"Hallandale Beach, FL",1
1010,"Hamburg, Germany",1
2308,"Hamburg, PA",1
364,"Hamden, CT",3
461,"Hamilton, MT",2
1273,"Hamilton, NJ",1
1050,"Hamilton, NY",1
534,"Hamilton, OH",2
836,"Hammond, IN",2
1232,"Hammond, LA",1
1440,"Hampton Beach, NH",1
1303,"Hampton Roads, VA",1
2588,"Hampton, NH",1
131,"Hampton, VA",5
1546,"Hanalei, HI",1
2292,"Hancock Park, CA",1
269,"Hancock, MI",3
2459,"Hanford, CA",1
2301,"Hannibal, MO",1
1477,"Hanover, NH",1
307,"Hanover, PA",3
1768,"Happy Valley, OR",1
1999,"Harlan, KY",1
1376,"Harrisburg, NC",1
246,"Harrisburg, PA",4
1364,"Harrison, AR",1
908,"Harrisonburg, VA",2
1264,"Harrodsburg, KY",1
15,"Hartford, CT",12
1445,"Harvard, NE",1
1065,"Harvey, LA",1
1541,"Harwich, MA",1
1742,"Hasbrouck Heights, NJ",1
1988,"Hastings, NE",1
2090,"Hattiesburg, MS",1
870,"Haverhill, MA",2
2569,"Havre de Grace, MD",1
981,"Havre, MT",1
1414,"Haw River, NC",1
1511,"Hawthorne, NJ",1
1798,"Hays, KS",1
161,"Hayward, CA",5
1060,"Hayward, WI",1
1884,"Hazard, KY",1
1920,"Healdsburg, CA",1
1237,"Healy, AK",1
2581,"Hebron, CT",1
333,"Helena, MT",3
1001,"Hemet, CA",1
917,"Hempstead, NY",2
642,"Henderson, KY",2
2154,"Henderson, NC",1
1957,"Hendersonville, NC",1
435,"Hermiston, OR",2
622,"Hermitage, PA",2
2076,"Hernando, MS",1
1818,"Herndon, VA",1
1304,"Herrin, IL",1
2195,"Hewlett, NY",1
1831,"Hiawassee, GA",1
2038,"Hibbing, MN",1
2499,"Hickory, NC",1
923,"High Point, NC",2
950,"Highland Park, IL",1
2323,"Highland Park, NJ",1
1840,"Highland Springs, VA",1
1915,"Highland, IL",1
2491,"Hightstown, NJ",1
1730,"Hillcrest, CA",1
770,"Hilliard, OH",2
1144,"Hillsboro, OH",1
669,"Hillsboro, OR",2
1911,"Hillsborough, NC",1
1955,"Hillside, NJ",1
216,"Hilo, HI",4
1752,"Hinesburg, VT",1
1192,"Hinesville, GA",1
1640,"Hinsdale, IL",1
2440,"Hobart, IL",1
1990,"Hobart, IN",1
2453,"Hoboken, NJ",1
2461,"Holbrook, MA",1
280,"Holland, MI",3
2388,"Hollidaysburg, PA",1
1651,"Hollister, CA",1
2081,"Holly Springs, NC",1
626,"Hollywood, CA",2
783,"Hollywood, FL",2
2280,"Holyoke, MA",1
78,"Homer, AK",8
2623,"Homer, NY",1
1468,"Homestead, FL",1
1460,"Homewood, AL",1
2303,"Homewood, IL",1
1810,"Honesdale, PA",1
167,"Honolulu, HI",5
421,"Hood River, OR",3
1052,"Hood Rivier, OR",1
734,"Hoover, AL",2
1075,"Hopkinsville, KY",1
1503,"Hopkinton, MA",1
1505,"Hornell, NY",1
445,"Hot Springs, AR",2
728,"Houghton, MI",2
368,"Houma, LA",3
66,"Houston, TX",8
1274,"Howell, MI",1
2350,"Huber Heights, OH",1
1443,"Hudson, NY",1
1297,"Hudson, OH",1
2502,"Humboldt, TN",1
1907,"Huntersville, NC",1
1681,"Huntingdon, PA",1
351,"Huntington Beach, CA",3
1642,"Huntington, IN",1
1977,"Huntington, NY",1
967,"Huntington, WV",1
97,"Huntsville, AL",6
754,"Huntsville, TX",2
833,"Hutchinson, KS",2
755,"Hyannis, MA",2
328,"Idaho Falls, ID",3
1781,"Imperial Beach, CA",1
1926,"Indiana, PA",1
1409,"Indianapolis, IA",1
53,"Indianapolis, IN",9
2419,"Indiantown, FL",1
2064,"Indio, CA",1
58,"Iowa City, IA",9
2086,"Iron Mountain, MI",1
2565,"Ironwood, MI",1
502,"Irvine, CA",2
2452,"Isla Vista, CA",1
629,"Islip, NY",2
773,"Issaquah, WA",2
263,"Ithaca, NY",3
597,"Jackson, IL",2
1775,"Jackson, MI",1
158,"Jackson, MS",5
2000,"Jackson, NJ",1
650,"Jackson, TN",2
2305,"Jackson, WY",1
657,"Jacksonville, AL",2
106,"Jacksonville, FL",6
1976,"Jacksonville, IL",1
2636,"Jacksonville, NC",1
2013,"Jacksonville, TX",1
1155,"Jamaica Plain, MA",1
1012,"Jamestown, ND",1
1665,"Jamestown, NY",1
1823,"Janesville, WI",1
1547,"Jasper, AL",1
2426,"Jasper, IN",1
2110,"Jasper, TX",1
758,"Jefferson City, MO",2
1972,"Jefferson, GA",1
1944,"Jeffersonville, GA",1
791,"Jeffersonville, IN",2
938,"Jensen Beach, FL",1
306,"Jersey City, NJ",3
785,"John Day, OR",2
145,"Johnson City, TN",5
1940,"Johnstown, PA",1
383,"Joliet, IL",3
253,"Jonesboro, AR",3
436,"Joplin, MO",2
1016,"Joshua Tree, CA",1
1951,"Joshua Tree/Twentynine Palms/Yucca Valley, CA",1
1437,"Julian, CA",1
2277,"Junction City, KS",1
537,"Juneau, AK",2
784,"Jupiter, FL",2
619,"Kahului, HI",2
252,"Kailua-Kona, HI",3
1514,"Kalama, WA",1
110,"Kalamazoo, MI",6
1723,"Kalispell, MT",1
1632,"Kanab, UT",1
1876,"Kane, IL",1
1290,"Kankakee, IL",1
369,"Kansas City, KS",3
48,"Kansas City, MO",9
2430,"Kansasville, WI",1
563,"Kapolei, HI",2
1854,"Katy, TX",1
2032,"Keansburg, NJ",1
738,"Kearney, NE",2
1315,"Keene Valley, New York, NY",1
771,"Keene, NH",2
2213,"Keene, NY",1
2536,"Keller, TX",1
828,"Kennebunk, ME",2
612,"Kennesaw, GA",2
1521,"Kennett Square, PA",1
352,"Kennewick, WA",3
2026,"Kenosha, WI",1
1406,"Kent, CT",1
213,"Kent, OH",4
1580,"Keokuk, IA",1
1721,"Kerrville, TX",1
699,"Ketchikan, AK",2
2091,"Ketchum, ID",1
2297,"Kettering, OH",1
895,"Kewanee, IL",2
1544,"Key Largo, FL",1
558,"Key West, FL",2
2246,"Keyser, WV",1
2385,"Kiel, WI",1
330,"Killeen, TX",3
2029,"Killingly, CT",1
2487,"Kilmarnock, VA",1
856,"King of Prussia, PA",2
1497,"Kingfield, ME",1
1964,"Kingman, AZ",1
2396,"Kingsport, TN",1
880,"Kingston, NY",2
1260,"Kingsville, TX",1
1055,"Kinston, NC",1
735,"Kirkland, WA",2
2366,"Kirksville, MO",1
834,"Kirkwood, MO",2
1286,"Kissimmee, FL",1
2083,"Kittanning, PA",1
1790,"Klamath Falls, OR",1
1059,"Knightdale, NC",1
142,"Knoxville, TN",5
1655,"Kodiak, AK",1
286,"Kokomo, IN",3
2492,"Kotzebue, AK",1
1063,"Kutztown, PA",1
1709,"La Cañada Flintridge, CA",1
2427,"La Conner, WA",1
1072,"La Crescenta-Montrose, CA",1
186,"La Crosse, WI",4
1316,"La Grande, OR",1
1834,"La Grange, IL",1
2622,"La Habra, CA",1
1204,"La Marque, TX",1
748,"La Mesa, CA",2
2261,"La Mirada, CA",1
2465,"La Plata, MD",1
1822,"La Porte, IN",1
1621,"La Porte, TX",1
1522,"La Puente, CA",1
1788,"La Quinta, CA",1
1134,"La Salle, IL",1
1083,"La Verne, CA",1
1828,"LaGrange, GA",1
2518,"LaSalle, IL",1
2500,"Lafayette, CA",1
2621,"Lafayette, IA",1
431,"Lafayette, IN",3
314,"Lafayette, LA",3
413,"Laguna Beach, CA",3
1212,"Laguna Niguel, CA",1
568,"Lake Charles, LA",2
1950,"Lake City, FL",1
2197,"Lake Elsinore, CA",1
1100,"Lake Forest Park, WA",1
2448,"Lake Forest, CA",1
2210,"Lake Forest, IL",1
804,"Lake Havasu City, AZ",2
1690,"Lake Havasu, CA",1
1807,"Lake Nona, FL",1
1346,"Lake Oswego, OR",1
2331,"Lake Station, IN",1
1532,"Lake Stevens, WA",1
1557,"Lake Worth Beach, FL",1
2208,"Lake Worth, FL",1
2469,"Lake Zurich, IL",1
781,"Lakeland, FL",2
1003,"Lakewood, CA",1
1278,"Lakewood, NJ",1
2508,"Lakewood, OH",1
1872,"Lakewood, WA",1
2005,"Lambertville, MI",1
670,"Lambertville, NJ",2
1589,"Lampasas, TX",1
1973,"Lancaster, CA",1
1476,"Lancaster, OH",1
384,"Lancaster, PA",3
1150,"Lancaster, SC",1
124,"Lansing, MI",6
1109,"Lansing, PA",1
2609,"Lapeer, MI",1
315,"Laramie, WY",3
415,"Laredo, TX",3
89,"Las Cruces, NM",7
49,"Las Vegas, NV",9
1481,"Latrobe, PA",1
1240,"Laurel, MA",1
2278,"Laurel, MD",1
1764,"Laurinburg, NC",1
2555,"Lawrence, KS",1
376,"Lawrence, MA",3
348,"Lawrenceville, GA",3
1246,"Lawrenceville, VA",1
853,"Lawton, OK",2
1153,"Le Mars, IA",1
724,"League City, TX",2
494,"Leavenworth, KS",2
1197,"Leavenworth, WA",1
513,"Lebanon, KY",2
1371,"Lebanon, MO",1
1896,"Lebanon, OH",1
1786,"Lebanon, OR",1
1329,"Lebanon, PA",1
2033,"Lebanon, TN",1
2528,"Lebanon, VA",1
1696,"Ledyard, CT",1
2009,"Leesburg, FL",1
1292,"Leesburg, VA",1
1096,"Leesville, LA",1
986,"Lehigh Acres, FL",1
2340,"Lehighton, PA",1
2347,"Leisure World, MD",1
745,"Leitchfield, KY",2
1741,"Lemoore, CA",1
1395,"Lenoir, NC",1
2595,"Leominster, MA",1
2338,"Leonardtown, MD",1
1558,"Levelland, TX",1
2267,"Levittown, PA",1
2027,"Lewisburg, PA",1
2541,"Lewisburg, WV",1
2166,"Lewiston, ID",1
289,"Lewiston, ME",3
1694,"Lewisville, TX",1
11,"Lexington, KY",14
1507,"Lexington, MA",1
1175,"Lexington, NC",1
1226,"Lexington, VA",1
1735,"Liberal, KS",1
1602,"Lihue, HI",1
988,"Lima, OH",1
1813,"Lincoln City, OR",1
57,"Lincoln, NE",9
1525,"Linden, NJ",1
578,"Lindenhurst, NY",2
1448,"Litchfield, CT",1
2310,"Lititz, PA",1
976,"Little Elm, TX",1
56,"Little Rock, AR",9
2503,"Littleton, NH",1
636,"Livermore, CA",2
719,"Livingston Manor, NY",2
1639,"Livingston, NJ",1
298,"Livonia, MI",3
1433,"Lock Haven, PA",1
972,"Lockhart, TX",1
1948,"Lockport, NY",1
1200,"Locust Grove, VA",1
2040,"Lodi, CA",1
1088,"Logan, UT",1
1172,"Loganville, GA",1
588,"Lompoc, CA",2
2574,"Londonderry, NH",1
1082,"Long Beach Island, NJ",1
174,"Long Beach, CA",4
1925,"Long Beach, NY",1
668,"Long Branch, NJ",2
1962,"Long Island, NY",1
418,"Longmont, CO",3
179,"Longview, TX",4
277,"Longview, WA",3
1869,"Lopez Island, WA",1
1110,"Lorain, OH",1
2632,"Los Alamitos, CA",1
1880,"Los Alamos, NM",1
449,"Los Altos, CA",2
5,"Los Angeles, CA",16
2078,"Los Banos, CA",1
1180,"Los Gatos, CA",1
54,"Louisville, KY",9
2046,"Loveland, CO",1
1268,"Lowell, IL",1
802,"Lowell, MA",2
2349,"Lower Peninsula, MI",1
2172,"Lowville, NY",1
919,"Loyalton, CA",2
1093,"Loìza, Puerto Rico",1
1536,"Loíza, Puerto Rico",1
392,"Lubbock, TX",3
625,"Ludington, MI",2
2001,"Ludlow, VT",1
1355,"Ludowici, GA",1
797,"Lufkin, TX",2
476,"Lumberton, NC",2
2486,"Lyme, CT",1
208,"Lynchburg, VA",4
630,"Lynn, MA",2
2070,"Lynnwood, WA",1
1331,"Machias, ME",1
1413,"Mackinac Island, MI",1
617,"Macomb, IL",2
1969,"Macomb, MI",1
135,"Macon, GA",5
2291,"Madera, CA",1
830,"Madison, CT",2
1538,"Madison, NJ",1
26,"Madison, WI",10
532,"Madisonville, KY",2
1006,"Mahomet, IL",1
1731,"Maine Township, IL",1
753,"Malibu, CA",2
176,"Manassas, VA",4
296,"Manchester, CT",3
294,"Manchester, NH",3
2187,"Manchester, NJ",1
1791,"Manchester, VT",1
2460,"Manhattan Beach, CA",1
143,"Manhattan, KS",5
251,"Manhattan, NY",3
1039,"Manheim, PA",1
2227,"Manitowoc, WI",1
1754,"Mankato, MN",1
1123,"Manlius, NY",1
1466,"Mansfield, MA",1
1722,"Mansfield, OH",1
2168,"Mansfield, PA",1
1322,"Mansfield, TX",1
1079,"Maple Valley, WA",1
1427,"Maplewood, MN",1
1751,"Maplewood, NJ",1
1660,"Maquoketa, IA",1
2420,"Marblehead, MA",1
467,"Marco Island, FL",2
1939,"Marfa, TX",1
468,"Maricopa, AZ",2
153,"Marietta, GA",5
1133,"Marietta, OH",1
1534,"Marin City, CA",1
1848,"Marinette, WI",1
2174,"Marinwood, CA",1
931,"Marion, IL",2
320,"Marion, IN",3
1787,"Marion, NC",1
2047,"Marion, OH",1
1678,Marquette,1
127,"Marquette, MI",6
1152,"Marrero, LA",1
2092,"Marshall, MI",1
2539,"Marshall, MO",1
178,"Marshall, TX",4
2069,"Marshalltown, IA",1
1275,"Marshfield, WI",1
2635,"Martha's Vineyard, MA",1
2002,"Martin, TN",1
463,"Martinsburg, WV",2
2384,"Martinsville, IN",1
808,"Martinsville, VA",2
1630,"Maryland Heights, MO",1
2173,"Marysville, CA",1
1426,"Marysville, OH",1
1467,"Maryville, MO",1
1291,"Maryville, TN",1
1008,"Mascoutah, IL",1
962,"Mashpee, MA",1
547,"Mason City, IA",2
1348,"Mason, OH",1
1900,"Massena, NY",1
2041,"Mathews, VA",1
1219,"Mattapoisett, MA",1
1617,"Mattoon, IL",1
915,"Maui, HI",2
1004,"May 28, Chicago",1
1773,"May 29, Chicago",1
942,"May 30, Chicago",1
2479,"Maynard, MA",1
1573,"Maywood, IL",1
1323,"McAlester, OK",1
1048,"McAllen, TX",1
1045,"McCook, NE",1
843,"McDonough, GA",2
35,"McKinney, TX",10
2468,"McLean, VA",1
794,"McMinnville, OR",2
2521,"McMinnville, TN",1
2152,"Meadville, PA",1
2488,"Medford, NJ",1
458,"Medford, OR",2
647,"Medina, OH",2
1166,"Melbourne, FL",1
4,"Memphis, TN",17
1449,"Menlo Park and East Palo Alto, CA",1
2306,"Menlo Park, CA",1
1562,"Menominee, MI",1
498,"Menomonie, WI",2
155,"Merced, CA",5
2633,"Mercer Island, WA",1
716,"Meriden, CT",2
2319,"Meriden, NH",1
810,"Meridian, MS",2
148,"Merrick, NY",5
1568,"Merrillville, IN",1
2551,"Merrimack, NH",1
2191,"Mesa City, AZ",1
595,"Mesa, AZ",2
1756,"Mesquite, TX",1
1997,"Metairie, LA",1
1770,"Metuchen, NJ",1
2077,"Mexico, MO",1
437,"Miami Beach, FL",2
1033,"Miami Lakes, FL",1
1893,"Miami Shores, FL",1
39,"Miami, FL",10
922,"Miami, OK",2
1080,"Miamisburg, OH",1
1971,"Michigan City, IN",1
1609,"Middle River, MD",1
1673,"Middle Township, NJ",1
681,"Middlebury, VT",2
982,"Middlesex, NJ",1
276,"Middletown, CT",3
2265,"Middletown, DE",1
2220,"Middletown, NY",1
305,"Middletown, OH",3
2415,"Midland, MI",1
242,"Midland, TX",4
1614,"Midlothian, TX",1
538,"Mifflinburg, PA",2
945,"Milan, Italy",1
1766,"Milford, CT",1
1397,"Milford, DE",1
2567,"Milford, MA",1
1776,"Milford, PA",1
301,"Mill Valley, CA",3
1452,"Millburn, NJ",1
1889,"Milledgeville, GA",1
614,"Millerton, NY",2
1703,"Millville, NJ",1
763,"Milton, MA",2
1974,"Milton, PA",1
1382,"Milton-Freewater, OR",1
8,"Milwaukee, WI",15
1902,"Milwaukie, OR",1
2170,"Minden, LA",1
846,"Mineola, NY",2
10,"Minneapolis, MN",15
1029,"Minneapolis–St. Paul, MN",1
510,"Minot, ND",2
1882,"Mira Mesa, CA",1
633,"Miramar, FL",2
1561,"Mishawaka, IN",1
71,"Missoula, MT",8
1529,"Missouri City, TX",1
2185,"Mitchell, SD",1
666,"Moab, UT",2
2139,"Moberly, MO",1
327,"Mobile, AL",3
2506,"Mobile, IL",1
146,"Modesto, CA",5
2162,"Molalla, OR",1
1966,"Monett, MO",1
1125,"Monmouth Junction, NJ",1
2436,"Monmouth, IL",1
1064,"Monmouth, ME",1
1420,"Monmouth, OR",1
1040,"Monroe Township, NJ",1
963,"Monroe, CT",1
419,"Monroe, GA",3
300,"Monroe, LA",3
1407,"Monroe, MI",1
1981,"Monroe, NC",1
792,"Monroe, NY",2
2371,"Monroe, WA",1
2526,"Monroeville, PA",1
881,"Monrovia, CA",2
2422,"Monson, MA",1
1724,"Montague, MI",1
2532,"Montauk, NY",1
2475,"Montclair, CA",1
693,"Montclair, NJ",2
2531,"Montebello, CA",1
334,"Monterey, CA",3
2398,"Montevideo, MN",1
94,"Montgomery, AL",6
1778,"Montgomery, NY",1
1186,"Monticello, AR",1
1311,"Monticello, IL",1
2140,"Monticello, NY",1
229,"Montpelier, VT",4
711,"Montrose, CA",2
541,"Montrose, CO",2
550,"Montrose, GA",2
2158,"Montville, CT",1
697,"Moorestown, NJ",2
1062,"Mooresville, IN",1
2433,"Mooresville, NC",1
1495,"Moorpark, CA",1
1628,"Moraga, CA",1
2612,"Morehead City, NC",1
1908,"Morehead, KY",1
747,"Moreno Valley, CA",2
1461,"Morgan Hill, CA",1
2608,"Morganton, NC",1
295,"Morgantown, WV",3
2215,"Morris, IL",1
2449,"Morristown, NJ",1
2626,"Morristown, TN",1
2474,"Morrisville, VT",1
2133,"Morro Bay, CA",1
1195,"Moscow, ID",1
823,"Moses Lake, WA",2
2409,"Moulton, AL",1
302,"Moultrie, GA",3
2318,"Mounds, IL",1
2254,"Mount Holly, NC",1
1169,"Mount Holly, NJ",1
514,"Mount Pleasant, MI",2
1921,"Mount Pleasant, SC",1
2434,"Mount Shasta, CA",1
2438,"Mount Vernon, IA",1
408,"Mount Vernon, NY",3
2039,"Mount Vernon, OH",1
717,"Mountain Brook, AL",2
194,"Mountain Home, AR",4
1817,"Mountain House, CA",1
136,"Mountain View, CA",5
710,"Mountlake Terrace, WA",2
2183,"Mt. Pleasant, MI",1
2560,"Mt. Pleasant, PA",1
1374,"Mt. Vernon, IL",1
444,"Mt. Vernon, ME",2
1005,"Mt. Vernon, NY",1
1399,"Mt. Vernon, OH",1
1624,"Mt. Vernon, WA",1
727,"Mukilteo, WA",2
426,"Muncie, IN",3
1141,"Munich, Germany",1
1691,"Munster, IN",1
175,"Murfreesboro, TN",4
2374,"Murphy, NC",1
557,"Murray, KY",2
1381,"Muscatine, IA",1
1128,"Muskegon, MI",1
2232,"Muskogee, OK",1
265,"Myrtle Beach, SC",3
1963,"Mystic, CT",1
777,"Nacogdoches, TX",2
2495,"Nanakuli, HI",1
1515,"Nantucket, MA",1
1622,"Nanuet, NY",1
1326,"Napa, CA",1
170,"Naperville, IL",5
268,"Naples, FL",3
990,"Naples, Italy",1
2011,"Naples, ME",1
920,"Narberth, PA",2
2454,"Narragansett, RI",1
1857,"Narrowsburg, NY",1
1941,"Nashua, NH",1
117,"Nashville, TN",6
2262,"Nashwauk, MN",1
1953,"Natchez, MS",1
686,"Natchitoches, LA",2
1215,"Naugatuck, CT",1
862,"Navarre, FL",2
2058,"Nazareth, PA",1
2553,"Nebraska City, NE",1
1918,"Neenah, WI",1
2274,"Nevada City, CA",1
1498,"New Albany, IN",1
134,"New Bedford, MA",5
354,"New Bern, NC",3
1158,"New Braunfels, TX",1
635,"New Britain, CT",2
780,"New Brunswick, NJ",2
397,"New Canaan, CT",3
2489,"New Castle, PA",1
64,"New Haven, CT",8
2477,"New Haven, MI",1
2171,"New Hope, PA",1
2062,"New Iberia, LA",1
750,"New Lenox, IL",2
371,"New London, CT",3
21,"New Orleans, LA",11
2160,"New Orleans, NY",1
1384,"New Paltz, NY",1
1608,"New Philadelphia, OH",1
1744,"New Port Richey, FL",1
2505,"New Providence, NJ",1
86,"New Rochelle, NY",7
1021,"New Smyrna Beach, FL",1
2599,"New Town, ND",1
0,"New York, NY",18
2018,"Newark, DE",1
164,"Newark, NJ",5
1164,"Newark, OH",1
2144,"Newberg, OR",1
257,"Newburgh, NY",3
662,"Newburyport, MA",2
356,"Newcastle, ME",3
2211,"Newcastle, WA",1
1895,"Newington, CT",1
1423,"Newland, NC",1
183,"Newnan, GA",4
928,"Newport Beach, CA",2
2342,"Newport Beach, California, CA",1
188,"Newport News, VA",4
2004,"Newport, OR",1
907,"Newport, RI",2
1111,"Newport, TN",1
2517,"Newport, VT",1
450,"Newton, IA",2
2557,"Newton, KS",1
423,"Newton, MA",3
805,"Newton, NC",2
2512,"Newton, NJ",1
983,"Newtown, CT",1
1868,"Newtown, PA",1
512,"Niagara Falls, NY",2
2425,"Nipomo, CA",1
2561,"Niskayuna, NY",1
438,"Nogales, AZ",2
1612,"Norfolk, NE",1
68,"Norfolk, VA",8
325,"Norman, OK",3
2052,"Normandy Park, WA",1
2563,"Norristown, PA",1
1863,"North Adams, MA",1
1887,"North Bend, WA",1
1310,"North Bergen, NJ",1
1695,"North Brunswick, NJ",1
1820,"North Canton, OH",1
285,"North Charleston, SC",3
1922,"North Conway, NH",1
944,"North Kingstown, RI",1
1167,"North Myrtle Beach, SC",1
1185,"North Naples, FL",1
2410,"North Plainfield, NJ",1
1209,"North Platte, NE",1
2282,"North Suffolk, VA",1
1943,"North Wilkesboro, NC",1
646,"Northampton, MA",2
2017,"Northbrook, IL",1
1267,"Norton, VA",1
1129,"Norwalk, CT",1
2224,"Norwalk, OH",1
347,"Norwich, CT",3
1400,"Norwich, NY",1
559,"Norwood, CO",2
1995,"Novato, CA",1
508,"Nutley, NJ",2
519,"Nyack, NY",2
1190,"O'Fallon, IL",1
1596,"O'Fallon, MO",1
1667,"Oahu, HI",1
743,"Oak Bluffs, MA",2
2127,"Oak Harbor, WA",1
851,"Oak Park, IL",2
1242,"Oak Ridge, TN",1
1372,"Oakdale, CA",1
19,"Oakland, CA",12
1531,"Oakley, CA",1
1808,"Oaks Bluff, MA",1
812,"Oakwood, OH",2
2471,"Ocala, FL",1
645,"Ocean City, MD",2
2286,"Ocean City, NJ",1
456,"Oceanside, CA",2
2523,"Oconomowoc, WI",1
232,"Odessa, TX",4
2597,"Ogden, UT",1
1867,"Ogdensburg, NY",1
1269,"Ogen, UT",1
2550,"Oil City, PA",1
2063,"Ojai, CA",1
32,"Oklahoma City, OK",10
905,"Olathe, KS",2
1305,"Old Fort, NC",1
2256,"Old Lyme, CT",1
565,"Old Saybrook, CT",2
509,"Olean, NY",2
795,"Olmsted Falls, OH",2
1748,"Olney, MD",1
70,"Olympia, WA",8
75,"Omaha, NE",8
2271,"Omak, WA",1
576,"Oneonta, NY",2
1860,"Ontario, CA",1
762,"Ontario, OR",2
613,"Opelika, AL",2
720,"Orange, CA",2
2538,"Orange, VA",1
765,"Orangeburg, SC",2
1457,"Orcas Island, WA",1
1465,"Oregon, WI",1
2403,"Orem, UT",1
2008,"Orland, CA",1
104,"Orlando, FL",6
2131,"Orleans, MA",1
926,"Orono, ME",2
1980,"Oroville, CA",1
814,"Oshkosh, WI",2
607,"Oskaloosa, IA",2
332,"Ossining, NY",3
997,"Oswego, IL",1
865,"Oswego, NY",2
485,"Ottawa, IL",2
2391,"Ottumwa, IA",1
2012,"Ouray, CO",1
168,"Overland Park, KS",5
602,"Owatonna, MN",2
221,"Owensboro, KY",4
2580,"Oxford, CT",1
1701,"Oxford, MS",1
1734,"Oxford, OH",1
165,"Oxnard, CA",5
2534,"Oyster Bay, NY",1
1747,"O’Fallon Township, IL",1
1262,"O’Hara, PA",1
1705,"Pacific Beach, CA",1
214,"Paducah, KY",4
2289,"Painesville, OH",1
1850,"Paintsville, KY",1
460,"Palatine, IL",2
1909,"Palestine, TX",1
701,"Palm Bay, FL",2
1761,"Palm Beach (town), FL",1
247,"Palm Beach, FL",4
1335,"Palm Coast, FL",1
2043,"Palm Desert, CA",1
359,"Palm Springs, CA",3
429,"Palmdale, CA",3
1421,"Palmer, AK",1
1960,"Palmerton, PA",1
243,"Palo Alto, CA",4
1578,"Palos Verdes Estates, CA",1
1986,"Panama City Beach, FL",1
829,"Panama City, FL",2
1720,"Parachute, CO",1
964,"Paramount, CA",1
978,"Paramus, NJ",1
1211,"Paris, France",1
1664,"Paris, TN",1
501,"Paris, TX",2
2631,"Park City, UT",1
425,"Park Rapids, MN",3
632,"Park Ridge, IL",2
522,"Parkersburg, WV",2
2382,"Parma, OH",1
1527,"Parsippany, NJ",1
1282,"Parsons, KS",1
92,"Pasadena, CA",7
1015,"Pasadena, MD",1
195,"Pasco, WA",4
2451,"Patchogue, NY",1
374,"Paterson, NJ",3
1666,"Pawleys Island, SC",1
2244,"Payson, AZ",1
1488,"Peabody, MA",1
2513,"Peachtree City, GA",1
1095,"Peconic, NY",1
2428,"Pecos, TX",1
2243,"Peekskill, NY",1
1168,"Pekin, IL",1
930,"Pelham, NY",2
2121,"Pembroke Pines, FL",1
1160,"Pendleton, IN",1
1535,"Pendleton, OR",1
2576,"Penn Yan, NY",1
2467,"Pennington, NJ",1
939,"Pennsburg, PA",1
1245,"Pennwynne, PA",1
33,"Pensacola, FL",10
858,"Peoria, IL",2
1441,"Perkasie, PA",1
886,"Perrysburg, OH",2
2364,"Perryville, MO",1
386,"Pescadero, CA",3
365,"Petal, MS",3
936,"Petaluma, CA",1
799,"Peterborough, NH",2
700,"Petersburg, VA",2
313,"Petoskey, MI",3
24,"Philadelphia, PA",11
658,"Philipsburg, PA",2
2298,"Phillipsburg, NJ",1
2,"Phoenix, AZ",18
1890,"Phoenixville, PA",1
1874,"Picayune, MS",1
1147,"Pickens, SC",1
1205,"Piedmont, CA",1
441,"Pierre, SD",2
951,"Pikeville, KY",1
2533,"Pine Bluff, AR",1
1599,"Pine City, MN",1
1572,"Pine Ridge, SD",1
1474,"Pinedale, WY",1
2189,"Piqua, OH",1
517,"Pitman, NJ",2
1797,"Pittsboro, NC",1
2054,"Pittsburg, KS",1
34,"Pittsburgh, PA",10
475,"Pittsfield, MA",2
237,"Pittsfield, MI",4
2586,"Pittsford, NY",1
643,"Placentia, CA",2
1661,"Placerville, CA",1
2490,"Plainfield, CT",1
2181,"Plainfield, IL",1
