id,date,city_st,location,size,size_str,urls,collection
31146,2020-05-30,"Savannah, GA","Savannah, GA",,nan,['https://www.islandpacket.com/news/local/community/article243170916.html'],Count Love
31157,2020-05-30,"Miami, OK","Miami, OK",,nan,['https://www.koamnewsnow.com/peaceful-protest-in-miami-honors-george-floyd/'],Count Love
31180,2020-05-30,"Lancaster, PA","Lancaster, PA",,nan,['https://lancasteronline.com/news/local/live-updates-arrests-have-been-made-at-todays-protests-police-using-pepper-spray-on-protesters/article_bce265ee-a34f-11ea-9184-931657faeaa4.html'],Count Love
31186,2020-05-30,"Santa Cruz, CA","Santa Cruz, CA",100.0,100.0,['https://abcnews.go.com/US/police-officers-stood-protesters-outraged-george-floyds-death/story?id=70984369'],Count Love
31240,2020-05-30,"Palm Beach, FL","Palm Beach, FL",,nan,['https://www.palmbeachdailynews.com/news/20200601/floyd-protests-town-of-palm-beach-extends-curfew-hours-after-sundayrsquos-demonstration'],Count Love
31247,2020-05-30,"Du Quoin, IL","Du Quoin, IL",20.0,20.0,"['https://thesouthern.com/news/local/1-man-with-a-black-lives-matter-sign-spurs-20-person-demonstration-in-du-quoin/article_faa3fca7-54d7-56bb-9838-22319ac8405d.html', 'https://thesouthern.com/news/local/more-than-200-attend-black-lives-matter-rally-in-du-quoin/article_7e7b870b-06a5-5192-b761-18003ef74601.html']",Count Love
31293,2020-05-30,"Eugene, OR","Eugene, OR",,nan,['https://www.kezi.com/content/news/10th-day-of-protesting-begins-as-crowd-gathers-in-downtown-Eugene-571085981.html'],Count Love
31338,2020-05-30,"Steubenville, OH","Steubenville, OH",50.0,50.0,['https://www.heraldstaronline.com/news/local-news/2020/06/steubenville-area-residents-aim-for-peaceful-protest-of-george-floyd-death/'],Count Love
31380,2020-05-30,"Lompoc, CA","Lompoc, CA",,nan,['https://www.sanluisobispo.com/news/local/crime/article243164971.html'],Count Love
31388,2020-05-30,"Pensacola, FL","Pensacola, FL",,nan,['https://www.pnj.com/story/news/2020/06/01/george-floyd-protests-supporters-bring-supplies-pensacola-protesters/5311113002/'],Count Love
29824,2020-05-31,"Des Moines, IA","Des Moines, IA",,nan,"['https://www.news.meredithlmg.com/watch-every-officer-at-des-moines-protest-kneels-in-solidarity/article_1301c098-a5c9-11ea-bb2b-93868d6bb792.html', 'https://www.desmoinesregister.com/story/news/2020/05/29/des-moines-rally-honor-george-floyd-black-man-killed-minneapolis-police/5282178002/', 'https://www.nhregister.com/news/article/Protesters-march-through-Iowa-capital-after-15305595.php', 'https://www.desmoinesregister.com/story/news/2020/05/31/what-we-know-george-floyd-protests-end-violence-arrests-des-moines-iowa/5299433002/']",Count Love
29829,2020-05-31,"Waterbury, CT","Waterbury, CT",20.0,20.0,"['https://www.courant.com/news/connecticut/hc-news-george-floyd-connecticut-protest-84-20200531-20200531-iqrb2lcypvewddnaqgg6wysxmu-story.html', 'https://www.ctpost.com/local/article/Protesters-stand-in-solidarity-as-CT-15312270.php', 'https://www.ctinsider.com/news/thehour/article/Protesters-police-find-common-ground-in-CT-as-15323230.php', 'https://www.wtnh.com/news/connecticut/new-haven/waterbury-reaction-to-officer-involved-killing-in-minneapolis-pastors-podcast-and-planned-protest/']",Count Love
29835,2020-05-31,"Lafayette, IN","Lafayette, IN",1200.0,1200.0,"['https://www.purdueexponent.org/city_state/article_0572f616-a391-11ea-9865-53ace4ead872.html', 'https://www.purdueexponent.org/city_state/article_ec9601ba-a480-11ea-b3a7-f78c89d936c7.html', 'https://www.jconline.com/story/news/2020/06/05/fencing-temporary-lights-go-up-around-courthouse-4th-demonstration-week-expected-saturday/3160950001/', 'https://www.purdueexponent.org/city_state/article_96c99da4-a1ed-11ea-aed2-bbb428ca02b7.html']",Count Love
29838,2020-05-31,"Austin, TX","Austin, TX",100.0,100.0,"['https://www.kvue.com/article/news/local/austin-protest-texas-capitol-floyd-ramos-police-black-lives-matter/269-1bde0077-b0d9-48f7-968e-583198a81432', 'https://www.itemonline.com/news/local_news/unrest-overshadows-peaceful-protests-across-us-including-rally-in-huntsville/article_3d897ce5-2166-5af5-9bda-8b08caabd194.html', 'https://www.usatoday.com/story/news/nation/2020/06/03/george-floyd-protests-quincy-mason-minneapolis-washington-curfew/3134191001/', 'https://www.chron.com/news/local/article/Man-critically-injured-by-Austin-police-during-15316983.php', 'https://www.kvue.com/article/news/local/george-floyd-protest-san-marcos/269-a7d8f987-0210-49e6-847c-797f417b6c57', 'https://www.kxan.com/news/local/austin/protesters-to-gather-outside-apd-hq-after-nine-arrested-during-overnight-demonstration/']",Count Love
29902,2020-05-31,"Mobile, AL","Mardi Gras Park, Mobile, AL",,nan,"['https://www.wkrg.com/mobile-county/we-still-cant-breathe-march-planned-in-mobile-sunday-afternoon/', 'https://www.al.com/news/2020/05/george-floyd-breonna-taylors-deaths-to-be-protested-in-mobile-on-sunday.html']",Count Love
29903,2020-05-31,"Eugene, OR","Alton Baker Park, Eugene, OR",2000.0,2000.0,"['https://www.registerguard.com/news/20200531/thousands-gather-march-in-eugene-to-support-black-lives-matter', 'https://www.dailyemerald.com/news/eugene-black-lives-matter-protest-attracts-thousands-after-george-floyd-s-death/article_3711f7bc-a3aa-11ea-8b8c-e72248710859.html', 'https://www.registerguard.com/news/20200608/in-thick-of-it-journalists-are-caught-in-protest-crossfires-locally-nationally', 'http://www.eugeneweekly.com/2020/05/29/black-lives-matter-rally-sunday/']",Count Love
