id,date,city_st,location,size,size_str,urls,collection
,2020-05-28,"Gettysburg, VA","Gettysburg Square, Gettysburg, VA",,,['https://www.abc27.com/news/local/protesters-fill-gettysburg-square-to-condemn-death-of-george-floyd/'],CCC
,2020-05-28,"Hayward, CA","Hayward Police Department , Hayward, CA",50.0,about 50,['https://sanfrancisco.cbslocal.com/2020/05/28/demonstrators-protest-hayward-police-shooting-man-driveway/'],CCC
,2020-05-28,"Lansing, MI","State Capitol, Lansing, MI",50.0,about 50,['https://www.detroitnews.com/story/news/politics/2020/05/28/we-have-arm-ourselves-michigan-demonstrators-protest-brutality/5275209002/'],CCC
,2020-05-28,"Las Vegas, NV","Las Vegas Boulevard, Las Vegas, NV",100.0,about a hundred,['https://www.ktnv.com/news/peaceful-demonstration-in-las-vegas-for-justice-after-george-floyds-death'],CCC
,2020-05-28,"Louisville, KY",", Louisville, KY",200.0,hundreds,"['https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html', 'https://www.nytimes.com/2020/05/29/us/louisville-protest-shooting-breonna-taylor.html']",CCC
,2020-05-28,"Louisville, KY",", Louisville, KY",200.0,hundreds,['https://www.courier-journal.com/story/news/2020/05/28/breonna-taylor-shooting-protesters-rally-downtown-louisville/5280279002/'],CCC
,2020-05-28,"Maplewood, MN","Maplewood Mall, Maplewood, MN",,,['http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/'],CCC
,2020-05-28,"Memphis, TN","National Civil Rights Museum , Memphis, TN",200.0,more than 200,['https://dailymemphian.com/article/14459/jim-strickland-george-floyd-memphis-protest'],CCC
,2020-05-28,"Minneapolis, MN",", Minneapolis, MN",,,"['https://abcnews.go.com/US/dangerous-protests-erupt-overnight-george-floyds-death-minneapolis/story?id=70924047', 'https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html']",CCC
,2020-05-28,"New York, NY","Union Square; Foley Square; City Hall; Zuccotti Park, New York, NY",200.0,about 200,"['https://www.nydailynews.com/new-york/nyc-crime/ny-protest-union-square-george-floyd-20200528-t5wka5sycjhu5kqxusu7zzy6ju-story.html', 'https://twitter.com/JoshuaPotash/status/1266120705420255236']",CCC
,2020-05-28,"Oakland, CA",", Oakland, CA",,,['https://abc7news.com/oakland-protest-george-floyd-black-lives-matter-minneapolis/6219682/'],CCC
,2020-05-28,"Omaha, NE","precinct at 30th and Taylor streets, Omaha, NE",40.0,about 40,['https://www.omaha.com/news/local/watch-now-omahans-rally-to-protest-death-of-george-floyd-black-minneapolis-man-at-hands/article_7a1b1c26-5c1e-5b06-88fa-c827fbaf33c5.html#6'],CCC
,2020-05-28,"Phoenix, AZ","City Hall; downtown; Capitol, Phoenix, AZ",200.0,hundreds,"['https://www.azcentral.com/story/news/local/phoenix-breaking/2020/05/28/phoenix-protest-stand-solidarity-family-george-floyd/5276289002/', 'https://twitter.com/andrew_howard4/status/1266243486539374596', 'https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html']",CCC
,2020-05-28,"Portland, OR","near Portland Police Bureau;  SW Main & 3rd Ave , Portland, OR",,,"['https://twitter.com/JenDowlingKoin6/status/1266158001657753602?s=20', 'https://pamplinmedia.com/pt/9-news/468533-379451-looting-erupts-in-downtown-portland-police-declare-riot-?wallit_nosession=1', 'https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html']",CCC
,2020-05-28,"Portland, OR","Terry Schrunk Plaza, Portland, OR",,,['https://www.kptv.com/news/naacp-hosts-rally-in-downtown-portland-to-honor-victims-of-police-brutality/article_208d325c-a1e0-11ea-add0-2ff515c4131e.html'],CCC
,2020-05-28,"Roseville, MN",", Roseville, MN",,,['http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/'],CCC
,2020-05-28,"San Jose, CA","City Hall, San Jose, CA",200.0,hundreds,['https://www.nbcbayarea.com/news/local/demonstrations-in-bay-area-over-george-floyds-death/2298701/'],CCC
,2020-05-28,"Santa Monica, CA",", Santa Monica, CA",,,['https://abc7.com/black-lives-matter-blm-fontana-violent-protest/6218615/'],CCC
,2020-05-28,"Stanwood, WA","by McDonald’s, Stanwood, WA",1.0,1,['https://www.heraldnet.com/news/protesters-turn-out-in-monroe-lake-stevens-event-planned/'],CCC
,2020-05-28,"St. Anthony, MN",", St. Anthony, MN",,,['http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/'],CCC
,2020-05-28,"St. Louis, MO","Interstate 70 , St. Louis, MO",200.0,hundreds,['https://www.stltoday.com/news/local/metro/several-hundred-protesters-gather-in-st-louis-to-protest-deadly-arrest-in-minneapolis/article_1dad790b-137f-5da1-8875-5363540b63ab.html'],CCC
,2020-05-28,"St. Louis , MO ","Police Department Headquarters, St. Louis , MO ",100.0,about 100,['https://www.stltoday.com/news/multimedia/pictures/photos-protesters-in-ferguson-and-st-louis-hold-solidarity-protests-for-minneapolis/collection_8823c01b-4f09-5259-be14-180e11d281ba.html#anchor_item_4'],CCC
,2020-05-28,"St. Paul, MN","Midway; Target, St. Paul, MN",200.0,at least 200,"['https://www.twincities.com/2020/05/28/st-paul-police-responding-to-large-groups-in-midway-area-some-trying-to-steal-items-from-target-store/', 'https://www.mic.com/p/protests-over-george-floyds-death-are-escalating-in-minneapolis-beyond-22942046']",CCC
,2020-05-28,"St. Peter, MN","Minnesota Square Park, St. Peter, MN",,,['https://www.mankatofreepress.com/news/local_news/social-racial-justice-rally-slated-in-st-peter-today/article_6a799106-a0ed-11ea-b200-bfa10dd6a302.html'],CCC
,2020-05-28,"Trenton, NJ","War Memorial, Trenton, NJ",,,['https://www.youtube.com/watch?v=ZtknfQ9m19U'],CCC
,2020-05-28,"Vallejo, CA","Wilson Park, Vallejo, CA",100.0,about 100,['https://www.timesheraldonline.com/about-100-march-to-vallejo-police-station-to-protest-floyd-death'],CCC
,2020-05-28,"West St. Paul, MN",", West St. Paul, MN",,,['http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/'],CCC
,2020-05-29,"Albuquerque, NM",", Albuquerque, NM",,,"['https://www.detroitnews.com/story/news/nation/2020/05/29/minneapolis-protests-spread-cities-across-us/111878532/', 'https://kvia.com/news/el-paso/2020/05/30/el-paso-police-headquarters-target-of-george-floyd-protest-vandalism-overnight/']",CCC
,2020-05-29,"Atlanta, GA",", Atlanta, GA",,,['https://twitter.com/KamauKuumba/status/1266827093310091266'],CCC
,2020-05-29,"Atlanta, GA","Centennial Olympic Park , Atlanta, GA",,,['https://www.11alive.com/gallery/news/nation-world/protesters-in-downtown-atlanta-make-their-voices-heard/85-4ce71ca5-c067-4252-8d36-ca4e43e3f91a'],CCC
,2020-05-29,"Bakersfield, CA","Bakersfield Police Department, Bakersfield, CA",500.0,about 500,['https://www.bakersfield.com/news/breaking/massive-protest-erupts-in-downtown-bakersfield/article_e40422ec-a224-11ea-8442-43b66143d944.html'],CCC
,2020-05-29,"Baltimore, MD",", Baltimore, MD",200.0,hundreds,['https://www.baltimoresun.com/maryland/baltimore-city/bs-md-ci-baltimore-protest-george-floyd-20200530-bjz7m3jcdbg2vazznu7nujdqne-story.html'],CCC
,2020-05-29,"Bay City, MI","Wenonah Park , Bay City, MI",,,['https://www.mlive.com/news/saginaw-bay-city/2020/05/minneapolis-demonstrations-spark-black-lives-matter-protest-in-downtown-bay-city-flint-mayor-statement.html'],CCC
,2020-05-29,"Bellingham, WA","outside of the Bellingham public library main entrance, Bellingham, WA",,,"['https://www.bellinghamherald.com/news/local/article243223466.html', 'https://twitter.com/BhamAntifa161/status/1266303417510551552']",CCC
,2020-05-29,"Birmingham, AL","Kelly Ingram Park, Birmingham, AL",100.0,more than 100,['https://www.youtube.com/watch?v=hpSCIaMadKc'],CCC
,2020-05-29,"Bloomington, IL","Veterans Parkway , Bloomington, IL",18.0,about 18,['https://herald-review.com/news/local/public_safety/watch-now-bloomington-normal-black-lives-matter-protest-slaying-of-george-floyd/video_b50f82cf-87a5-5b58-b69a-99d4b3c7b452.html'],CCC
,2020-05-29,"Blue Springs, MO","Burrus Old Mill Park, Blue Springs, MO",12.0,almost a dozen,['https://fox4kc.com/news/blue-springs-teens-one-person-protest-inspires-others-growing-even-larger/'],CCC
,2020-05-29,"Boston, MA","South End, Boston, MA",200.0,hundreds,['https://www.wcvb.com/article/boston-protest-south-end-justice-for-george-floyd/32716388'],CCC
,2020-05-29,"Boulder, CO","Municipal Boulding, Boulder, CO",24.0,dozens,"['https://www.dailycamera.com/2020/05/29/boulder-county-residents-to-host-a-justice-for-george-floyd-protest-saturday-in-boulder/', 'https://denver.cbslocal.com/2020/05/29/george-floyd-boulder-protest-sit-in-quiet/']",CCC
,2020-05-29,"Bowling Green, KY",", Bowling Green, KY",,,['https://twitter.com/TheRealLeeGNews/status/1266777287049056256'],CCC
,2020-05-29,"Brunswick, GA",", Brunswick, GA",,,['https://www.wsav.com/news/local-news/stop-killing-black-people-groups-protest-peacefully-in-savannah-brunswick/'],CCC
,2020-05-29,"Canton, OH","downtown Canton on the corner of Tuscarawas Street E and Market Avenue N, Canton, OH",,,['https://fox8.com/news/no-justice-no-peace-citizens-gather-in-downtown-canton-to-protest-george-floyds-death/'],CCC
,2020-05-29,"Canton, OH","Corner of Tuscarawas Street E and Market Avenue N, Canton, OH",,,['https://fox8.com/news/no-justice-no-peace-citizens-gather-in-downtown-canton-to-protest-george-floyds-death/'],CCC
,2020-05-29,"Charlotte, NC","Charlotte Mecklenburg Police Department , Charlotte, NC",,,"['https://www.wcnc.com/article/news/local/charlotte-protests-george-floyd-killing/275-37aee922-96ad-4059-ae31-25739582a8ee', 'number arrested unknown ']",CCC
,2020-05-29,"College Station, TX","Intersection of George Bush Drive and Texas Avenue, College Station, TX",,,['https://www.kbtx.com/content/news/George-Floyd-peaceful-protest-forms-in-College-Station-570885181.html'],CCC
,2020-05-29,"Columbia, MO ","Boone County Courthouse, Columbia, MO ",,,['https://twitter.com/LucasABC17/status/1266478394511962112'],CCC
,2020-05-29,"Columbus, OH",", Columbus, OH",,,"['https://twitter.com/ColumbusPolice/status/1266569459554308096', 'https://fox8.com/news/businesses-city-property-damaged-after-columbus-protests-turn-violent-prompt-state-of-emergency-in-downtown/']",CCC
,2020-05-29,"Columbus, OH","Short North Arts District, Columbus, OH",5.0,arrests,['https://www.cleveland.com/news/2020/05/5-arrested-in-second-night-of-george-floyd-protests-in-columbus.html'],CCC
,2020-05-29,"Crystal Lake, IL",", Crystal Lake, IL",12.0,more than a dozen,['https://www.wcia.com/news/dozens-protest-against-plan-to-rid-park-of-geese/'],CCC
,2020-05-29,"Dallas, TX","Police Headquarters, Dallas, TX",1000.0,nearly a thousand,"['https://www.dallasnews.com/news/2020/06/01/dallas-protests-set-to-continue-for-4th-night-despite-citys-curfew/', 'https://www.dallasnews.com/news/2020/05/29/protests-in-dallas-fort-worth-seek-justice-for-black-americans-killed-by-police/', 'https://kvia.com/news/el-paso/2020/05/30/el-paso-police-headquarters-target-of-george-floyd-protest-vandalism-overnight/']",CCC
,2020-05-29,"Denver, CO",", Denver, CO",,,['https://twitter.com/dago_deportes/status/1266809774164844545'],CCC
,2020-05-29,"Des Moines, IA","Intersection of E. 1st and E. Court strees, Des Moines, IA",1000.0,almost 1000,"['https://www.iowastatedaily.com/news/iowa-des-moines-protest-riot-police-george-floyd-derek-chauvin/article_ee7cf8e6-a244-11ea-8156-2748a7495eda.html', 'https://twitter.com/andreamsahouri/status/1266500598708535297']",CCC
,2020-05-29,"Des Moines, IA","Des Moines Police Department, Des Moines, IA",,a small group,['https://www.iowastatedaily.com/news/iowa-des-moines-protest-riot-police-george-floyd-derek-chauvin/article_ee7cf8e6-a244-11ea-8156-2748a7495eda.html'],CCC
,2020-05-29,"Detroit, MI","Cadillac Square, Detroit, MI",24.0,dozens,"['article states dozens arrested', 'https://www.detroitnews.com/story/news/local/detroit-city/2020/05/29/detroit-marchers-gather-downtown-protest-police-brutality-after-george-floyd-death/5284855002/', 'https://kvia.com/news/el-paso/2020/05/30/el-paso-police-headquarters-target-of-george-floyd-protest-vandalism-overnight/']",CCC
,2020-05-29,"Durango, CO","Buckley Park, Durango, CO",40.0,about 40,"['Future.', 'https://durangoherald.com/articles/326378']",CCC
,2020-05-29,"Durham, NC","outside Durham police headquarters, Durham, NC",,,['https://twitter.com/JoeFisherTV/status/1266777244640346112'],CCC
,2020-05-29,"Eugene, OR","downtown, Eugene, OR",100.0,about 100,['https://pamplinmedia.com/pt/9-news/468533-379451-looting-erupts-in-downtown-portland-police-declare-riot-'],CCC
,2020-05-29,"Flower Mound , TX",", Flower Mound , TX",100.0,over 100,['https://twitter.com/Paulspinkrose/status/1267946713622425601'],CCC
,2020-05-29,"Forest Grove, OR",", Forest Grove, OR",30.0,about 30,['https://www.galescreekjournal.com/posts/381/hundreds-gather-in-forest-grove-to-protest-police-brutality-against-black-americans'],CCC
,2020-05-29,"Fort Wayne, IN",", Fort Wayne, IN",300.0,several hundred,['https://www.wane.com/news/local-news/fort-wayne-police-dont-anticipate-violent-protests-in-city/'],CCC
,2020-05-29,"Fort Worth, TX","Old Courthouse, Fort Worth, TX",36.0,several dozen,['https://www.dallasnews.com/news/2020/05/29/protests-in-dallas-fort-worth-seek-justice-for-black-americans-killed-by-police/'],CCC
,2020-05-29,"Geneva, IL","Route 38, Geneva, IL",100.0,more than 100,['https://www.kcchronicle.com/2020/05/29/protestors-march-down-route-38/dt3vw29/'],CCC
,2020-05-29,"Grand Rapids, MI",", Grand Rapids, MI",,,['https://twitter.com/DonovanLongTV/status/1266478715497861122'],CCC
,2020-05-29,"Hampton, VA","Fort Monroe, Hampton, VA",24.0,dozens,"['https://www.13newsnow.com/article/news/local/mycity/norfolk/black-lives-matter-757-holds-protests-over-george-floyds-death/291-75172cf7-ea23-44be-84fd-ab6e45febdc7', 'Future.']",CCC
,2020-05-29,"Hartford, CT","Public Safety Complex; Capitol; Bushnell Park; City Hall, Hartford, CT",2000.0,more than 2000,"['Facebook', 'https://www.courant.com/news/connecticut/hc-news-hartford-protest-police-brutality-20200530-o3ge6bxtbvc6rcjcnrwkkolhgi-story.html']",CCC
,2020-05-29,"Helena, MT",", Helena, MT",,,['https://twitter.com/thom_g_bridge/status/1266449214449557505'],CCC
,2020-05-29,"Houston, TX","Discovery Green, Houston, TX",,,"['https://www.houstonchronicle.com/news/houston-texas/houston/article/Black-Lives-Matter-rally-to-be-held-at-Discovery-15301848.php', 'https://kvia.com/news/el-paso/2020/05/30/el-paso-police-headquarters-target-of-george-floyd-protest-vandalism-overnight/']",CCC
,2020-05-29,"Idaho Falls, ID","Broadway Bridge, Idaho Falls, ID",70.0,about 70,['https://www.eastidahonews.com/2020/05/locals-hold-rally-to-protest-the-death-of-george-floyd/'],CCC
,2020-05-29,"Indianapolis, IN","Circle Centre Mall, Indianapolis, IN",,,['https://www.indystar.com/story/news/local/indianapolis/2020/05/29/indianapolis-police-shooting-two-dozen-protest-dreasjon-reed-death/5286076002/'],CCC
,2020-05-29,"Jackson , MS","capitol, Jackson , MS",12.0,count pic,['https://www.wapt.com/article/jackson-protesters-seek-justice-for-george-floyd/32714265'],CCC
,2020-05-29,"Kalamazoo, MI","Kalamazoo County Courthouse; Department of Public Safety Headquarters, Kalamazoo, MI",200.0,hundreds,['https://www.mlive.com/news/kalamazoo/2020/05/throngs-crowd-downtown-kalamazoo-from-days-second-protest.html'],CCC
,2020-05-29,"Kansas City, MO","Country Club Plaza, Kansas City, MO",200.0,hundreds,['https://www.kansascity.com/news/local/article243102941.html'],CCC
,2020-05-29,"Kansas City, MO",", Kansas City, MO",,,['https://www.kansascity.com/news/article243103336.html'],CCC
,2020-05-29,"La Crosse, WI","Riverside Park, La Crosse, WI",,,['https://lacrossetribune.com/news/local/la-crosse-police-mayor-decry-killing-of-george-floyd-thank-local-protesters-for-civility/article_bc90b114-09ff-58a9-bc7a-9e019877aef0.html'],CCC
,2020-05-29,"Laramie, WY","UW campus to city hall , Laramie, WY",,,"['https://twitter.com/BaloneySloanie/status/1267884695791955969', 'https://twitter.com/BaloneySloanie/status/1266582511297024000']",CCC
,2020-05-29,"Las Vegas, NV","the strip, Las Vegas, NV",200.0,hundreds,['https://www.8newsnow.com/news/local-news/las-vegas-protests-turn-violent-lead-to-80-arrests-and-12-injured-officers/'],CCC
,2020-05-29,"Las Vegas, NV","Bellagio Casino-Resort, Las Vegas, NV",400.0,more than 400,['https://lasvegassun.com/news/2020/may/29/more-than-400-in-las-vegas-protest-george-floyds-d/'],CCC
,2020-05-29,"Lincoln, NE","25th St; 27th St; O St, Lincoln, NE",200.0,estimated 200,"['https://www.omaha.com/news/crime/gov-ricketts-praises-peaceful-protesters-while-denouncing-property-destruction-in-lincoln-omaha/article_16e579ae-2e97-57d3-8fc2-e2c847afb50e.html', 'https://www.omaha.com/news/local/from-grand-island-to-chadron-towns-across-nebraska-rally-silence-is-violence/article_48fb898e-15dc-5394-a836-945c8eca211d.html#15']",CCC
,2020-05-29,"Lexington, KY",", Lexington, KY",24.0,dozens,['https://twitter.com/TheRealLeeGNews/status/1266777287049056256'],CCC
,2020-05-29,"Longview, TX","Gregg County Courthouse Lawn, Longview, TX",,,"['https://www.news-journal.com/news/local/longview-prayer-rally-today-to-focus-on-peace-injustice-after-minneapolis-death/article_5641c2ce-a121-11ea-951a-5b847c33f7e5.html', 'Future.']",CCC
,2020-05-29,"Los Angeles, CA",", Los Angeles, CA",450.0,arrests,['https://twitter.com/CNN/status/1266814916519964673'],CCC
,2020-05-29,"Louisville, KY",", Louisville, KY",,,['https://twitter.com/TheRealLeeGNews/status/1266777287049056256'],CCC
,2020-05-29,"Marion, IN","Grant County Courthouse, Marion, IN",2.0,2,['https://www.chronicle-tribune.com/news/local/locals-protest-death-of-george-floyd/article_44cbd10d-395c-55a2-bfad-1ec0295e43eb.html'],CCC
,2020-05-29,"Marquette, MI",", Marquette, MI",,,['https://www.uppermichiganssource.com/content/news/Peaceful-protests-continue-in-downtown-Marquette-for-third-day-570940981.html'],CCC
,2020-05-29,"Menomonie, WI",", Menomonie, WI",50.0,about 50,['https://twitter.com/dunndemocrats/status/1266560197901914113'],CCC
,2020-05-29,"Milwaukee, WI","home near 45th St and Cleveland Ave, Milwaukee, WI",,,['https://fox6now.com/2020/05/28/family-of-joel-acevedo-says-events-in-minnesota-prompted-them-to-speak-out-rally-friday/'],CCC
,2020-05-29,"Minneapolis, MN","City Hall, Minneapolis, MN",,,"['https://www.inquirer.com/news/mayor-jim-kenney-philadelphia-city-hall-protest-george-floyd-20200529.html', 'Future. ']",CCC
,2020-05-29,"Missoula, MT","Missoula County Courthouse, Missoula, MT",300.0,several hundred,['https://helenair.com/news/local/demonstrators-gather-in-helena-to-protest-the-killing-of-george-floyd/article_c43c84f3-0710-514f-abda-ccd528c07e7c.html'],CCC
,2020-05-29,"Mountain View, CA","intersection of Castro Street and El Camino Real, Mountain View, CA",250.0,as many as 250,['https://www.paloaltoonline.com/news/2020/06/01/weekend-demonstrations-extend-into-monday-as-peninsula-residents-protest-death-of-george-floyd'],CCC
,2020-05-29,"New London, CT","All Souls Unitarian Universalist Congregation, New London, CT",,,['https://www.theday.com/article/20200529/NWS01/200529402'],CCC
,2020-05-29,"New York, NY","88th Precinct; Brooklyn, New York, NY",300.0,several hundred,"['https://www.nydailynews.com/new-york/ny-protest-police-brutality-george-floyd-20200529-vvmrqd2bqbh67lo4tdgouijqwi-story.html', 'between 50 and 100 arrested']",CCC
,2020-05-29,"Norfolk, VA","Martin Luther King Park, Norfolk, VA",24.0,dozens,"['https://www.13newsnow.com/article/news/local/mycity/norfolk/black-lives-matter-757-holds-protests-over-george-floyds-death/291-75172cf7-ea23-44be-84fd-ab6e45febdc7', 'Future.']",CCC
,2020-05-29,"Oakland, CA",", Oakland, CA",7500.0,at least 7500,"['number of arrests, injuries, and property damages unknown ', 'https://www.wsbtv.com/news/trending/police-precinct-overrun-by-protesters-minneapolis/T6EPJMZFNJHGXMRKXDUXRITKTA/']",CCC
,2020-05-29,"Odessa, TX","at the Ector County Courthouse, Odessa, TX",36.0,few dozen,"['https://westexmissioner.blogspot.com/2020/05/in-news-odessa-leaders-meet-with.html', 'https://twitter.com/westTXmissioner/status/1267165213620649984']",CCC
,2020-05-29,"Omaha, NE",", Omaha, NE",,,['https://twitter.com/P_LaToye/status/1266777243688280064'],CCC
,2020-05-29,"Omaha, NE","Dodge Street, Omaha, NE",2000.0,thousands,"['number of arrests, injuries, and property damages unknown', 'https://www.omaha.com/news/local/hundreds-protest-killing-of-george-floyd-in-omaha/article_85901422-09dc-500c-b016-7d6be516e418.html']",CCC
,2020-05-29,"Pensacola, FL","Graffiti Bridge, Pensacola, FL",350.0,approximately 300 to 400,['https://www.pnj.com/story/news/2020/05/29/pensacola-florida-protest-of-george-floyd-death-gathered-graffiti-bridge/5282792002/'],CCC
,2020-05-29,"Petal, MS","at city hall, Petal, MS",,,['https://twitter.com/A_phizzyy/status/1266573165406359554'],CCC
,2020-05-29,"Phoenix, AZ","State Capitol, Phoenix, AZ",,,['https://www.pinalcentral.com/gallery/news/phoenix-protest-turns-violent-5-29-20/collection_bc2076ee-4d3f-5444-b708-0d697df48dcb.html'],CCC
