city,text,state,references
Hagåtña, Over 100 people protested peacefully at the Chief Kepuha statue.,Guam,['https://www.pncguam.com/floyd-protest-held-at-chief-kepuha-monument-in-hagatna/']
Tamuning," About 125 people protested peacefully at the ITC intersection.
Puerto Rico",Guam,"['https://www.pncguam.com/peaceful-protest-on-guam-over-death-of-george-floyd/', 'https://www.guampdn.com/story/news/local/2020/06/02/black-lives-matter-protests-held-planned/5314520002/']"
Loíza, Hundreds gathered for a vigil on June 1.,Puerto Rico,['https://www.nytimes.com/2020/06/01/us/floyd-protests-live.html']
San Juan," Over 200 people protested in San Juan on June 2. Police officers used pepper spray on the protesters.
Northern Mariana Islands",Puerto Rico,['https://www.nytimes.com/2020/06/02/us/george-floyd-video-autopsy-protests.html']
Saipan," One person protested for two hours on Beach Road across Atkins Kroll in Oleai.
U.S. Virgin Islands",Saipan,"['https://www.saipantribune.com/index.php/black-lives-matter-on-saipan-too/', 'https://www.saipantribune.com/index.php/black-lives-matter-on-saipan-too/', 'https://www.kuam.com/story/42197881/saipan-resident-holds-onewoman-protest-for-justice']"
Charlotte Amalie," On June 6, over 1,000 protesters marched and observed nine minutes of silence.",U.S. Virgin Islands,['https://stthomassource.com/content/2020/06/07/1000-thomians-march-to-support-black-lives-matter/']
Christiansted," June 7:  A crowd of 50 to 60 adults and children stood in silence for 8'46"" at the Lagoon in Gallows Bay.",U.S. Virgin Islands,['https://www.creosotemaps.com/blm2020/']
Frederiksted," A motorcade was held and a childhood friend of Floyd's spoke at a protest on June 4.
See also",U.S. Virgin Islands,['https://viconsortium.com/vi-community_center/virgin-islands-its-everybody-against-racism-motorcade-candlelight-vigil-held-on-st-croix-for-george-floyd']
Anniston,A crowd protested peacefully along Quintard Avenue on June 1 and 2.,Alabama,['https://www.annistonstar.com/news/anniston/local-protests-continue-after-george-floyd-s-death/article_d2ff18e2-a456-11ea-962e-cfb98489f7d4.html']
Ashland,A crowd protested peacefully in front of the Clay County courthouse on June 2.,Alabama,['https://www.wbrc.com/2020/06/02/peaceful-protest-held-ashland/']
Auburn,Hundreds of demonstrators held a largely peaceful protest on May 31 in downtown Auburn at Toomer's Corner.,Alabama,['https://www.wsfa.com/2020/05/31/hundreds-gather-auburn-call-justice-racial-equality/']
Birmingham,"An estimated 1,000 people gathered on May 31 for a rally and march.",Alabama,"['https://www.al.com/news/birmingham/2020/05/peaceful-protests-for-george-floyd-spread-across-alabama.html', 'https://www.al.com/news/2020/05/protesters-trying-to-take-down-confederate-monument-in-birmingham.html', 'https://www.al.com/news/2020/06/watch-live-birmingham-officials-discuss-night-of-protests-riots.html', 'https://www.al.com/news/2020/06/the-ugly-aftermath-of-birminghams-night-of-chaos.html', 'https://patch.com/alabama/birmingham-al/linn-park-confederate-monument-removed-city']"
Dothan,"On May 31, a large crowd gathered peacefully at the Houston County Courthouse, holding signs, chanting, and listening to speakers.",Alabama,['https://www.dothanfirst.com/news/happening-now-black-lives-matter-protest-in-front-of-the-houston-county-courthouse/']
Hoover,At least 100 protesters attended a march along U.S. Route 31 to the Hoover Municipal complex on May 30; 20 people were arrested.,Alabama,['https://www.al.com/news/birmingham/2020/05/peaceful-protests-for-george-floyd-spread-across-alabama.html']
Huntsville,Protesters marched through downtown on May 30.,Alabama,"['https://www.al.com/news/birmingham/2020/05/peaceful-protests-for-george-floyd-spread-across-alabama.html', 'https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html', 'https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html', 'https://whnt.com/news/huntsville/huntsville-police-chief-reviews-mondays-protest/', 'https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html', 'https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html']"
Jacksonville,A group protested downtown on June 1.,Alabama,['https://www.firstcoastnews.com/article/news/local/protest-planned-in-downtown-jacksonville-monday/77-28e02e7e-1587-4eed-9db4-a5bfbb3ab41d']
Mobile,"On May 31, a march starting at Mardi Gras Park looped around the city and returned to the park. A part of the group attempted to block I-10, but they were stopped by police, who blocked the road themselves and later dispersed the crowd with tear gas. A police van window was smashed, but a public safety director distributed his phone number asking them to express their concerns.",Alabama,"['https://www.fox10tv.com/news/mobile_county/demonstrators-march-for-george-floyd-in-downtown-mobile/article_56731a90-a374-11ea-8d20-b773f49ce72b.html', 'https://mynbc15.com/news/local/protesters-to-march-in-mobile-over-death-of-george-floyd', 'https://www.fox10tv.com/news/mobile_county/demonstrators-march-hold-vigil-for-george-floyd-in-downtown-mobile/article_56731a90-a374-11ea-8d20-b773f49ce72b.html']"
Montgomery,Hundreds of people protested on the steps of the Alabama State Capitol on May 30.,Alabama,['https://www.montgomeryadvertiser.com/story/news/2020/05/30/montgomery-protesters-decry-george-floyds-murder-steven-reed-lynching-alabama-capitol/5293099002/']
Opelika,A crowd protested downtown on May 30.,Alabama,['https://www.wtvm.com/2020/05/30/crowd-gathers-opelika-protest-death-george-floyd/']
Troy,About 50 people demonstrated peacefully on May 29 at the square in downtown Troy.,Alabama,"['https://www.dothanfirst.com/news/no-justice-no-peace-troy-students-others-protest-in-town-square-over-george-floyds-death/', 'https://tropnews.com/protest-of-george-floyds-death-in-downtown-troy/']"
Tuscaloosa,"About 400 people marched and rallied peacefully on May 31 at the federal courthouse downtown. List of George Floyd protests in the United States List of George Floyd protests outside the United States <span class=""mw-headline""",Alabama,"['https://abc3340.com/news/local/hundreds-protest-racial-injustice-in-tuscaloosa-following-george-floyds-death', 'https://www.wbrc.com/2020/06/03/peaceful-protest-tuscaloosa/']"
Anchorage,"Two peaceful demonstrations were held on May 30. A march, organized by a high school student via Instagram, began at Town Square. About a hundred protesters marched for about 45 minutes while chanting and holding signs.",Alaska,"['https://www.adn.com/alaska-news/anchorage/2020/05/30/as-unrest-sweeps-through-us-anchorage-rally-organizers-emphasize-the-power-of-working-together/', 'https://www.ktoo.org/2020/05/30/death-of-george-floyd-sparks-rallies-across-alaska/', 'https://www.adn.com/alaska-news/anchorage/2020/05/30/as-unrest-sweeps-through-us-anchorage-rally-organizers-emphasize-the-power-of-working-together/']"
Bethel,"On June 2, a crowd of over 100 residents gathered at the Bethel Cultural Center and peacefully protested the killing of George Floyd.",Alaska,"['https://www.kyuk.org/post/large-bethel-crowd-peacefully-protests-killing-george-floyd', 'https://twitter.com/RBMEllis/status/1268006797975011330']"
Fairbanks,"On May 30, over 400 peaceful protesters took part in a rally and march from Veteran's Memorial Park to Golden Heart Plaza organized by the Fairbanks NAACP and the statewide group Native Movement.",Alaska,['http://www.newsminer.com/alerts/hundreds-gather-in-fairbanks-to-protest-peacefully-in-wake-of-george-floyds-death/article_0081fb48-a2c9-11ea-93c4-6bdd83855c28.html']
Haines,"On June 2, an event drew approximately 200 people, where a moment of silence lasting eight minutes and 46 seconds was held, among other activities.",Alaska,['https://twitter.com/akmk/status/1268020106908459010']
Homer,"More than 80 people attended a gathering on June 1 and 40 additional people on the next day. One young mother, whose children were in attendance, held a sign that read ""Mama"", one of Floyd's last words. The event was held at Wisdom, Knowledge, Faith & Love Park on Pioneer Avenue.",Alaska,['https://www.homernews.com/news/locals-organize-multiple-demonstrations-on-racial-injustice/']
Juneau,"May 30: People held signs decrying violence against black people and calling out institutional racism, many supporting the Black Lives Matter movement.",Alaska,"['https://www.ktoo.org/2020/06/04/from-kotzebue-to-ketchikan-alaskans-protest-the-killing-of-george-floyd-calling-for-justice/', 'https://www.juneauempire.com/news/hundreds-gather-in-juneau-for-physical-and-virtual-human-rights-rallies/']"
Ketchikan,"Protesters demonstrated at the corner of Tongass Avenue and Jefferson Street on June 3, 2020.",Alaska,['https://www.ktoo.org/2020/06/04/from-kotzebue-to-ketchikan-alaskans-protest-the-killing-of-george-floyd-calling-for-justice/']
Kodiak,"In Kodiak on June 4, 2020, dozens of people gathered, carrying signs and showing support for George Floyd and the Black Lives Matter movement.",Alaska,['https://twitter.com/sugpiaqsmile/status/1268652763887484928']
Kotzebue,"At least 20 people marched through Kotzebue on June 2, 2020.",Alaska,['https://www.ktoo.org/2020/06/04/from-kotzebue-to-ketchikan-alaskans-protest-the-killing-of-george-floyd-calling-for-justice/']
Palmer,"1,400 people peacefully gathered and marched in the town's historic downtown on June 6 with a call to end racism and to protest the killing of George Floyd.",Alaska,['https://www.adn.com/alaska-news/mat-su/2020/06/06/at-palmer-rally-demonstrators-call-for-unity-and-stamping-out-racism-in-local-communities/?fbclid=IwAR3Hd1_lHie-8Pr9asLpzSVZ_OctkXvJ9X5BS5cYHGemrP9XaJHKfWXgTP0']
Sitka,"Around 250 local residents gathered in Totem Square on June 1, the attendees shared in a seven-minute moment of silence and two traditional Tlingit songs of peace.",Alaska,['https://www.kcaw.org/2020/06/02/sitkans-honor-george-floyd-join-call-for-racial-justice/']
Utqiaġvik,"People met at the whale bone arch near the Top of the World Hotel in Utqiaġvik to protest the death of Floyd and police brutality. <span class=""mw-headline""",Alaska,"['https://www.adn.com/alaska-news/rural-alaska/2020/06/09/arctic-alaska-communities-turn-out-for-northernmost-police-brutality-protests/', 'https://www.adn.com/alaska-news/rural-alaska/2020/06/09/arctic-alaska-communities-turn-out-for-northernmost-police-brutality-protests/', 'https://www.adn.com/alaska-news/rural-alaska/2020/06/09/arctic-alaska-communities-turn-out-for-northernmost-police-brutality-protests/']"
Casa Grande,"On June 6, dozens of protesters demonstrated at the intersection of Florence Boulevard and Cameron Avenue, in front of City Hall, in support of Black Lives Matter and George Floyd. Another group marched from Peart Park to join the City Hall protesters.",Arizona,['https://www.pinalcentral.com/casa_grande_dispatch/area_news/video-cg-protesters-march-kneel-on-florence-boulevard/article_a807e73d-3e6a-526f-8461-4b6695374930.html']
Flagstaff,"On May 29, approximately 100 protesters gathered at Flagstaff City Hall, then marched to Heritage Square and back.",Arizona,"['https://azdailysun.com/news/local/crime-and-courts/people-in-flagstaff-protest-death-of-george-floyd-police-brutality/article_9eeb68c1-3a6c-5e64-a72c-1ab957e1c577.html', 'http://www.jackcentral.org/news/black-lives-matter-makes-their-voices-heard-in-flagstaff/article_e8148e4a-efc6-5947-8816-65c723e3d86f.html']"
Fountain Hills,"On June 25, about 100 protesters gathered in Fountain Hills.",Arizona,"['https://www.azcentral.com/story/news/local/scottsdale-breaking/2020/06/25/fountain-hills-protesters-show-support-black-community-despite-threats-armed-response/3261209001/', 'https://www.azcentral.com/story/news/local/scottsdale/2020/06/16/fountain-hills-black-lives-matter-protest-shut-down-threats/3194442001/']"
Kingman,"A protest took place at Locomotive Park, which gathered at least 40 people.",Arizona,"['https://www.havasunews.com/free_access/national-guard-called-to-kingman/article_e5f4b94a-a521-11ea-9f9e-a3960f53bc78.html', 'https://www.thebee.news/arrested-during-protest/']"
Lake Havasu City,"On June 3, a candlelight walk from Rotary Park to London Bridge was held.",Arizona,"['https://www.havasunews.com/free_access/protest-prayer-gathering-candlelight-walk-planned-in-lake-havasu-city-this-week/article_202f9d82-a563-11ea-9ff8-9fefa6295c96.html', 'https://www.havasunews.com/opinion/our-view-havasu-shows-the-world-how-to-do-a-protest-right/article_08c6bdf4-abaa-11ea-96ba-ff59488db5e2.html']"
Maricopa,"On May 29, the NAACP held a candlelight vigil at Copper Sky Regional Park to honor George Floyd. On June 1, around 30 protesters demonstrated at Edison Road and State Route 347 to protest Floyd's death and support Black Lives Matter. At day's end, the protesters, along with Maricopa Police Chief Steve Stahl, took a knee in honor of Floyd before the 8:00 pm curfew.",Arizona,['https://www.pinalcentral.com/maricopa_monitor/news/maricopa-protesters-police-mingle-in-peaceful-rally-against-injustice/article_f99df4a2-0ae0-5899-b6ff-6c39785b757c.html']
Mesa,"On June 5, around 35 protesters gathered outside the Mesa Police Department and marched down Main Street to the Mesa City Council Chambers.",Arizona,['https://www.azcentral.com/story/news/local/mesa-breaking/2018/06/08/protesters-rally-mesa-police-department-robert-johnson-use-force/686808002/']
Nogales,"On June 2, a few dozen protests gathered in Nogales and marched to the border.",Arizona,['https://www.nogalesinternational.com/news/locals-raise-voices-in-support-of-black-lives-matter-during-protests-in-nogales/article_78767a68-a533-11ea-824f-67549155b88a.html']
Phoenix,"As of June 25th, Phoenix has seen protests for five weeks.",Arizona,"['https://www.azcentral.com/story/news/local/phoenix-breaking/2020/06/25/phoenix-area-protests-against-police-brutality-continue-thursday/3256804001/', 'https://www.azcentral.com/story/news/local/phoenix-breaking/2020/05/28/phoenix-protest-stand-solidarity-family-george-floyd/5276289002/', 'https://web.archive.org/web/20200605201343/https://www.news.com.au/world/breaking-news/us-protesters-torch-police-station/news-story/c192f51a394a71a485f81a43a49c4310', 'https://www.abc15.com/news/region-phoenix-metro/central-phoenix/video-peaceful-protest-turns-violent-buildings-cars-damaged-in-phoenix', 'https://www.12news.com/article/news/local/valley/police-no-body-dash-cam-footage-in-phoenix-dps-shooting-family-and-friends-pushing-for-answers/75-a733c100-ff2b-44c6-994e-2499d5ea04ef', 'https://www.azfamily.com/news/thousands-protest-in-downtown-phoenix-for-4th-straight-night-people-being-detained/article_e211f364-a3b5-11ea-a3aa-9bf359b1b7f5.html', 'https://www.azcentral.com/story/news/local/phoenix-breaking/2020/06/04/arizona-police-protests-8th-day-demonstrations-planned/3143731001/']"
Prescott,More than 150 protesters demonstrated in front of the Prescott Valley Police Department.,Arizona,"['https://www.dcourier.com/news/2020/may/31/george-floyd-protest-comes-prescott-valley-gov-duc/', 'https://gcmaz.com/minor-skirmishes-during-prescott-valley-protest-saturday-night/']"
Safford,About 20 protesters gathered in Safford on June 1.,Arizona,['https://www.eacourier.com/news/safford-joins-the-rest-of-the-nation-in-protesting-george-floyds-death/article_d7147232-a46b-11ea-84f9-7f056d71e1e4.html']
Scottsdale,Hundreds of people protested downtown on May 30.,Arizona,"['https://www.scottsdale.org/city_news/looting-vandalism-rip-fashion-square-area/article_ae458986-a376-11ea-a021-bb3003752a7a.html', 'https://www.scottsdale.org/city_news/looting-vandalism-rip-fashion-square-area/article_ae458986-a376-11ea-a021-bb3003752a7a.html', 'https://www.scottsdale.org/city_news/looting-vandalism-rip-fashion-square-area/article_ae458986-a376-11ea-a021-bb3003752a7a.html']"
Surprise,"On June 3, a few dozen protesters held a demonstration near the Surprise Police Department building and raised their fists when a police officer stopped in front of them to show solidarity.",Arizona,"['https://www.yourvalley.net/surprise-independent/stories/saving-surprise-from-all-sides,163729?fbclid=IwAR35kq0YDx4fEAfesOCHQ6SoHPnMjhC8LAwTCPKrzIA14GWXwlQ46a7D8Ik']"
Tempe,"On June 11, an estimated several hundred to 1,000",Arizona,"['https://ktar.com/story/3272526/protesters-head-to-tempe-for-15th-consecutive-day-of-demonstrations/', 'https://www.azmirror.com/blog/black-lives-matter-protest-calls-on-tempe-to-defund-the-police/']"
Tucson,"Hundreds of protesters protested in downtown Tucson on May 30. The protests included multiple downtown businesses’ windows being broken as well as a dumpster being set on fire. By the end of the protest, protesters peacefully stood in front of police, who were in full riot gear.",Arizona,"['http://www.tucsonsentinel.com/local/report//053020_protests_tucson/', 'https://www.kold.com/2020/05/30/tucson-leaders-address-violence-destruction-following-downtown-protest-against-george-floyds-death/', 'https://tucson.com/news/local/8-arrested-in-second-night-of-protests-in-tucson-dozens-help-clean-up/article_3ad8521d-0c8f-5ac5-b048-32a6cab6ae23.html', 'https://kvoa.com/news/2020/06/02/hundreds-attend-candlelight-vigil-in-honor-of-george-floyd/', 'https://tucson.com/news/march-for-justice-rally-attracts-1-800-to-ua-protests-end-in-face-to-face/article_cbef472e-a691-11ea-bfe6-93c888864255.html', 'https://tucson.com/news/local/crowd-of-all-colors-gathers-in-tucson-to-affirm-that-black-lives-matter/article_ba2a0c76-a872-11ea-9c05-9b7faf194e54.html']"
Yuma,"On May 30, over 150 activists displayed signs at a busy intersection and chanted ""I Can't Breathe."" <span class=""mw-headline""",Arizona,"['https://kyma.com/news/top-stories/2020/05/30/i-cant-breathe-protesters-gather-in-yuma/', 'https://ein.az.gov/emergency-information/emergency-bulletin/governor-ducey-issues-statewide-declaration-emergency']"
Bentonville,"On June 1, protesters gathered at the Bentonville Town Square; the protest was originally postponed from the original date after receiving online threats, however, over 1,000 individuals still showed up to protest. Initially, the protest was peaceful; however, agitators began throwing damaging police vehicles, threatening officers, throwing rocks, glass bottles, chains and fireworks at officers as the sun set. The Benton County Sheriff's Office warned the agitators to disperse. After a couple minutes of further assault by the agitators, Benton County Sheriff's Office began releasing tear gas and firing beanbag rounds at the agitators after having being struck by thrown objects and having ""threatening language"" thrown their way in the form of ""fuck the police"" as well as public calls for ""bagging a cop."" Immediately following the initial round of teargas, on individual in the crowd fired rounds in the air from a pistol. It is unknown if this individual was identified or located. Most protesters left following this, but the agitators continuously returned to confront officers resulting in multiple surrounding agencies being called in to support the BCSO.",Arkansas,['https://www.4029tv.com/article/protesters-gather-in-bentonville-despite-online-threats/32735249']
Cabot,"On June 4, hundreds of protesters peacefully marched from Plaza Boulevard to the Cabot Police Department to demand justice for George Floyd.",Arkansas,['https://www.fox16.com/news/local-news/peaceful-protest-in-happening-in-cabot/']
Conway,"On May 31, protesters in Conway marched from downtown Conway towards the Faulkner County Courthouse. The protests eventually spilled onto Interstate 40 at the exit on Oak Street. Authorities made arrests and used tear gas to remove protesters from the interstate. Protesters largely remained on Oak Street close to the interstate for the remainder of the night.",Arkansas,['https://katv.com/news/local/tear-gas-arrests-at-conway-protest-crowd-gathers-for-2nd-night-at-arkansas-capitol']
El Dorado,"On May 30, a small number of people demonstrated at Old City Park against police brutality. The following day, around 100 protesters gathered at City Hall. On June 1, another demonstration of about 50 protesters took place at Old City Park. All events were peaceful.",Arkansas,['https://www.eldoradonews.com/news/2020/jun/02/el-dorado-residents-say-black-lives-matter/']
Fayetteville,Dozens of protesters demonstrated peacefully at the corner of College Avenue and Lafayette Street from 1 to 6 p.m. on May 30.,Arkansas,"['https://www.5newsonline.com/article/news/they-join-hundreds-of-protestors-around-the-country-who-are-protesting-about-george-floyds-death/527-93cf67ff-a36c-42e6-8b6c-73a026db6b2e', 'https://www.4029tv.com/article/protests-against-racism-held-on-fayetteville-square/32748148']"
Fort Smith,"Hundreds of protesters were on Rogers Avenue and Garrison Avenue on May 31, 2020.",Arkansas,"['https://www.swtimes.com/news/20200531/scores-of-fort-smith-demonstrators-protest-george-floyd-death', 'https://www.4029tv.com/article/hundreds-protest-george-floyds-death-in-fort-smith/32724514']"
Jonesboro,"On May 31 and June 1, hundreds of protesters demonstrated in Jonesboro, shutting down roads.",Arkansas,"['https://katv.com/news/local/jonesboro-to-close-downtown-street-for-2nd-day-of-protests', 'https://www.kait8.com/2020/05/31/march-justice-set-jonesboro-sunday/', 'https://www.kait8.com/2020/06/01/traffic-alert-south-main-street-closed-rally/']"
Little Rock,On May 30 about 400 to 500 people took part in a peaceful protest on the steps of the Arkansas State Capitol.,Arkansas,"['https://www.thv11.com/article/life/hundreds-demand-justice-during-peaceful-protests-in-little-rock/91-3e79e3e5-0401-4f30-a055-e6fe0e4a68c8', 'https://www.arkansasonline.com/news/2020/may/31/in-lr-rally-near-capitol-turns-violent-/', 'https://www.thv11.com/article/life/artists-add-george-floyd-portrait-to-civil-rights-mural-in-little-rock/91-b921ea53-f8aa-4634-84db-b76ed3db73ee']"
Pine Bluff,"On June 4, a ""drive-in rally"" took place at the Pine Bluff Civic Center, where 300 people turned up but remained in their cars to avoid spreading the coronavirus. A group of speakers implored attendees to involve themselves in the political process in order to make change happen.",Arkansas,['https://www.arkansasonline.com/news/2020/jun/07/pine-bluff-organizers-host-drive-in-rally/']
Rogers,"On June 5, a crowd of protesters demonstrated outside City Hall to support Black Lives Matter.",Arkansas,"['https://www.nwahomepage.com/knwa/last-night-exemplified-what-it-means-to-have-a-peaceful-protest-the-city-of-rogers-praises-friday-demonstration-honoring-george-floyd/', 'https://www.arkansasonline.com/news/2020/jun/11/second-protest-in-rogers-calls-for-end-to-police/']"
Russellville,"On May 31, nearly 200 protesters gathered outside Pope County Courthouse and peacefully demonstrated in support of Black Lives Matter and George Floyd.",Arkansas,['https://www.fox16.com/news/local-news/protesters-gather-outside-russellville-courthouse/']
Texarkana,"On Saturday afternoon, May 30, 70 to 100 protesters gathered peacefully at the State Line Post Office to listen to speeches, then marched to downtown before returning northward to a parking lot at State Line and Arkansas Boulevard, where the crowd grew and passing motorists honked in support. (Note: this entry is also listed in George Floyd protests in Texas.) <span class=""mw-headline""",Arkansas,['https://www.texarkanagazette.com/news/texarkana/story/2020/may/30/residents-rally-state-line-post-office-protest-george-floyd-death/829168/']
"Economic, racial and social inequality[2]
Status
Ongoing
Casualties
Death(s)
2[3][4]
Wikimedia Commons has media related to George Floyd protests in California.
There have been a series of protests in California related to the death of George Floyd on May 25, 2020 in Minneapolis while in police custody. On May 31, 2020, the California Department of Human Resources advised ""all state departments with offices in downtown city areas"" to close on June 1.[5]
.mw-parser-output .toclimit-2 .toclevel-1 ul,.mw-parser-output .toclimit-3 .toclevel-2 ul,.mw-parser-output .toclimit-4 .toclevel-3 ul,.mw-parser-output .toclimit-5 .toclevel-4 ul,.mw-parser-output .toclimit-6 .toclevel-5 ul,.mw-parser-output .toclimit-7 .toclevel-6 ul{display","none}
Contents
1 Northern California
1.1 Bay Area
2 Southern California
2.1 Los Angeles County
2.2 Orange County
2.3 Riverside County
2.4 San Bernardino County
2.5 San Diego County
2.6 Santa Barbara County
2.7 Ventura County
3 Deaths and crime rate
4 See also
5 References
Northern California",California,"['https://www.nytimes.com/2020/05/29/opinion/george-floyd-protests-minneapolis.html', 'https://www.kqed.org/news/11822469/george-floyd-police-violence-protests-curfew-bay-area', 'https://www.sfchronicle.com/crime/article/Attorney-identifies-SF-resident-fatally-shot-by-15315301.php?utm_campaign=CMS%20Sharing%20Tools%20(Premium)&utm_source=t.co&utm_medium=referral', 'https://www.sacbee.com/news/california/article243159481.html']"
Arcata, About 200 protesters marched around the plaza on June 1.,California,['https://lostcoastoutpost.com/2020/jun/1/protest-against-police-injustice-downtown-arcata-a/']
Davis, Roughly 100 UC Davis students held protests in downtown Davis.,California,"['https://www.davisenterprise.com/local-news/uc-davis-students-march-in-resurgent-black-lives-matter-movement/', 'https://fox40.com/news/local-news/davis-police-station-vandalized-with-anti-police-message/']"
Eureka, Hundreds protested in the streets near the courthouse on May 30. Two different cars drove into demonstrators.,California,['https://www.times-standard.com/hundreds-fill-streets-in-eureka-to-protest-fatal-arrest-of-george-floyd']
Folsom, Hundreds joined at the Folsom Library to march to Folsom City Hall and the police station. The protests continued throughout Old Town Folsom.,California,['https://goldcountrymedia.com/news/174696/folsom-police-stand-ready-as-nat-guard-curfew-road-closures-come-to-neighboring-communities/']
Fort Bragg, Hundreds of protesters gathered on June 2 to condemn police brutality and racial inequality.,California,['https://www.advocate-news.com/2020/06/03/students-lead-black-lives-matter-protest-downtown/']
Fresno,,California,[]
Lake County, There were protests in Lakeport and Middletown.,California,['https://www.record-bee.com/2020/06/06/george-floyd-protests-lakeport-decries-police-brutality-and-racial-injustices/']
Lake Tahoe, Vigils and protests were held at Lakeview Commons every night from May 30 through June 1.,California,['https://www.tahoedailytribune.com/news/peaceful-protests-continue-at-lakeview-commons/']
Madera," On June 5, around 200 protesters marched from John Adams Elementary to Lions Park.",California,['https://abc30.com/madera-george-floyd-unified-protest-police-brutality-march/6234137/']
Marysville, May 31:  Dozens attended a vigil at Ellis Lake.,California,['https://kubaradio.com/marysville-protest-over-george-floyd-killing-remains-peaceful/']
Modesto," On May 31, hundreds of protesters in Modesto marched through downtown core and diverged up to McHenry Avenue until reaching Standiford Ave. Protesters then walked south back to downtown starting point.",California,"['https://mobile.twitter.com/ModestoPolice/status/1267211048404148225', 'https://sacramento.cbslocal.com/2020/05/31/at-least-1-arrested-during-modesto-george-floyd-protests/', 'https://www.kcra.com/article/modesto-george-floyd-protests-police-may-31/32724161']"
Monterey, Hundreds gathered at Window on the Bay beach. Protesters remained distant from each other while they lined Del Monte Avenue and passing drivers honked their support.,California,['http://www.montereycountyweekly.com/blogs/news_blog/hundreds-gather-in-monterey-and-seaside-to-protest-for-justice-for-george-floyd-and-an/article_e3d62e38-a2c8-11ea-8f8d-df6a6c0357e8.html']
Oroville," On May 31, protesters marched from Municipal Auditorium on Myers Street through downtown Oroville and back to support Black Lives Matter and George Floyd, ending the protest with a moment of silence for eight minutes and forty-six seconds.",California,['https://www.actionnewsnow.com/content/news/Protestors-gathered-together-for-a-silent-march-in-Oroville-for-George-Floyd-570910981.html']
Red Bluff," A peaceful protest was held on June 1, with more than 100 people involved.",California,['https://www.redbluffdailynews.com/2020/06/02/monday-night-protests-in-red-bluff-were-peaceful/']
Redding," May 29:  A march started at Martin Luther King Jr. Center and then down Court Street.
Protest in Sacramento on June 7",California,"['https://www.actionnewsnow.com/content/news/Redding-leaders-speak-on-peaceful-protests-570940731.html', 'https://www.redding.com/story/news/2020/06/03/george-floyd-protest-redding-postponed-social-justice-blm-march/3127015001/', 'https://www.redding.com/story/news/2020/06/02/preparation-underway-reddings-california-march-justice-george-floyd-march-protest-black-lives-matter/3122906001/', 'https://www.redding.com/story/news/local/2020/06/07/redding-protests-george-floyd-racism-police-brutaility/3163477001/']"
Sacramento, Hundreds of people protested peacefully on Franklin Boulevard on May 29. A group of protesters jumped onto Highway 99 southbound at the 12th Avenue overpass and traffic.,California,"['https://www.abc10.com/article/news/local/sacramento/black-lives-matter-oak-park-protest-minneapolis-support/103-28e34fc5-202c-4566-b946-faceed43acd5', 'https://www.kcra.com/article/crews-battle-grass-fire-on-highway-99-in-sacramento/32720666', 'https://www.kcra.com/article/sacramento-protest-june-1-california-capitol/32736523', 'https://www.capradio.org/articles/2020/06/01/latest-updates-on-george-floyd-protests-in-california/']"
Salinas, June 1:  Hundreds brought to Hartnell College where they displayed them to drivers on West Alisal street and then marched Salinas City Hall. Hundreds more attended a second rally organized by the League of United Latin American Citizens outside the California Rodeo Salinas.,California,['https://www.thecalifornian.com/story/news/2020/06/02/california-residents-kneel-george-floyd-protests-monday/5313164002/']
Santa Cruz," On May 30, hundreds of protesters gathered peacefully. The city's Mayor and Police Chief joined the protest.",California,"['https://abc7news.com/george-floyd-protests-santa-cruz-police-chief-takes-knee/6223904/', 'https://www.nbcbayarea.com/news/local/santa-cruz-mayor-police-chief-kneel-in-peaceful-protest/2300401/']"
Seaside, May 30:  Hundreds of solidarity protesters gathered at Seaside City Hall and briefly blocked Highway 1.,California,['https://www.ksbw.com/article/solidarity-protesters-block-traffic-on-highway-1-near-seaside/32747345']
Sonora," On June 3, hundreds of people met in downtown Sonora to protest peacefully. Across the street from the protest about 100 counter-protesters gathered. During a nine-minute moment of silence, the counter-protesters began reciting the Pledge of Allegiance.",California,"['https://www.kcra.com/article/george-floyd-protest-downtown-sonora/32769858', 'https://www.latimes.com/california/story/2020-06-13/george-floyd-racism-protests-rural-california']"
Stockton," 500 people protested at Stockton's Martin Luther King, Jr. Park on June 1, 2020.",California,['https://www.kcra.com/article/a-look-at-the-peaceful-george-floyd-protest-stockton/32743736#']
Ukiah, More than 200 gathered in downtown Ukiah on May 31.,California,['https://www.ukiahdailyjournal.com/2020/06/01/more-than-200-protest-at-mendocino-county-courthouse/']
Watsonville," On May 31, hundreds of peaceful protesters gathered in the downtown plaza, where they were joined by the city's Police Chief.",California,"['https://pajaronian.com/locals-join-nation-in-protests-following-death-of-george-floyd/', 'https://twitter.com/WatsonvillePD/status/1267251434153603072']"
Willits," On May 31, over 50 people held a peaceful protest in Babcock Park.",California,['https://www.willitsnews.com/2020/06/01/willits-residents-peacefully-protest-police-brutality-racism/']
