city,text,state,references
Woodbury,"On June 1, a group of about 40 protesters gathered in Ojibway Park to rally against police brutality. Another protest took place on June 4 as protesters marched from Colby Lake to Woodbury City Hall. <span class=""mw-headline""",Minnesota,['https://commons.wikimedia.org/wiki/Category:George_Floyd_protests_in_Minnesota']
Bellevue,"On May 31, a peaceful protest took place along the corner of N-370 and Galvin Road. Police officers joined the protesters arm in arm, with a Bellevue Police Department sergeant speaking out against corrupt officers.",Nebraska,['https://www.wowt.com/content/news/Bellevue-Police-stand-with-protesters-for-equality-justice-570911051.html']
Chadron,"In the northwest Nebraska town of Chadron, dozens of students and others voiced their solidarity with the Black Lives Matter movement.",Nebraska,"['https://www.omaha.com/news/local/from-grand-island-to-chadron-towns-across-nebraska-rally-silence-is-violence/article_48fb898e-15dc-5394-a836-945c8eca211d.html#1', 'https://twitter.com/PolitelyRages/status/1268674242306023425?s=20']"
Grand Island,"A group estimated at 300 people marched towards Pioneer Park in the center of the small town, on June 1, 2020.",Nebraska,"['https://www.theindependent.com/news/local/close-to-300-march-gather-in-park-in-grand-island/article_9ee49b70-a3bd-11ea-964f-7f7b685f2acb.html', 'https://apnews.com/18f192c9ce0cdfc5c10c6b1e17192ac4']"
Harvard,"An estimated 50 people, many of them students, and some young families, gathered June 2, 2020, in the center of Harvard, to protest the killing of George Floyd and to call attention to the work that needs to be done in their own community.",Nebraska,['https://www.omaha.com/news/local/from-grand-island-to-chadron-towns-across-nebraska-rally-silence-is-violence/article_48fb898e-15dc-5394-a836-945c8eca211d.html#1']
Kearney,"On Saturday, May 30, people gathered near downtown Kearney to protest the death of George Floyd.",Nebraska,"['https://www.kearneyhub.com/news/local/sunday-protesters-march-for-george-floyd-and-james-scurlock-an-omaha-protester-killed-over-the/article_1ff4ff0c-a422-11ea-8660-6b98ddf073fd.html', 'https://www.ksnblocal4.com/content/news/Peaceful-protest-in-Kearney-to-stand-against-racism-and-police-brutality-570913601.html']"
Lincoln,"Nebraska National Guard and state troopers guard the Nebraska State Capitol in Lincoln on May 31 On the morning of Friday, May 29, people gathered at the State Capitol to protest.",Nebraska,"['https://www.1011now.com/content/news/George-Floyd-Protests--570878351.html', 'https://web.archive.org/web/20200530192503/https://journalstar.com/news/local/protest-in-lincoln-turns-violent-overnight/article_c2e6fdcf-fc58-5786-9c31-68ee2c364e23.html', 'https://www.1011now.com/content/news/LIVE-at-10PM-LPDs-response-to--570892661.html', 'https://web.archive.org/web/20200530192503/https://journalstar.com/news/local/protest-in-lincoln-turns-violent-overnight/article_c2e6fdcf-fc58-5786-9c31-68ee2c364e23.html', 'https://journalstar.com/news/local/crime-and-courts/watch-now-journal-star-reporter-detained-some-protesters-arrested-in-downtown-lincoln-after-curfew/article_9e01944e-3867-5d2e-b7bf-19165cb266cf.html']"
Norfolk,About 300 people gathered peacefully in Norfolk on the weekend following the death of George Floyd.,Nebraska,"['https://apnews.com/18f192c9ce0cdfc5c10c6b1e17192ac4', 'https://northeast.newschannelnebraska.com/story/42208011/dozens-gather-in-norfolk-for-black-lives-matter-protest']"
Omaha,"Thousands of people protested on Friday, May 29 outside Crossroads Mall in West Omaha. Protests were peaceful until Omaha Police fired tear gas at protestors at 8:00pm.",Nebraska,"['https://www.omaha.com/news/local/72nd-and-dodge-shut-down-as-protesters-tear-gas-fill-streets-omaha-police-make-multiple/article_85901422-09dc-500c-b016-7d6be516e418.html', 'https://www.omaha.com/news/local/72nd-and-dodge-shut-down-as-protesters-tear-gas-fill-streets-omaha-police-make-multiple/article_85901422-09dc-500c-b016-7d6be516e418.html', 'https://www.omaha.com/news/local/72nd-and-dodge-shut-down-as-protesters-tear-gas-fill-streets-omaha-police-make-multiple/article_85901422-09dc-500c-b016-7d6be516e418.html', 'https://www.ketv.com/article/watch-protesters-gather-at-72nd-and-dodge-streets-in-outrage-over-george-floyds-death/32717253', 'https://www.ketv.com/article/singing-uber-driver-brings-joy-in-coronavirus-pandemic-baltimore/32719263', 'https://www.ketv.com/article/omaha-police-will-hold-press-conference-after-mass-protest-leads-to-arrests/32719150', 'https://www.omaha.com/news/local/72nd-and-dodge-shut-down-as-protesters-tear-gas-fill-streets-omaha-police-make-multiple/article_85901422-09dc-500c-b016-7d6be516e418.html', 'https://www.cbsnews.com/news/white-bar-owner-jacob-gardner-omaha-shot-killed-black-protestor-james-scurlock-no-charges/', 'https://www.3newsnow.com/news/local-news/protests-start-peacefully-grow-tense-after-curfew']"
Scottsbluff,"On May 31, dozens of protesters marched from Guadalupe Center through the streets of downtown Scottsbluff to protest the death of George Floyd. A candlelight vigil was also held in Centennial Park. List of George Floyd protests in the United States List of George Floyd protests outside the United States Civil rights movement in Omaha, Nebraska Racial tension in Omaha, Nebraska Timeline of racial tension in Omaha, Nebraska <span class=""mw-headline""",Nebraska,['https://www.starherald.com/news/local_news/watch-now-peaceful-demonstration-draws-dozens-in-scottsbluff/article_832b0bfa-790f-5d43-b811-457652019f99.html']
