,date,city_st,size,size_str,urls,collection
189,2020-05-29,"San Jose, CA",200.0,hundreds,"['https://www.kqed.org/news/11821834/bay-area-protests-over-death-of-george-floyd', 'https://www.nbcbayarea.com/news/local/demonstrations-in-bay-area-over-george-floyds-death/2298701/', 'https://www.nbcbayarea.com/news/local/demonstrations-in-bay-area-over-george-floyds-death/2298701/', 'https://www.facebook.com/ESJishome/posts/1138643379827951', 'https://www.kqed.org/news/11821834/bay-area-protests-over-death-of-george-floyd', 'https://archive.today/6mBZN', 'https://www.sanjoseinside.com/news/thousands-demand-firing-of-san-jose-cop-filmed-antagonizing-swearing-at-protesters/', 'https://abc7news.com/sj-police-officer-under-investigation-for-behavior-during-protests/6224192/', 'https://abc7news.com/society/exclusive-man-who-helped-injured-officer-in-sj-protest-later-shot-with-rubber-bullet-/6226298/', 'https://www.fox23.com/news/trending/george-floyd-protests-san-jose-police-fire-rubber-bullets-own-bias-trainer-rupture-his-testicle/K5HUBNAHTJERPBKA2CVC2B5LRU/', 'https://www.fox23.com/news/trending/george-floyd-protests-san-jose-police-fire-rubber-bullets-own-bias-trainer-rupture-his-testicle/K5HUBNAHTJERPBKA2CVC2B5LRU/', 'https://abc7news.com/man-who-trains-san-jose-police-about-bias-severely-injured-by-riot-gun-during-protest/6234212/', 'https://member.everbridge.net/453003085615038/notif']",Wikipedia
190,2020-06-01,"San Leandro, CA",,Between 73 and 100,['missing'],Wikipedia
191,2020-06-03,"San Mateo, CA",200.0,hundreds,"['https://www.kron4.com/news/george-floyd-protests/hundreds-protest-death-of-george-floyd-outside-san-mateo-city-hall/', 'https://www.kron4.com/news/george-floyd-protests/hundreds-protest-death-of-george-floyd-outside-san-mateo-city-hall/']",Wikipedia
192,2020-05-31,"San Rafael, CA",,,['https://www.kron4.com/news/bay-area/george-floyd-protest-held-in-downtown-san-rafael/'],Wikipedia
193,2020-06-03,"San Ramon, CA",200.0,hundreds,['https://danvillesanramon.com/news/2020/06/03/san-ramon-residents-take-to-the-streets-in-mass-demonstration-against-racism-police-brutality'],Wikipedia
194,2020-05-30,"Santa Rosa, CA",,up to 500 protesters,"['https://www.pressdemocrat.com/news/10999648-181/hundreds-gather-at-old-courthouse%3fview=AMP', 'http://www.pressdemocrat.com/news/11000694-181/late-night-protesters-damage-downtown-santa%3fview=AMP', 'https://www.pressdemocrat.com/news/11007434-181/police-more-than-75-arrested', 'https://www.pressdemocrat.com/news/11005880-181/anger-concern-mount-over-santa']",Wikipedia
195,2020-06-03,"Sebastopol, CA",,about 200,['http://www.sonomawest.com/sonoma_west_times_and_news/news/peaceful-protest-in-honor-of-george-floyd-in-downtown-sebastopol/article_9c7ae81a-a60d-11ea-9c93-cf3d840aef62.html'],Wikipedia
196,2020-05-28,"Vallejo, CA",100.0,about 100 protesters,['https://www.timesheraldonline.com/2020/05/28/about-100-march-to-vallejo-police-station-to-protest-floyd-death/'],Wikipedia
197,2020-06-01,"Walnut Creek, CA",,A few hundred,['https://www.mercurynews.com/bay-area-protesters-gather-for-fifth-day-of-george-floyd-demonstrations'],Wikipedia
198,2020-01-01,"Bakersfield, CA",200.0,hundreds,"['https://www.bakersfield.com/news/breaking/massive-protest-erupts-in-downtown-bakersfield/article_e40422ec-a224-11ea-8442-43b66143d944.html', 'https://www.kget.com/news/local-news/bakersfield-police-make-10-arrests-in-friday-night-protests-over-death-of-george-floyd/', 'https://www.kget.com/news/local-news/bakersfield-police-arrest-man-accused-of-driving-through-crowd-protesters-striking-girl/']",Wikipedia
199,2020-06-02,"Calexico, CA",200.0,hundreds,['https://calexicochronicle.com/2020/06/imperial-valley-news/blm-peaceful-protest-takes-place-at-courthouse/'],Wikipedia
200,2020-06-01,"El Centro, CA",,,['https://kyma.com/news/imperial-county/2020/06/01/el-centro-braces-for-george-floyd-protests/'],Wikipedia
201,2020-05-30,"Lompoc, CA",,,['https://www.ksby.com/news/local-news/protesters-call-for-justice-racial-equity-in-lompoc'],Wikipedia
202,2020-05-31,"Ridgecrest, CA",,"as many as 65, at least 65",['https://www.ridgecrestca.com/news/20200602/ridgecrest-sees-three-protests-in-three-days'],Wikipedia
203,2020-06-01,"San Luis Obispo, CA",200.0,hundreds,['https://www.ksby.com/news/local-news/officers-kneel-with-protesters-in-san-luis-obispo'],Wikipedia
204,2020-05-30,"Santa Barbara, CA",200.0,Hundreds,['https://voiceofoc.org/2020/05/huntington-beach-protest-against-floyd-police-killing-declared-unlawful-by-police-after-counter-demonstrators-show-up/'],Wikipedia
205,2020-06-04,"Santa Maria, CA",,An estimated 150,['https://www.ksby.com/news/local-news/protesters-honor-george-floyds-life-at-santa-maria-solidarity-march'],Wikipedia
206,2020-05-30,"Visalia, CA",,two,['https://www.fresnobee.com/news/local/article243128101.html'],Wikipedia
207,2020-06-04,"Alhambra, CA",,About 200,['https://www.alhambrasource.org/story/protests-death-george-floyd-support-black-lives-matter-curfew'],Wikipedia
208,2020-06-06,"Altadena, CA",200.0,hundreds,['https://www.pasadenastarnews.com/2020/06/06/hundreds-gather-in-altadena-to-protest-against-police-brutality/'],Wikipedia
209,2020-06-03,"Avalon, CA",,,"['https://thecatalinaislander.com/avalon-shows-support-for-george-floyd-protests/', 'https://www.facebook.com/michael.ponce.9279/posts/2759875977472473']",Wikipedia
210,2020-05-30,"Beverly Hills, CA",,,"['https://losangeles.cbslocal.com/2020/05/30/hundreds-gather-in-fairfax-district-as-part-of-latest-protest-over-deadly-arrest-of-george-floyd/', 'https://www.nbclosangeles.com/news/local/beverly-hills-city-council-holds-emergency-meeting-in-response-to-protests/2371167/', 'https://wwd.com/fashion-news/fashion-scoops/looting-of-luxury-retail-begins-in-l-a-amid-george-floyd-protests-1203644223/']",Wikipedia
211,2020-01-01,"Boyle Heights, Los Angeles, CA",200.0,Hundreds,['https://www.wbur.org/hereandnow/2020/06/08/los-angeles-cross-racial-protests'],Wikipedia
214,2020-06-06,"Century City, Los Angeles, CA",,around 600 people,['https://www.nbclosangeles.com/news/local/protests-los-angeles-george-floyd-justice-police-marches/2375892/'],Wikipedia
215,2020-06-01,"Cerritos, CA",200.0,Hundreds,['http://lmlamplighter.com/hundreds-attend-floyd-protests-in-cerritos/'],Wikipedia
216,2020-06-01,"Claremont, CA",120.0,over 100 protesters,['https://www.claremont-courier.com/articles/news/t37511-protest'],Wikipedia
217,2020-06-07,"Compton, CA",,"Thousands, two",['https://www.foxla.com/video/692408'],Wikipedia
218,2020-06-05,"Culver City, CA",,more than 300 people,['https://www.dailynews.com/2020/06/05/300-plus-culver-city-demonstrators-call-for-justice-amid-week-of-george-floyd-protests/'],Wikipedia
219,2020-01-01,"Downtown Los Angeles, CA",,,"['https://www.latimes.com/california/story/2020-05-29/protesters-outraged-over-george-floyd-death-shut-down-101-freeway-in-san-jose', 'https://edition.cnn.com/us/live-news/george-floyd-protests-05-30-20/h_bed8d49b7f61868628d1a4466ca5b91c', 'https://edition.cnn.com/us/live-news/george-floyd-protests-05-31-20/h_a1c52a63ba8182b0d9fd28c5a709e31c', 'https://www.thedailybeast.com/los-angeles-police-officer-put-in-chokehold-and-kicked-as-anti-police-brutality-protests-turned-violent', 'https://www.dailynews.com/dozens-arrested-in-downtown-los-angeles-tuesday-night-after-day-of-peaceful-protests']",Wikipedia
220,2020-01-01,"Downey, CA",200.0,Hundreds,['https://www.presstelegram.com/hundreds-gather-for-george-floyd-inspired-march-in-downey'],Wikipedia
221,2020-06-04,"Diamond Bar, CA",,Between 800 and 1000,"['https://www.sgvtribune.com/2020/06/04/hundreds-gather-in-diamond-bar-to-protest-police-violence-honor-george-floyd/', 'https://abc7.com/diamond-bar-protest-black-lives-matter-pepper-balls-shot-george-floyd/6232607/']",Wikipedia
222,2020-01-01,"El Monte, CA",,,['https://heavy.com/news/2020/06/el-monte-protests-all-lives-matter/'],Wikipedia
223,2020-05-30,"Fairfax District, CA",2000.0,Thousands,"['https://laist.com/2020/05/30/los-angeles-george-floyd-protests-day-four.php', 'https://losangeles.cbslocal.com/2020/05/30/hundreds-gather-in-fairfax-district-as-part-of-latest-protest-over-deadly-arrest-of-george-floyd/', 'https://abc7.com/6231194/']",Wikipedia
224,2020-06-01,"Glendora, CA",,"over 100, five",['https://www.dailybulletin.com/2020/06/01/over-100-protest-the-death-of-george-floyd-in-glendora/'],Wikipedia
225,2020-06-02,"Hancock Park, CA",,,['https://losangeles.cbslocal.com/video/4575151-protestors-chant-defund-the-police-outside-of-mayor-eric-garcettis-home-in-hancock-park/'],Wikipedia
226,2020-05-31,"La Cañada Flintridge, CA",200.0,hundreds,['https://www.crescentavalleyweekly.com/news/05/31/2020/la-canada-holds-protest/'],Wikipedia
227,2020-06-01,"La Crescenta-Montrose, CA",100.0,around 100 protesters,"['https://www.montrosepress.com/news/residents-gather-in-montrose-for-second-day-of-protests-of-floyd-killing-racial-injustice/article_a59ac394-a5b2-11ea-a400-938d2a91d6bd.html', 'https://www.montrosepress.com/news/hundreds-gather-for-walk-of-solidarity-protest-in-montrose-on-saturday/article_a71e9514-a83d-11ea-b176-3f969a207051.html']",Wikipedia
228,2020-06-03,"La Puente, CA",200.0,hundreds,['https://www.sgvtribune.com/curbside-protest-underway-in-la-puente'],Wikipedia
229,2020-06-03,"La Verne, CA",200.0,hundreds,['https://www.dailybulletin.com/hundreds-demand-change-in-la-verne-after-death-of-george-floyd'],Wikipedia
230,2020-06-05,"Lakewood, CA",,roughly 500,['https://ktla.com/news/local-news/deputies-deploy-pepper-ball-rounds-smoke-as-lakewood-protest-ends-in-very-ugly-way/'],Wikipedia
231,2020-05-31,"Long Beach, CA",200.0,hundreds,['https://www.latimes.com/california/story/2020-05-31/long-beach-mall-looters-protesters-pike-outlets'],Wikipedia
232,2020-06-06,"Manhattan Beach, CA",550.0,more than 500 protesters,['https://www.dailynews.com/2020/06/06/500-plus-attend-manhattan-beachs-burst-the-bubble-on-racism-protest-for-kids/'],Wikipedia
233,2020-06-04,"Montebello, CA",200.0,hundreds,['https://www.whittierdailynews.com/montebello-turns-out-in-protest-of-george-floyds-death'],Wikipedia
234,2002-06-01,"Monrovia, CA",,at least 400 people,['https://www.monroviaweekly.com/news/monrovia-youth-peacefully-protest-at-library-park-and-march-on-myrtle-ave/'],Wikipedia
235,2020-05-31,"Palmdale, CA",,"between 200 and 300, between 75 and 100","['https://www.avpress.com/news/protesters-march-in-palmdale/article_217f57bc-a3b6-11ea-9201-4b6c525dfb27.html', 'https://www.avpress.com/news/local_news/protesters-march-in-palmdale-tuesday/article_1b684346-a543-11ea-a08c-738dff7100a4.html']",Wikipedia
236,2020-06-01,"Palos Verdes Estates, CA",,about 150 people,['https://www.dailybreeze.com/2020/06/01/young-people-families-in-palos-verdes-estate-protest-police-violence/'],Wikipedia
237,2020-05-30,"Pasadena, CA",,,"['https://www.pasadenanow.com/main/demonstrators-protesting-death-of-george-floyd-descend-on-old-pasadena/', 'https://www.capitalgazette.com/news/ac-cn-pasadena-protest-20200606-bvzuoeaehfh5ddpasukyqbfbge-story.html']",Wikipedia
238,2020-05-30,"Pomona, CA",,about 250 people,['https://www.dailybulletin.com/about-250-protest-george-floyd-killing-in-pomona'],Wikipedia
239,2020-06-01,"Rancho Palos Verdes, CA",,about 150 protesters,['https://www.pvnews.com/news/peaceful-demonstration-in-palos-verdes-estates-is-what-protesting-is-supposed-to-be-about-says/article_75a70280-a443-11ea-aec0-0b83a33443eb.html'],Wikipedia
240,2020-06-03,"Redondo Beach, CA",80.0,about 80 protesters,"['https://www.dailybreeze.com/dozens-gather-in-redondo-beach-wednesday-afternoon-to-demand-justice-for-george-floyd', 'https://tbrnews.com/news/more-than-200-protest-police-brutality-in-redondo-beachs-miramar-park/article_8e3cf27a-a770-11ea-9463-47e30afd853b.html']",Wikipedia
242,2020-06-04,"Santa Clarita, CA",200.0,hundreds,['https://signalscv.com/2020/06/hundreds-turn-out-for-protest-march-in-scv/'],Wikipedia
243,2020-01-01,"Santa Monica, CA",,,[],Wikipedia
244,2020-01-01,"[141] Some protesters refused to disperse after the 4, CA",,00,"['https://www.nbclosangeles.com/news/local/peaceful-santa-monica-protest-marred-by-nearby-looting/2371742/', 'https://www.latimes.com/california/story/2020-05-31/looters-hit-santa-monica-place-mall-even-as-protesters-march-peacefully', 'https://twitter.com/SantaMonicaPD/status/1267321564191584256']",Wikipedia
246,2020-06-10,"South Pasadena, CA",120.0,over 100 protesters,['https://southpasadenan.com/blm-protests-in-south-pasadena-many-voices-unite-at-city-hall/'],Wikipedia
247,2020-05-31,"Torrance, CA",200.0,several hundred,['https://www.newsbreak.com/california/torrance/news/0PCpTEQa/after-torrance-declares-curfew-hundreds-protest-death-of-george-floyd-at-city-hall'],Wikipedia
248,2020-06-01,"Van Nuys, CA",120.0,more than 100 people,['https://abc7.com/van-nuys-protest-los-angeles-george-floyd/6225597/'],Wikipedia
249,2020-06-01,"Walnut, CA",120.0,more than 100 people,['https://www.sgvtribune.com/2020/06/01/crowd-gathers-for-peaceful-protest-in-walnut/'],Wikipedia
250,2020-06-04,"Westwood, Los Angeles, CA",1200.0,"more than 1,000 people",['https://www.dailynews.com/2020/06/04/more-than-1000-protest-in-westwood-with-ucla-police-arrest-center-in-mind/'],Wikipedia
251,2020-05-31,"Whittier, CA",200.0,hundreds,['https://Secure.gravatar.com/Avatar/7aad0d8447868432591bde162d40de20?s=70'],Wikipedia
252,2020-06-01,"West Covina, CA",,around 170 people,['https://www.whittierdailynews.com/2020/06/01/entrances-to-west-covina-shopping-center-closed-due-to-protest/'],Wikipedia
253,2020-06-03,"West Hollywood, CA",2000.0,thousands,['https://www.wehoville.com/2020/06/03/thousands-march-in-peaceful-west-hollywood-protest-against-police-brutality/'],Wikipedia
254,2020-01-01,"Aliso Viejo, CA",,73,['https://www.youtube.com/watch?v=CNgsgpdpIwI'],Wikipedia
255,2020-06-01,"Anaheim, CA",550.0,more than 500 protesters,['https://www.ocregister.com/police-report-25-arrests-during-anaheim-protests-that-drew-hundreds'],Wikipedia
256,2020-06-02,"Brea, CA",200.0,Hundreds,['https://abc7.com/6227842/'],Wikipedia
257,2020-05-31,"Huntington Beach, CA",550.0,more than 500 people,"['https://www.nbclosangeles.com/news/local/huntington-beach-pier-protest-ended-by-police/2371698/', 'https://voiceofoc.org/2020/05/huntington-beach-protest-against-floyd-police-killing-declared-unlawful-by-police-after-counter-demonstrators-show-up/']",Wikipedia
258,2020-05-31,"Irvine, CA",,,"['https://www.ocregister.com/black-lives-matter-protest-in-irvine-is-peaceful', 'https://www.ocregister.com/protesters-kneel-as-passing-cars-honk-during-demonstration-at-irvine-city-hall-june-2']",Wikipedia
259,2020-01-01,"Laguna Beach, CA",,at least 100 protesters,['https://www.latimes.com/socal/daily-pilot/news/story/2020-06-05/laguna-beach-natives-come-home-to-lead-black-lives-matter-protest-at-main-beach'],Wikipedia
260,2020-06-03,"Newport Beach, California, CA",,Four,"['https://abc7.com/6230698/', 'https://abc7.com/6231002/', 'https://abc7.com/6230698/', 'https://abc7.com/society/protests-held-across-oc-including-4-in-newport-beach/6228583/']",Wikipedia
261,2020-05-30,"Orange, CA",200.0,hundreds,['https://www.ocregister.com/2020/05/30/hundreds-gather-at-orange-circle-plaza-to-protest-police-brutality/'],Wikipedia
262,2020-05-31,"San Clemente, CA",,more than 700 people,"['https://www.ocregister.com/2-protests-over-george-floyds-death-in-san-clemente-on-sunday', 'https://patch.com/california/sanclemente/500-gather-san-clemente-pier-peaceful-protest']",Wikipedia
263,2020-05-30,"Santa Ana, CA",200.0,about 200 protesters,['https://www.nbclosangeles.com/news/local/orange-county-anti-police-demonstration/2371099/'],Wikipedia
264,2020-06-02,"La Quinta, CA",,About 50 to 60,"['https://www.desertsun.com/story/news/local/2020/06/03/rally-underway-rancho-mirage-string-desert-protests-continue/3139176001/', 'https://mynewsla.com/crime/2020/06/04/protest-against-police-brutality-planned-for-cathedral-city/']",Wikipedia
265,2020-06-03,"Rancho Mirage, CA",,More than 125,['https://www.desertsun.com/story/news/local/2020/06/03/rally-underway-rancho-mirage-string-desert-protests-continue/3139176001/'],Wikipedia
266,2020-01-01,"Riverside, CA",200.0,Hundreds,['https://www.pe.com/riverside-protest-over-george-floyds-death-underway'],Wikipedia
267,2020-06-01,"Palm Springs, CA",,"50, 500, one","['https://www.desertsun.com/story/news/2020/06/01/demonstrations-over-death-george-floyd-planned-across-palm-springs-area/5308128002/', 'https://kesq.com/news/2020/06/01/peaceful-protest-to-take-place-in-downtown-palm-springs/']",Wikipedia
268,2020-06-01,"Palm Desert, CA",,at least 500,"['https://www.desertsun.com/story/news/2020/06/01/demonstrations-over-death-george-floyd-planned-across-palm-springs-area/5308128002/', 'https://twitter.com/nbcpalmsprings/status/1267604367604985857', 'https://kesq.com/news/top-stories/2020/06/01/organizers-of-el-paseo-march-change-plans/', 'https://twitter.com/everettdaytona/status/1267613015198666752', 'https://twitter.com/markolalde/status/1267619743235665920/photo/1', 'https://www.youtube.com/watch?v=IaBzTb6yM-k', 'https://twitter.com/luforshort/status/1267647580965441536', 'https://twitter.com/TheTomBurkeShow/status/1267647439407734789']",Wikipedia
269,2020-05-31,"Hemet, CA",200.0,hundreds,['https://myvalleynews.com/hemet-protests-turn-violent/'],Wikipedia
270,2020-05-30,"Temecula, CA",200.0,hundreds,['https://patch.com/california/temecula/temecula-protest-over-george-floyd-killing-draws-hundreds'],Wikipedia
271,2020-06-01,"Barstow, CA",,,['https://www.vvdailypress.com/news/20200601/barstow-adelanto-declare-local-emergencies-set-curfews-lsquoin-response-to-civil-unrestrsquo'],Wikipedia
272,2020-05-31,"Chino, CA",,About 35,"['https://www.championnewspapers.com/news/article_1d8ed3ec-a74b-11ea-9cdd-37fff80fce4c.html', 'https://www.championnewspapers.com/gallery/collection_8ccf7f22-a84a-11ea-9884-43f7784b40b1.html']",Wikipedia
273,2020-05-31,"Chino Hills, CA",200.0,hundreds,"['https://www.newsbreak.com/california/chino-hills/news/0PCpzseG/hundreds-protest-death-of-george-floyd-in-chino-hills', 'https://www.chinohills.org/CivicAlerts.aspx?AID=2243']",Wikipedia
274,2020-05-31,"Joshua Tree/Twentynine Palms/Yucca Valley, CA",,100,['http://www.hidesertstar.com/news/article_e7fbab40-a39b-11ea-bd19-bb8ebd97b4cc.html'],Wikipedia
275,2020-05-31,"Montclair, CA",,,['https://www.cityofmontclair.org/residents/city-of-montclair-curfew'],Wikipedia
276,2020-05-29,"Fontana, CA",,"One hundred, Nine",['https://abc7.com/black-lives-matter-blm-fontana-violent-protest/6218615/'],Wikipedia
277,2020-05-31,"Victorville, CA",,at least 100,"['https://www.vvdailypress.com/news/20200531/victorville-rally-draws-dozens-protesting-george-floydrsquos-death-and-others', 'https://fox5sandiego.com/news/local-news/san-diego-county-requests-national-guard/', 'https://www.cbs8.com/article/news/local/san-diego-county-requests-national-guard/509-5778e495-c0b8-4ddb-a5af-17a96d6a20a4', 'https://www.kpbs.org/news/2020/jun/09/la-mesa-protest-riots-fires-police-george-floyd/', 'https://www.kpbs.org/news/2020/jun/06/la-mesa-protest-riots-fires-police-george-floyd/']",Wikipedia
279,2020-06-08,"Cardiff, CA",,,['https://www.kpbs.org/news/2020/jun/07/ninth-day-of-protests-san-diego-county/'],Wikipedia
280,2020-06-05,"Carlsbad, CA",200.0,hundreds,['https://fox5sandiego.com/news/local-news/watch-live-protesters-rally-in-carlsbad/'],Wikipedia
281,2020-01-01,"Chula Vista, CA",24.0,Several dozen,"['https://fox5sandiego.com/news/local-news/watch-live-peaceful-protest-taking-place-in-chula-vista/', 'https://www.nbcsandiego.com/videos/officers-protesters-kneel-together-in-chula-vista/2340540/', 'https://www.kpbs.org/news/2020/jun/07/ninth-day-of-protests-san-diego-county/']",Wikipedia
282,2020-05-31,"Coronado, CA",,,['https://coronadotimes.com/news/2020/05/31/memorial-for-george-floyd-grows-at-coronado-beach/'],Wikipedia
284,2020-06-06,"Del Mar Heights, CA",,About 300,['https://timesofsandiego.com/politics/2020/06/06/peaceful-justice-protests-include-3000-at-county-administration-center/'],Wikipedia
285,2020-05-31,"Encinitas, CA",200.0,Hundreds,"['https://www.thecoastnews.com/protesters-gather-at-memorial-for-george-floyd-in-encinitas/', 'https://www.pacificsandiego.com/latest/story/2020-06-10/teens-rally-in-encinitas-for-black-lives-matter']",Wikipedia
286,2020-06-02,"Escondido, CA",,,"['https://www.kusi.com/protests-spread-across-san-diego-county-on-third-night-of-unrest/', 'https://fox5sandiego.com/news/local-news/watch-live-demonstrators-march-in-escondido/']",Wikipedia
287,2020-06-08,"Hillcrest, CA",,,['https://www.kpbs.org/news/2020/jun/07/ninth-day-of-protests-san-diego-county/'],Wikipedia
288,2020-06-07,"Imperial Beach, CA",,,"['https://www.kpbs.org/news/2020/jun/08/imperial-beach-assault-called-disturbing/', 'https://www.cbs8.com/article/news/local/imperial-beach-investigation-attack-protesters-punch-black-lives-matter-hate-crime/509-553ee8b4-a75f-4a58-b838-9a1cc01ba83a']",Wikipedia
289,2020-06-04,"Julian, CA",,,['https://www.cbs8.com/gallery/news/local/julian-protest-june-4-2020/509-5e39fe24-a187-48b3-85bc-9495fc1c2ca5'],Wikipedia
290,2020-01-01,"La Jolla, CA",,,[],Wikipedia
291,2020-01-01,"La Mesa, CA",,,[],Wikipedia
292,2020-06-04,"Mira Mesa, CA",24.0,Several dozen,['https://timesofsandiego.com/crime/2020/06/03/san-diego-area-protests-against-police-brutality-continue-for-sixth-day/'],Wikipedia
294,2020-06-06,"Pacific Beach, CA",200.0,Hundreds,"['https://www.pbmonthly.net/news/story/2020-06-06/paddle-for-peace-protesters-rally-at-tourmaline-surf-spot-to-honor-george-floyd', 'https://www.kpbs.org/news/2020/jun/07/ninth-day-of-protests-san-diego-county/']",Wikipedia
295,2020-06-04,"Poway, CA",,More than 100,['https://timesofsandiego.com/crime/2020/06/03/san-diego-area-protests-against-police-brutality-continue-for-sixth-day/'],Wikipedia
296,2020-06-01,"Ramona, CA",120.0,more than 100 protesters,['https://www.sandiegouniontribune.com/ramona-sentinel/news/story/2020-06-02/protesters-in-ramona-call-for-an-end-to-racism-and-oppression'],Wikipedia
298,2020-01-01,"San Diego, CA",,,[],Wikipedia
299,2020-01-01,"Balboa Park to the Pride Flag in Hillcrest. A smaller group remained in the evening. SDPD declared an illegal assembly at 11, CA",,,"['https://www.cbs8.com/article/news/local/san-diego-protest-hillcrest/509-a8ec5485-9b9f-4ed6-a0c7-7b61494bb59d', 'https://www.nbcsandiego.com/news/local/peaceful-protest-marches-from-san-diegos-balboa-park-to-waterfront-as-cars-honk-in-support/2338773/']",Wikipedia
301,2020-06-03,"Solana Beach, CA",220.0,over 200 protesters,['https://www.delmartimes.net/news/story/2020-06-03/solana-beach-protests-death-of-george-floyd'],Wikipedia
302,2020-06-06,"University Heights, CA",100.0,about 100 people,['https://timesofsandiego.com/politics/2020/06/06/peaceful-justice-protests-include-3000-at-county-administration-center/'],Wikipedia
303,2020-05-30,"Oxnard, CA",,more than 300 protesters,['https://www.vcstar.com/story/news/local/2020/05/30/hundreds-march-through-oxnard-protest-george-floyd-death/5292622002/'],Wikipedia
304,2020-06-06,"Simi Valley, CA",,"thousands, four",['https://www.nbclosangeles.com/news/california-news/large-crowds-march-across-california-for-george-floyd/2376076/'],Wikipedia
305,2020-05-30,"Thousand Oaks, CA",120.0,more than 100 protesters,"['https://www.vcstar.com/story/news/local/2020/05/30/george-floyd-protest-thousand-oaks-black-lives-matter-march-police/5288998002/', 'https://www.kqed.org/news/11822469/george-floyd-police-violence-protests-curfew-bay-area', 'https://www.sfchronicle.com/crime/article/Attorney-identifies-SF-resident-fatally-shot-by-15315301.php?utm_campaign=CMS%20Sharing%20Tools%20(Premium)&utm_source=t.co&utm_medium=referral', 'https://www.theguardian.com/us-news/2020/jun/04/vallejo-police-kill-unarmed-man-california', 'https://news.yahoo.com/homicides-los-angeles-increase-250-125611007.html']",Wikipedia
306,2020-06-04,"Alamosa, CO",,,['https://krdo.com/news/2020/06/06/video-shows-moments-surrounding-alamosa-protest-shooting/'],Wikipedia
307,2020-05-30,"Aspen, CO",24.0,Dozens,['https://www.aspentimes.com/news/taking-a-stand-aspen-locals-peacefully-protest-speak-out-about-death-of-george-floyd/'],Wikipedia
308,2020-06-02,"Aurora, CO",,,"['https://www.9news.com/article/news/local/local-politics/live-updates-day-6-george-floyd-protests-denver/73-989dac5f-0b87-4f8b-a696-6109ff652cb5', 'https://twitter.com/AuroraPD/status/1267974621090975744', 'https://www.outtherecolorado.com/denver-mayor-marches-with-protesters-after-floyds-death/']",Wikipedia
309,2020-05-29,"Boulder, CO",50.0,about 50 people,"['https://denver.cbslocal.com/2020/05/29/george-floyd-boulder-protest-sit-in-quiet/', 'https://www.dailycamera.com/hundreds-march-through-boulder-demanding-justice-for-george-floyd']",Wikipedia
310,2020-05-30,"Colorado Springs, CO",300.0,about 300 protesters,"['https://www.kktv.com/content/news/Protesters-take-to-downtown-Colorado-Springs-570898891.html', 'https://www.fox21news.com/news/local/photos-second-day-of-protests-in-colorado-springs/', 'https://www.kktv.com/content/news/Protests-continue-on-Sunday-in-Colorado-Springs-tied-to-the-death-of-George-Floyd-570912271.html']",Wikipedia
311,2020-05-28,"Denver, CO",,,"['https://denver.cbslocal.com/2020/05/28/shots-fired-during-police-accountability-protest-at-denver-capitol/', 'https://www.nytimes.com/aponline/2020/05/28/us/ap-us-minneapolis-police-death-denver-protest-1st-ld-writethru.html', 'https://www.9news.com/article/news/local/denver-george-floyd-protest/73-95def5bb-52fd-4a61-8c1d-f25ae571fddd', 'https://www.9news.com/article/news/local/denver-man-protesting-george-floyd-death-hit-by-driver-car/73-d3646e45-d191-4569-8dbc-f9ed429b0019', 'https://www.9news.com/article/news/local/local-politics/denver-protests-george-floyd-day-4/73-205de2c5-6732-46e9-8621-160dbbef17e2', 'https://edition.cnn.com/us/live-news/george-floyd-protests-05-30-20/h_b70609abb1c3c366f8b8b83cfadbe398', 'https://www.9news.com/article/news/local/local-politics/denver-protests-george-floyd-day-4/73-205de2c5-6732-46e9-8621-160dbbef17e2', 'https://denver.cbslocal.com/2020/05/29/violent-denver-protests-13-arrests-3-police-officers-hurt-george-floyd/', 'https://edition.cnn.com/us/live-news/george-floyd-protests-06-02-20/h_ec92756b8756cd0ad5d4ab45e71973b7', 'https://www.youtube.com/watch?v=XgXSMsvU1A4', 'https://www.denverpost.com/2020/06/02/denver-colorado-george-floyd-protests-june-1-arrests/', 'https://www.denverpost.com/2020/06/05/federal-judge-orders-denver-police-stop-projectiles-protesters/', 'https://coloradosun.com/2020/06/02/denver-police-response-protests-under-investigation/Complaints']",Wikipedia
312,2020-05-28,"Fort Collins, CO",100.0,about 100 protesters,"['https://www.coloradoan.com/story/news/2020/05/28/george-floyd-death-fort-collins-police-nationwide-protests-violence-brutality/5280671002/', 'https://www.coloradoan.com/story/news/2020/06/01/monday-protests-over-george-floyds-death-denver-fort-collins/5313273002/']",Wikipedia
313,2020-06-01,"Glenwood Springs, CO",24.0,dozens,['https://www.aspentimes.com/news/local/in-glenwood-springs-dozens-rally-for-justice-in-killing-of-george-floyd/'],Wikipedia
314,2020-06-01,"Pueblo, CO",400.0,around 400 people,['https://www.chieftain.com/news/20200601/protesters-take-to-pueblo-streets-in-honor-of-george-floyd'],Wikipedia
315,2020-05-30,"Bridgeport, CT",,,['https://www.courant.com/news/connecticut/hc-news-hartford-protest-police-brutality-20200530-o3ge6bxtbvc6rcjcnrwkkolhgi-story.html'],Wikipedia
316,2020-06-03,"Danbury, CT",,,['https://patch.com/connecticut/danbury/danbury-black-lives-matter-marchers-brave-rain-i-84-traffic'],Wikipedia
317,2020-06-06,"East Granby, CT",,,[],Wikipedia
318,2020-06-06,"East Hartford, CT",,,[],Wikipedia
