,date,city_st,size,size_str,urls,collection
18,2020-06-02,"Twin Falls, ID",,Almost 300,"['https://magicvalley.com/news/local/hundreds-gather-in-vigil-for-george-floyd-in-twin-falls-city-park/article_b4db39e6-6674-5636-b282-535e07004fee.html', 'missing', 'https://www.indystar.com/story/news/local/indianapolis/2020/05/29/indianapolis-police-shooting-two-dozen-protest-dreasjon-reed-death/5286076002/', 'https://www.kcci.com/article/developing-protesters-face-off-with-police-in-downtown-des-moines/32717301', 'https://www.desmoinesregister.com/story/news/2020/05/30/live-protesters-gather-outside-police-department-des-moines-george-floyd/5295600002/', 'https://www.cjonline.com/news/20200530/large-rally-at-statehouse-protests-police-brutality', 'https://apnews.com/8d411463f159e217fed1f7654f9060a0', 'https://web.archive.org/web/20200529061518/https://www.nytimes.com/2020/05/29/us/louisville-protest-shooting-breonna-taylor.html', 'https://www.theadvocate.com/baton_rouge/multimedia/photos/collection_fc447130-a374-11ea-ba75-13e315745881.html', 'https://www.theadvocate.com/baton_rouge/news/article_9fce16c8-a3be-11ea-81df-bb86c7ec1bea.html', 'https://www.theadvocate.com/baton_rouge/multimedia/photos/collection_789e5fd6-a477-11ea-ae85-17835c860bbc.html', 'https://www.theadvocate.com/baton_rouge/news/article_1ee0197a-a531-11ea-b182-07d56d784d43.html', 'https://bangordailynews.com/2020/06/07/news/protesters-at-the-maine-state-house-demand-equality-and-end-to-police-violence/', 'https://marylandreporter.com/2020/05/31/floyd-protests-heat-up-reopen-maryland-protests-cool-down/', 'https://baltimore.cbslocal.com/2020/05/29/march-held-in-baltimore-to-protest-death-of-george-floyd-derek-chauvin-minneapolis/', 'http://foxbaltimore.com/news/local/hundreds-of-protesters-demonstrate-in-bel-air', 'https://www.wusa9.com/article/news/maryland-bethesda-protests-george-floyd/65-45ba836d-e034-47a7-9b5d-13e6930d6760', 'https://www.wbaltv.com/article/columbia-annapolis-baltimore-march-for-george-floyd/32747196', 'https://patch.com/maryland/germantown/demonstrators-germantown-protest-death-george-floyd', 'https://www.nbcwashington.com/news/local/fifth-night-of-dc-protests-over-death-of-george-floyd-underway/2320601/', 'https://boston.cbslocal.com/2020/05/29/boston-south-end-protest-police-brutality-mass-action-against-police-brutality-george-floyd/', 'https://www.wcvb.com/article/boston-protest-held-in-south-end-demanding-justice-for-george-floyd/32715976', 'Missing']",Wikipedia
19,2020-05-30,"Biloxi, Biloxi",50.0,about 50 people,"['https://www.sunherald.com/news/local/counties/harrison-county/article243125321.html', 'https://www.sunherald.com/news/local/article243152551.html']",Wikipedia
20,2020-05-31,"Hattiesburg, Hattiesburg",,about 30 protesters,['https://www.hattiesburgamerican.com/story/news/local/2020/05/31/ms-protesters-march-sunday-hattiesburg-over-george-floyd-death/5302408002/'],Wikipedia
21,2020-05-29,"Jackson, MS",,About 25,['https://www.wlbt.com/2020/05/29/peaceful-protest-takes-place-outside-mississippi-state-capitol/'],Wikipedia
22,2020-05-30,"Oxford, MS",300.0,about 300 people,"['https://www.clarionledger.com/story/sports/college/ole-miss/2020/05/31/ole-miss-oxford-reacted-george-floyd-death-nationwide-protests/5299668002/', 'https://www.clarionledger.com/story/news/2020/05/31/george-floyd-protests-ms-teacher-accused-vandalizing-ole-miss-statue/5301617002/']",Wikipedia
23,2020-05-28,"Petal, MS",,at least 200 people,"['https://www.clarionledger.com/story/news/2020/05/28/hal-marx-pearl-ms-mayor-under-fire-george-floyd-remark/5280513002/', 'https://www.clarionledger.com/story/news/local/2020/05/29/george-floyd-death-petal-ms-protesters-call-mayor-step-down/5282435002/', 'https://www.buzzfeednews.com/article/annehelenpetersen/black-lives-matter-protests-near-me-small-towns', 'https://www.hattiesburgamerican.com/story/news/local/2020/06/03/mississippi-protesters-still-want-mayors-resignation/3130497001/']",Wikipedia
24,2020-05-30,"Tupelo, MS",200.0,Several hundred,"['https://www.newsbreak.com/mississippi/tupelo/news/0PCYmZk9/rally-held-in-tupelo-to-protest-death-of-george-floyd', 'https://www.kshb.com/news/local-news/kc-police-use-pepper-spray-to-disperse-westport-protesters']",Wikipedia
25,2020-05-30,"Billings, MT",,About 50,['https://billingsgazette.com/news/local/black-lives-matter-rally-held-in-downtown-billings-attracts-crowd/article_83098a4b-36cf-53d8-8892-803002d63678.html'],Wikipedia
26,2020-05-31,"Bozeman, MT",,"approximately 2,000 protesters",['https://www.bozemandailychronicle.com/news/bozeman-turns-out-for-peaceful-march-and-rally/article_03f4fda8-9537-5da0-85d5-0edc8e0356c7.html'],Wikipedia
27,2020-06-05,"Butte, MT",100.0,around 100 protesters,['https://mtstandard.com/news/local/photos-butte-holds-peaceful-protest-for-black-lives-matter/collection_963e75e9-25a4-5b09-adbc-45cf71e936c1.html'],Wikipedia
28,2020-05-31,"Great Falls, MT",200.0,hundreds,"['https://www.krtv.com/news/protesters-gather-peacefully-in-great-falls-and-helena-video', 'https://www.greatfallstribune.com/story/news/2020/05/31/something-needs-change-residents-rally-against-police-brutality/5300953002/']",Wikipedia
29,2020-05-31,"Havre, MT",100.0,hundred,['https://www.buzzfeednews.com/article/annehelenpetersen/black-lives-matter-protests-near-me-small-towns'],Wikipedia
30,2020-05-31,"Helena, MT",,about 150 people,['https://helenair.com/news/local/about-150-gather-at-montana-capitol-to-protest-george-floyds-death/article_dcb790c5-93b2-5737-a7cd-12a804c3cd04.html'],Wikipedia
31,2020-06-06,"Kalispell, MT",1200.0,"over 1,000 people",['https://www.dailyinterlake.com/news/2020/jun/07/hundreds-converge-on-kalispell-for-protest-6/'],Wikipedia
32,2020-05-29,"Missoula, MT",200.0,hundreds,"['https://missoulian.com/news/local/hundreds-rally-in-missoula-for-george-floyd/article_ebf90bbe-9a7d-5775-b5c8-52989e83a3e2.html', 'https://www.npr.org/sections/live-updates-protests-for-racial-justice/2020/06/10/873751544/the-concerned-citizen-who-happens-to-be-armed-is-showing-up-at-protests']",Wikipedia
33,2020-06-01,"Whitefish, MT",,up to 70 protesters,"['https://nbcmontana.com/news/local/whitefish-man-charged-after-protest-confrontation', 'https://www.1011now.com/content/news/George-Floyd-Protests--570878351.html']",Wikipedia
34,2020-06-06,"Carson City, NV",,almost 60 people,['https://www.kolotv.com/content/news/Protesters-calling-for-an-end-to-racism-571079491.html'],Wikipedia
35,2020-06-04,"Elko, NV",,at least a dozen,['https://twitter.com/iLLZakieL/status/1268797152857223169'],Wikipedia
36,2020-06-08,"Fallon, NV",,approximately 70 people,['https://www.rgj.com/story/news/2020/06/08/group-gathers-rural-nevada-black-lives-matters-sit/5322143002/'],Wikipedia
