date,city_st,urls,collection
05/30/2020,"St. Paul, MN",['https://minnesota.cbslocal.com/video/4573406-protests-underway-at-governors-residence-in-st-paul/'],New York Times
05/30/2020,"New Iberia, LA",['https://www.klfy.com/local/weekend-peaceful-protest-planned-in-new-iberia-and-lafayette-in-honor-of-george-floyd/'],New York Times
05/30/2020,"Temple Terrace, FL",['https://www.tampabay.com/gallery/2020/05/30/photos-protests-over-death-of-george-floyd-erupt-in-tampa/'],New York Times
05/30/2020,"Opelika, AL",['https://www.wsfa.com/2020/05/30/crowd-gathers-opelika-protest-death-george-floyd/'],New York Times
05/30/2020,"Rock Hill, SC",['https://www.heraldonline.com/news/local/community/article243114296.html'],New York Times
05/30/2020,"Syracuse, NY","['https://www.syracuse.com/crime/2020/05/how-george-floyd-protests-in-syracuse-went-from-peaceful-to-chaotic.html', 'https://www.syracuse.com/news/2020/05/syracuse-protests-live-updates-demonstrators-ignore-curfew-standoff-with-police.html']",New York Times
05/30/2020,"Albany, NY",['https://wnyt.com/albany-new-york-news/rally-peaceful-protest-held-in-albany-in-wake-of-george-floyds-death/5745637/'],New York Times
05/30/2020,"Bellevue, WA",['https://komonews.com/news/local/determined-to-wreak-havoc-bellevue-looting-was-organized-event-police-say'],New York Times
05/30/2020,"Tyler, TX",['https://www.kltv.com/2020/06/01/downtown-tyler-protest-organizer-we-can-be-change-we-want-see/'],New York Times
05/30/2020,"Salisbury, NC",['https://www.salisburypost.com/2020/06/02/downtown-protests-continue-for-third-night/'],New York Times
05/30/2020,"Columbia, SC",['https://www.postandcourier.com/photo_galleries/photos-peaceful-columbia-demonstration-followed-by-violence/collection_15c06a40-a2cd-11ea-95d5-07769fdb501b.html'],New York Times
05/30/2020,"Lowell, MA",['https://www.lowellsun.com/2020/05/30/candlelight-vigil-in-lowell-honors-memory-of-george-floyd-decries-police-violence/'],New York Times
05/30/2020,"Austin, TX","['https://www.ksat.com/news/local/2020/05/30/watch-aerial-view-of-protests-in-austin/', 'https://www.kvue.com/article/news/local/austin-protest-texas-capitol-floyd-ramos-police-black-lives-matter/269-1bde0077-b0d9-48f7-968e-583198a81432']",New York Times
05/30/2020,"Cincinnati, OH",['https://www.cincinnati.com/story/news/2020/05/30/cincinnati-curfew-protest-george-floyd-what-you-need-to-know/5295220002/'],New York Times
05/30/2020,"Carlsbad, NM",['https://www.currentargus.com/story/news/local/2020/06/01/george-floyd-carlsbad-sees-peaceful-protest-wake-death/5307637002/'],New York Times
05/30/2020,"Santa Clarita, CA",['https://www.nbclosangeles.com/news/local/hundreds-protest-in-santa-clarita-over-george-floyds-death/2371105/'],New York Times
05/30/2020,"Galveston, TX",['https://www.galvnews.com/news/article_7ed08e79-71c3-5070-b2e2-f094fde6a456.html'],New York Times
05/30/2020,"Farmington, NM",['https://durangoherald.com/articles/326787'],New York Times
05/30/2020,"Winston-Salem, NC","['https://www.journalnow.com/news/local/series-of-peaceful-black-lives-matter-protesters-take-to-winston-salem-from-morning-to-night/article_c5107d8e-961c-5e5e-ade4-cfc57fc2746a.html', 'https://www.journalnow.com/news/local/hundreds-of-protesters-march-through-downtown-winston-salem/article_6a0cfb7e-0ced-5773-9c20-dc2d1094f95e.html']",New York Times
05/30/2020,"Little Rock, AR",['https://www.arkansasonline.com/news/2020/may/31/in-lr-rally-near-capitol-turns-violent-/'],New York Times
05/30/2020,"Orange, CA",['https://www.ocregister.com/2020/05/30/hundreds-gather-at-orange-circle-plaza-to-protest-police-brutality/'],New York Times
05/30/2020,"New Rochelle, NY",['https://dailyvoice.com/new-york/pelham/news/protest-in-new-rochelle-draws-nearly-2000-including-mariano-rivera/788884/'],New York Times
05/30/2020,"Tampa, FL",['https://www.abcactionnews.com/news/region-hillsborough/hundreds-of-people-gather-across-tampa-bay-to-protest-after-death-of-george-floyd'],New York Times
05/30/2020,"Tucson, AZ",['https://tucson.com/news/local/photos-peaceful-protests-and-violent-clashes-in-downtown-tucson/collection_b58e8d9a-a237-11ea-9779-a7d2ba0788e5.html'],New York Times
05/30/2020,"Las Vegas, NV",['https://www.fox5vegas.com/news/protest-stays-peaceful-majority-go-home-tuesday-night-in-las-vegas/article_881ada92-a540-11ea-ad1d-93a7eaedf086.html'],New York Times
05/30/2020,"New London, CT",['https://www.theday.com/local-news/20200530/demonstrators-march-in-new-london-to-protest-george-floyd-death'],New York Times
05/30/2020,"Buffalo, NY",['https://www.wkbw.com/news/local-news/updates-from-george-floyd-protest-in-downtown-buffalo'],New York Times
05/30/2020,"Norfolk, VA",['https://www.13newsnow.com/article/news/local/mycity/norfolk/demonstrators-march-in-norfolk-rally-outside-police-operations-center/291-6722fe37-369b-470c-b881-610b0d00e69c'],New York Times
05/30/2020,"Pueblo, CO",['https://krdo.com/news/top-stories/2020/05/30/rally-in-pueblo-saturday-protests-police-violence/'],New York Times
05/30/2020,"St. Louis, MO",['https://www.ksdk.com/article/news/local/george-floyd-protests-st-louis/63-21ae884c-e724-4697-902b-018c5644d0df'],New York Times
05/30/2020,"Greensboro, NC",['https://www.wxii12.com/article/greensboro-marchers-protesting-death-george-floyd/32719916'],New York Times
05/30/2020,"San Diego, CA",['https://www.sandiegouniontribune.com/news/courts/story/2020-06-02/downtown-san-diego-site-of-peaceful-march-marking-fifth-day-of-protests-in-the-region'],New York Times
05/30/2020,"Sumter, SC",['https://www.wltx.com/article/news/local/street-squad/sumter/protesters-gather-at-the-sumter-police-department-following-death-of-george-floyd/101-f7e1fb5a-87a5-429e-b0dd-c58269810877'],New York Times
05/30/2020,"Charlotte, NC",['https://www.charlotteobserver.com/news/local/crime/article243226516.html'],New York Times
05/30/2020,"Manassas, VA",['https://www.washingtonpost.com/local/manassas-braces-for-another-night-of-protest-as-demonstrations-spread-across-dc-region/2020/05/31/2e0e0fc0-a387-11ea-b473-04905b1af82b_story.html'],New York Times
05/30/2020,"Elgin, IL",['https://www.chicagotribune.com/suburbs/elgin-courier-news/ct-ecn-elgin-protest-police-station-george-floyd-st-0603-20200602-mxop6saxmfeajo2li6nw56mxja-story.html'],New York Times
05/30/2020,"Columbus, GA","['https://www.ledger-enquirer.com/news/local/article243139011.html', 'https://www.wtvm.com/2020/05/31/peaceful-protest-held-broadway-downtown-columbus/']",New York Times
05/30/2020,"San Francisco, CA",['https://www.sfchronicle.com/bayarea/article/George-Floyd-Protests-live-updates-Oakland-quiet-15305914.php'],New York Times
05/30/2020,"Richmond, VA",['https://www.nbc12.com/2020/06/03/hundreds-gather-along-monument-avenue-sixth-day-protests/'],New York Times
05/30/2020,"Lancaster, PA",['https://www.wgal.com/article/police-say-protesters-and-child-hit-with-pepper-spray-in-lancaster/32721123'],New York Times
05/30/2020,"Bryan, TX",['https://www.theeagle.com/news/local/bryan-demonstration-against-racism-police-violence-draws-hundreds/article_7de53bc4-a3bc-11ea-bf9b-4fa484ecd8b1.html'],New York Times
05/30/2020,"Valdosta, GA",['https://www.valdostadailytimes.com/news/local_news/valdosta-protests-peaceful-police-monitor-social-media/article_5e97e55b-fff6-5443-929c-2f46d28b4878.html'],New York Times
05/30/2020,"Fort Worth, TX",['https://www.star-telegram.com/news/local/fort-worth/article243220821.html'],New York Times
05/30/2020,"Visalia, CA",['https://www.fresnobee.com/news/local/article243128101.html'],New York Times
05/30/2020,"Placentia, CA",['https://www.ocregister.com/2020/06/06/crowd-protesting-police-brutality-met-by-counter-protesters-near-huntington-beach-pier/'],New York Times
05/30/2020,"Durham, NC",['https://www.cbs17.com/news/local-news/durham-county-news/it-went-beautiful-hundreds-at-durham-protest-remain-peaceful-saturday/'],New York Times
05/30/2020,"Macon, GA",['https://www.macon.com/news/local/article243141786.html'],New York Times
05/30/2020,"Marrero, LA",['https://www.nola.com/news/article_5bd641e4-a2d2-11ea-a1e4-b37ae5c25db3.html'],New York Times
05/30/2020,"Fayetteville, NC",['https://www.newsobserver.com/news/state/north-carolina/article243193151.html'],New York Times
05/30/2020,"Portsmouth, VA",['https://www.13newsnow.com/article/news/local/mycity/portsmouth/protesters-chant-hands-up-dont-shoot-in-olde-towne-portsmouth/291-e5aa3dd7-e2ff-49b5-8e5d-e059e4d057eb'],New York Times
05/30/2020,"Hammond, IN",['https://www.nwitimes.com/news/local/lake/hammond/watch-now-cops-form-blockade-to-keep-protesters-off-i-80-94-mayor-works-to/article_6aa8b36f-03a4-5139-8cb5-e70655a8a14d.html'],New York Times
05/30/2020,"Waikiki, HI",['https://www.hawaiinewsnow.com/2020/05/30/packed-peaceful-black-lives-matter-protesters-take-streets-oahu/'],New York Times
05/30/2020,"Atlanta, GA",['https://www.ajc.com/news/photos-fourth-day-protests-metro-atlanta/MCm931ZVgGoFjjIjFwMqqL/'],New York Times
05/30/2020,"Flint, MI",['https://www.michiganradio.org/post/protests-turn-violent-grand-rapids-and-detroit-flint-and-others-stay-peaceful'],New York Times
05/30/2020,"Orlando, FL",['https://www.orlandosentinel.com/news/crime/os-ne-george-floyd-orlando-protests-derek-chauvin-20200530-vfatj3xlybdcbh6dbzie6qi22e-story.html'],New York Times
05/30/2020,"Gainesville, GA",['https://www.gainesvilletimes.com/news/public-safety/small-group-gathering-sunday-protest-along-jesse-jewell-parkway/'],New York Times
05/30/2020,"Saginaw, MI",['https://www.wsgw.com/saginaw-sees-peaceful-protests-amid-riots-elsewhere/'],New York Times
05/30/2020,"Rancho Cucamonga, CA",['https://www.dailybulletin.com/2020/05/30/hundreds-gather-for-2nd-day-of-protests-in-rancho-cucamonga-after-george-floyds-death/'],New York Times
05/30/2020,"Rochester, NY",['https://www.democratandchronicle.com/story/news/2020/05/30/rochester-ny-vandalism-fires-curfew-protest/5294187002/'],New York Times
05/30/2020,"Washington, DC",['https://www.washingtonpost.com/local/new-fencing-encircles-white-house-continued-federal-forces-on-day-5-of-dc-protests/2020/06/02/d323e112-a4e8-11ea-b473-04905b1af82b_story.html'],New York Times
05/30/2020,"Milwaukee, WI",['https://www.jsonline.com/story/news/2020/06/03/protesters-and-police-squared-off-downtown-milwaukee-what-happened/3134797001/'],New York Times
05/30/2020,"Philadelphia, PA",['https://www.inquirer.com/news/george-floyd-protests-philadelphia-gas-police-vine-street-expressway-20200601.html'],New York Times
05/30/2020,"Augusta, GA",['https://www.augustachronicle.com/news/20200530/augusta-demonstrators-promote-peace-over-violence-in-marches-for-racial-justice'],New York Times
05/30/2020,"Coral Gables, FL",['https://wsvn.com/news/local/miami-dade/tense-confrontations-between-protesters-and-police-follow-peaceful-marches-in-downtown-miami-coral-gables/'],New York Times
05/30/2020,"Lake Worth, FL",['https://www.palmbeachpost.com/news/20200530/no-violence-as-hundreds-march-for-justice-in-lake-worth-beach'],New York Times
05/30/2020,"Cleveland, OH",['https://www.cleveland.com/metro/2020/05/police-protesters-clash-in-downtown-cleveland-during-george-floyd-protests-as-businesses-looted-curfew-imposed.html'],New York Times
05/30/2020,"Englewood, NJ",['https://www.northjersey.com/story/news/local/2020/05/30/nj-protests-thousands-rally-newark-englewood-george-floyd/5287303002/'],New York Times
05/30/2020,"Bakersfield, CA",['https://www.turnto23.com/news/local-news/bakersfield-police-preparing-for-another-possible-protest-saturday-evening'],New York Times
05/30/2020,"Providence, RI",['https://www.wpri.com/top-stories/rally-to-be-held-in-providence-to-protest-george-floyds-death/'],New York Times
05/30/2020,"Yuma, AZ",['https://www.kawc.org/post/photo-gallery-dozens-yuma-peacefully-protest-death-george-floydin-favor-blacklivesmatter'],New York Times
05/30/2020,"Allentown, PA","['https://www.wfmz.com/news/area/lehighvalley/hundreds-in-allentown-bethlehem-protest-over-alleged-murder-of-man-by-minneapolis-police/article_b357f9f2-a2dd-11ea-abff-a3093ec026d0.html', 'https://www.mcall.com/news/local/allentown/mc-pictures-rally-for-justice-20200531-ulsoccso6nharc4xyo3abk7xgi-photogallery.html']",New York Times
05/30/2020,"Chicago, IL",['https://www.chicagotribune.com/news/breaking/ct-loop-protests-property-damage-20200530-ncvxjtwglnfoddlyj4yuhd6lwm-story.html'],New York Times
05/30/2020,"Peekskill, NY",['http://westchester.news12.com/story/42192270/peekskill-peacefully-protests-policecustody-death-of-george-floyd'],New York Times
05/30/2020,"Sacramento, CA",['https://www.sacbee.com/news/local/article243168821.html'],New York Times
05/30/2020,"Fullerton, CA",['https://fullertonobserver.com/2020/05/31/george-floyd-demonstration-in-fullerton/'],New York Times
05/30/2020,"New York, NY",['https://www.nytimes.com/2020/05/30/nyregion/protests-nyc-george-floyd.html'],New York Times
05/30/2020,"Montgomery, AL",['https://www.wsfa.com/2020/05/30/large-crowd-rallies-alabama-capitol-protests-death-george-floyd/'],New York Times
05/30/2020,"Seaside, CA",['http://www.montereycountyweekly.com/blogs/news_blog/hundreds-gather-in-monterey-and-seaside-to-protest-for-justice-for-george-floyd-and-an/article_e3d62e38-a2c8-11ea-8f8d-df6a6c0357e8.html'],New York Times
05/30/2020,"New Orleans, LA",['https://www.nola.com/multimedia/photos/collection_2c3bed42-a2a2-11ea-83cc-cbb84c6828d8.html#11'],New York Times
05/30/2020,"Riverside, CA",['https://www.pe.com/2020/05/30/protest-over-george-floyd-killing-held-in-riverside/'],New York Times
05/30/2020,"Corpus Christi, TX",['https://www.caller.com/story/news/local/2020/05/30/corpus-christi-protesters-stand-solidarity-george-floyd/5292728002/'],New York Times
05/30/2020,"Killeen, TX",['https://www.kwtx.com/content/news/Killeen-Hundreds-gather-for-peaceful-protest--570914221.html'],New York Times
05/30/2020,"Wilmington, DE",['https://www.delawareonline.com/story/news/2020/05/30/wilmington-protests-george-floyd-turn-violent-night/5295496002/'],New York Times
05/30/2020,"Dallas, TX",['https://www.dallasnews.com/news/2020/06/01/dallas-protests-set-to-continue-for-4th-night-despite-citys-curfew/'],New York Times
05/30/2020,"Los Angeles, CA",['https://www.latimes.com/california/story/2020-05-30/hundreds-arrested-after-looting-vandalism-sweep-downtown-la'],New York Times
05/30/2020,"Baltimore, MD",['https://www.baltimoresun.com/maryland/baltimore-city/bs-md-ci-baltimore-protest-george-floyd-20200530-bjz7m3jcdbg2vazznu7nujdqne-story.html'],New York Times
05/30/2020,"Fresno, CA",['https://www.fresnobee.com/news/local/article243130146.html'],New York Times
05/30/2020,"Merced, CA",['https://www.mercedsunstar.com/news/local/article243118036.html'],New York Times
05/30/2020,"Memphis, TN",['https://dailymemphian.com/section/metro/article/14560/floyd-protest-live-blog-day-7'],New York Times
05/30/2020,"Porterville, CA",['https://www.recorderonline.com/news/protest-over-death-of-george-floyd-held-in-porterville/article_9bcb9dae-a2f9-11ea-81f6-4397d9d5b71f.html'],New York Times
05/30/2020,"San Antonio, TX",['https://www.expressnews.com/news/local/article/Fourth-day-of-protests-in-San-Antonio-that-15312562.php#photo-19491478'],New York Times
05/30/2020,"New Brunswick, NJ",['https://www.tapinto.net/towns/franklin-township/sections/other-nj-news/articles/300-march-in-new-brunswick-to-protest-george-floyd-s-death-3'],New York Times
05/30/2020,"Houston, TX",['https://abc13.com/protests-for-george-floyd-continue-for-second-day-in-houston/6221812/'],New York Times
05/30/2020,"Vallejo, CA",['https://www.timesheraldonline.com/2020/05/31/protesters-and-vallejo-police-face-off-saturday-night/'],New York Times
05/30/2020,"Birmingham, AL",['https://www.al.com/news/birmingham/2020/05/peaceful-protests-for-george-floyd-spread-across-alabama.html'],New York Times
05/30/2020,"Ferguson, MO",['https://www.stltoday.com/news/local/metro/updates-from-may-31-into-june-1-police-fire-tear-gas-at-ferguson-protesters-six/article_bc2ab368-8757-5681-8f0a-f56e493f65f6.html'],New York Times
05/30/2020,"Harrisburg, PA","['https://www.wgal.com/article/harrisburg-george-floyd-protest/32720042', 'https://www.yorkdispatch.com/story/news/local/pennsylvania/2020/05/30/police-riot-gear-clash-protesters-harrisburg/5294711002/']",New York Times
05/30/2020,"Victorville, CA",['https://www.vvdailypress.com/news/20200531/victorville-rally-draws-dozens-protesting-george-floydrsquos-death-and-others'],New York Times
05/30/2020,"Albany, GA",['https://www.albanyherald.com/news/albany-protesters-hold-peaceful-demonstration/article_fe38c644-a2a2-11ea-8ebd-dfb499b56812.html'],New York Times
05/30/2020,"Stockton, CA","['https://twitter.com/heykevinjohn/status/1267263135301242882', 'https://www.abc10.com/article/news/local/sacramento/day-2-of-sacramento-george-floyd-protests/103-0e407a5a-906b-4c26-ac3b-6f449efa3be7']",New York Times
05/30/2020,"Pecos, TX",['https://www.cbs7.com/content/news/Black-Lives-Matter-protesters-march-in-Pecos-570901711.html'],New York Times
05/30/2020,"Fremont, CA",['https://www.timesheraldonline.com/2020/06/02/bay-areas-george-floyd-protests-keep-spreading-thousands-march-in-fremont-san-franciscos-great-highway/'],New York Times
05/30/2020,"Bridgeport, CT",['https://www.wtnh.com/news/protest-in-bridgeport-spills-onto-route-8/'],New York Times
05/30/2020,"Brentwood, NY",['http://longisland.news12.com/story/42191815/peaceful-protest-held-in-brentwood-over-death-of-george-floyd'],New York Times
05/30/2020,"Honolulu, HI",['https://www.khon2.com/local-news/protests-in-waikiki-after-george-floyds-death-in-minnesota/'],New York Times
05/30/2020,"Oxnard, CA",['https://www.vcstar.com/story/news/local/2020/05/30/hundreds-march-through-oxnard-protest-george-floyd-death/5292622002/'],New York Times
05/30/2020,"Hartford, CT","['https://ctmirror.org/2020/05/30/people-throughout-connecticut-protest-the-death-of-george-floyd/', 'https://www.wtnh.com/news/connecticut/hartford/pd-monitoring-peaceful-protest-against-police-brutality-for-the-third-day-in-a-row-in-hartford/']",New York Times
05/30/2020,"Pomona, CA","['https://www.sbsun.com/2020/05/30/about-250-protest-george-floyd-killing-in-pomona/', 'https://www.newsbreak.com/california/pomona/news/0PCWXRn8/about-250-protest-george-floyd-killing-in-pomona']",New York Times
05/30/2020,"Miami, FL",['https://twitter.com/patriciamazzei/status/1266857793992167424?s=21'],New York Times
05/30/2020,"Newark, NJ",['https://www.nj.com/news/2020/05/newark-traffic-stopped-flag-burned-during-george-floyd-protests.html'],New York Times
05/30/2020,"Detroit, MI",['https://www.freep.com/story/news/local/michigan/detroit/2020/06/03/george-floyd-protests-anti-police-brutality/3127450001/'],New York Times
05/30/2020,"Santa Ana, CA",['https://www.ocregister.com/2020/05/30/protesters-in-santa-ana-throw-fireworks-and-explosives-at-police-officers-declare-an-unlawful-assembly/'],New York Times
05/30/2020,"Paterson, NJ",['https://www.northjersey.com/story/news/local/2020/05/30/nj-protests-thousands-rally-newark-englewood-george-floyd/5287303002/'],New York Times
05/30/2020,"Kahului, HI",['https://mauinow.com/2020/05/30/video-black-lives-matter-maui-rally-seeks-unity-and-peace/'],New York Times
05/30/2020,"Edinburg, TX",['https://www.brownsvilleherald.com/2020/05/30/valley-demonstrators-protest-george-floyd-death/'],New York Times
05/30/2020,"Camden, NJ",['https://www.nj.com/camden/2020/05/nj-police-chief-carries-banner-helps-lead-march-in-peaceful-protest-of-george-floyd-killing.html'],New York Times
05/30/2020,"Laredo, TX",['https://www.lmtonline.com/local/article/Laredoans-hold-protest-at-City-Hall-15306004.php'],New York Times
05/30/2020,"Oahu, HI",['https://www.hawaiinewsnow.com/2020/05/30/packed-peaceful-black-lives-matter-protesters-take-streets-oahu/'],New York Times
05/30/2020,"Cape Cod, MA",['https://www.capecodtimes.com/news/20200531/cape-joins-in-nationwide-protests-over-george-floyds-death'],New York Times
05/30/2020,"Kailua-Kona, HI",['https://bigislandnow.com/2020/06/01/west-hawaii-protest-draws-hundreds-sunday/'],New York Times
05/30/2020,"Adrian, MI",['https://www.lenconnect.com/news/20200531/adrian-protest-condemns-police-brutality'],New York Times
05/31/2020,"Scituate, MA",['https://www.patriotledger.com/news/20200531/dozens-in-scituate-peacefully-protest-death-of-george-floyd'],New York Times
05/31/2020,"Hollidaysburg, PA",['https://www.wearecentralpa.com/news/local-news/residents-gather-at-canal-basin-park-in-hollidaysburg-to-protest-death-of-george-floyd/'],New York Times
05/31/2020,"Southwick, MA",['https://www.wwlp.com/news/local-news/hampden-county/southwick-protestors-call-for-justice-over-death-of-george-floyd//'],New York Times
05/31/2020,"Salisbury, CT",['https://tricornernews.com/salisbury/protests-against-police-injustice-held-salisbury'],New York Times
05/31/2020,"Conway, NH",['https://www.unionleader.com/news/safety/about-200-gather-at-conway-black-lives-matter-protest/article_b0bf72a6-4fd3-56c6-99ab-ded4a84b009a.html'],New York Times
05/31/2020,"Dubois, PA",['https://www.connectradio.fm/2020/06/01/protests-and-demonstrations-remain-peaceful-in-dubois/'],New York Times
05/31/2020,"Belfast, ME",['https://bangordailynews.com/2020/06/01/news/midcoast/tensions-flicker-when-protestors-block-belfast-intersection-at-anti-racism-rally/'],New York Times
05/31/2020,"Keene, NY",['https://www.pressrepublican.com/news/local_news/keene-protest-against-police-brutality/article_dc0fd4cc-b836-56ea-a76b-01670d1a3612.html'],New York Times
05/31/2020,"Skowhegan, ME",['https://www.centralmaine.com/2020/05/31/protesters-in-skowhegan-respond-to-suspects-death-in-minneapolis/?rel=related&rel=related'],New York Times
05/31/2020,"Pottsville, PA",['https://coalregioncanary.com/2020/05/31/freedom-to-breathe-george-floyd-protest-in-pottsville-stays-civil/'],New York Times
05/31/2020,"Decorah, IA",['https://www.decorahnews.com/news-stories/2020/06/25440.html'],New York Times
05/31/2020,"Hibbing, MN",['https://www.duluthnewstribune.com/news/6515701-Iron-Range-protests-prompt-curfew-orders'],New York Times
05/31/2020,"Milton, PA",['https://www.dailyitem.com/news/peaceful-protest-staged-today-in-milton/article_cf8de1ec-a36c-11ea-9b68-6b4ff585b4f6.html'],New York Times
05/31/2020,"Burns, OR",['https://www.opb.org/news/article/protesters-march-george-floyd-portland-sixth-night/'],New York Times
05/31/2020,"Milford, PA",['http://www.pikecountycourier.com/news/local-news/hundreds-march-in-milford-to-condemn-the-murder-of-george-floyd-BC1172201'],New York Times
05/31/2020,"Haddonfield, NJ",['https://www.courierpostonline.com/story/news/local/south-jersey/2020/06/01/peaceful-protesters-march-haddonfield-protest-racist-violence/5301908002/'],New York Times
05/31/2020,"Winona, MN",['https://www.news8000.com/mobile-protest-over-death-of-george-floyd-organized-by-winona-area-faith-leaders/'],New York Times
05/31/2020,"Angola, IN",['https://www.kpcnews.com/heraldrepublican/article_97e50551-331a-5173-9aff-1bb497696152.html'],New York Times
05/31/2020,"Hermitage, PA",['https://www.sharonherald.com/news/protesters-gather-at-hermitage-city-building/article_4cadcfd4-a47b-11ea-bd81-8bc457b72b6b.html'],New York Times
05/31/2020,"Newark, OH",['https://www.newarkadvocate.com/story/news/local/2020/05/31/protest-beginning-downtown-newark/5297992002/'],New York Times
05/31/2020,"Butler, PA",['https://butlerradio.com/protest-in-diamond-park/'],New York Times
05/31/2020,"Petoskey, MI",['https://www.petoskeynews.com/featured-pnr/petoskey-protests-express-opposition-to-police-violence-racial-injustice/article_665abc1c-dd6c-59d5-aea7-50beea183176.html'],New York Times
05/31/2020,"Port Townsend, WA",['https://www.peninsuladailynews.com/news/protestings-racism-port-townsend-port-angeles-rally/'],New York Times
05/31/2020,"Wellfleet, MA",['https://www.capecodtimes.com/news/20200531/cape-joins-in-nationwide-protests-over-george-floyds-death'],New York Times
05/31/2020,"Boone, NC",['https://www.wataugademocrat.com/news/hundreds-join-black-lives-matter-protest-in-boone/article_e74f0069-93a2-5715-9ca3-3b61b4c1dae7.html'],New York Times
05/31/2020,"Florence, OR",['https://kcfmradio.com/2020/06/01/locals-peaceably-protest-medical-director-retires-graduation-format-suspect-had-stay-in-jail-new-coronavirus-numbers-from-oha/'],New York Times
05/31/2020,"Helena, MT",['https://www.krtv.com/news/protesters-gather-peacefully-in-great-falls-and-helena-video'],New York Times
05/31/2020,"Vail, CO",['https://www.vaildaily.com/news/peaceful-protest-in-support-of-black-lives-matter-planned-tonight-in-vail/'],New York Times
05/31/2020,"Bozeman, MT",['https://www.bozemandailychronicle.com/news/bozeman-turns-out-for-peaceful-march-and-rally/article_03f4fda8-9537-5da0-85d5-0edc8e0356c7.html'],New York Times
05/31/2020,"Kingsport, TN",['https://wcyb.com/news/local/peaceful-protests-for-george-floyd-and-black-lives-matter-movement-take-place-all-weekend'],New York Times
05/31/2020,"Wheeling, WV",['https://www.wtrf.com/top-stories/no-justice-no-peace-peaceful-but-powerful-protest-held-in-wheeling/'],New York Times
05/31/2020,"Piqua, OH",['https://www.dailycall.com/news/78923/protesters-take-to-streets-in-piqua-in-peaceful-march'],New York Times
05/31/2020,"Oswego, NY",['https://oswegocountytoday.com/accept-oswego-hosts-peaceful-demonstration-for-black-lives/news/oswego/'],New York Times
05/31/2020,"Franklin, NJ",['https://www.app.com/story/news/local/2020/05/31/peaceful-march-franklin-protests-racial-injustices/5301001002/'],New York Times
05/31/2020,"Maryville, TN",['https://www.wbir.com/article/news/local/maryville-blount/hundreds-form-silent-protest-in-blount-county-to-end-silence/51-2e430dd5-cebc-4076-aafd-b450570172e3'],New York Times
05/31/2020,"Ocean City, MD",['https://www.wmdt.com/2020/05/black-lives-matter-protesters-march-in-ocean-city-on-sunday/'],New York Times
05/31/2020,"Olean, NY",['https://www.oleantimesherald.com/news/hundreds-protest-in-olean-over-george-floyd-death-2-fights-reported/article_7b972157-56f9-5cb8-aabf-e366e37214dc.htmll'],New York Times
05/31/2020,"Brattleboro, VT","['https://www.reformer.com/stories/police-brutality-condemned-in-large-downtown-protest,605909']",New York Times
05/31/2020,"Eastsound, WA",['https://www.islandssounder.com/news/islanders-stand-with-george-floyd/'],New York Times
05/31/2020,"Portsmouth, OH",['https://www.portsmouth-dailytimes.com/news/49639/peace-prevails-at-portsmouth-protest'],New York Times
05/31/2020,"Hays, KS",['https://hayspost.com/posts/5ed44fb3ebfb13423b2696c3'],New York Times
05/31/2020,"Tiffin, OH",['https://go.tiffinohio.net/2020/05/photos-peaceful-protest-in-downtown-tiffin-amid-national-outcry-after-george-floyds-death/'],New York Times
05/31/2020,"Eau Claire, WI","['https://www.leadertelegram.com/news/front-page/hundreds-in-ec-peacefully-protest-george-floyd-s-death/article_7272d6be-2ff7-5f01-a690-203bdf9cdab8.html', 'https://wqow.com/2020/05/31/large-crowd-protests-george-floyds-death-in-eau-claire/']",New York Times
05/31/2020,"Marquette, MI",['https://www.miningjournal.net/news/front-page-news/2020/05/protest-in-downtown-marquette/'],New York Times
05/31/2020,"Darien, CT",['https://darienite.com/hundreds-march-in-darien-to-protest-death-of-george-floyd-57596'],New York Times
05/31/2020,"Livonia, MI",['https://www.hometownlife.com/story/news/local/livonia/2020/06/01/livonia-protest-police-brutality-peaceful-george-floyd/5303066002/'],New York Times
05/31/2020,"Mason City, IA",['https://www.kimt.com/content/news/Protesters-take-to-downtown-Mason-City-Sunday-night-570914471.html'],New York Times
05/31/2020,"Quincy, IL",['https://wgem.com/2020/05/31/quincy-protesters-hold-george-floyd-memorial-march//'],New York Times
05/31/2020,"North Adams, MA",['https://www.iberkshires.com/story/62349/Hundreds-Gather-in-North-Adams-to-Protest-Police-Violence-.html'],New York Times
05/31/2020,"Detroit Lakes, MN",['https://www.dl-online.com/news/6515899-Protest-ends-in-Detroit-Lakes-without-incident-Sunday-night'],New York Times
05/31/2020,"Provincetown, MA",['https://www.capecodtimes.com/photogallery/CC/20200601/NEWS/601009997/PH/1'],New York Times
05/31/2020,"Wooster, OH",['https://www.the-daily-record.com/news/20200531/wooster-joins-police-brutality-protest-efforts'],New York Times
05/31/2020,"Berea, KY",['https://www.richmondregister.com/news/peaceful-protests-coming-to-richmond/article_e6fd6d02-67b3-566d-ad27-e657a0d1f89b.html'],New York Times
05/31/2020,"Janesville, WI",['https://www.nbc15.com/content/news/Peaceful-George-Floyd-protest-held-in-Janesville-570907051.html'],New York Times
05/31/2020,"Fairmont, WV",['https://www.wvnews.com/news/wvnews/more-than-100-gather-in-fairmont-for-protest-against-police-brutality-death-of-george-floyd/article_faec4173-a459-5a08-a052-4d8496f735ac.html'],New York Times
