id,date,city_st,location,size,size_str,urls,collection
,2020-05-28,"Beaumont, Texas",", Beaumont, Texas",,,['https://www.beaumontenterprise.com/news/article/Beaumont-NAACP-rally-urges-Justice-for-George-15302116.php'],CCC
,2020-05-28,"Birmingham, AL","Kelly Ingram Park , Birmingham, AL",100.0,more than 100,['https://www.al.com/news/birmingham/2020/05/we-should-be-fed-up-birmingham-activists-protest-george-floyds-death.html'],CCC
,2020-05-28,"Blaine, MN","Northtown Mall, Blaine, MN",2.0,arrests,['https://www.hometownsource.com/abc_newspapers/news/publicsafety/police-minimal-damage-at-northtown-mall-after-crowd-gathered-to-protest-may-28/article_27436088-a1ec-11ea-8c7b-27d19de7c5db.html'],CCC
,2020-05-28,"Boston, MA","Ashmont T Stop, Boston, MA",24.0,dozens,['https://www.masslive.com/springfield/2020/05/george-floyds-death-in-minneapolis-prompts-hundreds-to-protest-police-brutality-outside-springfield-police-headquarters.html'],CCC
,2020-05-28,"Brainerd, MN","6th and Washington, Brainerd, MN",60.0,over 60 ,['https://www.brainerddispatch.com/news/6511578-Over-60-gather-at-6th-and-Washington-in-Brainerd-to-protest-racial-injustice'],CCC
,2020-05-28,"Chicago, IL","Englewood; North State St; Halsted St; 68th St; 70th St, Chicago, IL",,,"['https://www.chicagotribune.com/news/criminal-justice/ct-chicago-george-floyd-police-protest-20200528-feeoz7qiincjxnc3ixjxmqpjwe-story.html', 'https://blockclubchicago.org/2020/05/29/protest-for-george-floyd-planned-for-downtown-this-weekend/']",CCC
,2020-05-28,"Columbus, OH","Statehouse, Columbus, OH",400.0,around 400,"['https://www.thedenverchannel.com/news/national/columbus-protest-over-george-floyds-death-turns-violent', 'https://www.10news.com/news/national/columbus-protest-over-george-floyds-death-turns-violent', 'https://www.bgdailynews.com/news/national/columbus-protest-over-george-floyds-death-turns-violent/article_4de147ee-c75f-5bef-99c1-e73541a7866d.html']",CCC
,2020-05-28,"Deluth, MN",", Deluth, MN",100.0,about 100,['https://www.startribune.com/protests-over-george-floyd-s-death-spread-to-duluth/570833832/'],CCC
,2020-05-28,"Denver, CO","Capitol; downtown streets; Civic Center area; I-25, Denver, CO",615.0,several hundred; close to 1000,"['https://kdvr.com/news/local/shots-fired-near-colorado-capitol-during-protest-demanding-justice-for-george-floyd/', 'https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html', 'https://the-journal.com/articles/177539-colorado-leaders-call-for-calm-after-violent-protest#slide=2']",CCC
,2020-05-28,"Denver, CO",", Denver, CO",200.0,at least 200,['https://twitter.com/UR_Ninja/status/1266208309222072321?s=03'],CCC
,2020-05-28,"Fontana, CA","8400 block of Sierra Avenue, Fontana, CA",100.0,about 100,"['https://abc7.com/9-arrested-at-black-lives-matter-protest-in-fontana/6218615/', 'https://www.sbsun.com/2020/05/29/police-make-arrests-in-fontana-during-protest-over-george-floyds-death/', 'https://www.latimes.com/california/story/2020-05-29/fontana-protest-over-george-floyds-death-ends-in-9-arrests-police-say']",CCC
,2020-05-28,"Forest Grove, OR","in front of library, Forest Grove, OR",7.0,about 7,['https://www.galescreekjournal.com/posts/381/hundreds-gather-in-forest-grove-to-protest-police-brutality-against-black-americans'],CCC
,2020-05-28,"Fort Collins, CO","Fort Collins Police Services Building, Fort Collins, CO",100.0,several hundred,"['https://www.coloradoan.com/picture-gallery/news/2020/05/29/george-floyd-black-lives-matter-protests-gather-outside-fort-collins-police-colorado-violence-force/5280608002/', 'https://www.coloradoan.com/story/news/2020/05/28/george-floyd-death-fort-collins-police-nationwide-protests-violence-brutality/5280671002/']",CCC
,2020-05-28,"Framingham, MA","Concord St, Framingham, MA",30.0,about 30,['https://www.metrowestdailynews.com/news/20200528/framingham-high-alums-hold-protest-over-george-floyds-death'],CCC
,2020-05-28,"Fridley, MN",", Fridley, MN",6.0,arrests,['http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/'],CCC
,2020-05-28,"Gettysburg, PA","Gettysburg Square, Gettysburg, PA",,,['https://www.abc27.com/news/local/protesters-fill-gettysburg-square-to-condemn-death-of-george-floyd/'],CCC
,2020-05-28,"Hayward, CA","Hayward Police Department , Hayward, CA",50.0,about 50,['https://sanfrancisco.cbslocal.com/2020/05/28/demonstrators-protest-hayward-police-shooting-man-driveway/'],CCC
,2020-05-28,"Lansing, MI","State Capitol, Lansing, MI",50.0,about 50,['https://www.detroitnews.com/story/news/politics/2020/05/28/we-have-arm-ourselves-michigan-demonstrators-protest-brutality/5275209002/'],CCC
,2020-05-28,"Las Vegas, NV","Las Vegas Boulevard, Las Vegas, NV",100.0,about a hundred,['https://www.ktnv.com/news/peaceful-demonstration-in-las-vegas-for-justice-after-george-floyds-death'],CCC
,2020-05-28,"Los Angeles, CA","LA Police Headquarters; Highway 101, Los Angeles, CA",100.0,nearly 100,['https://www.smdp.com/george-floyd-protesters-march-from-santa-monica-to-venice/192147'],CCC
,2020-05-28,"Louisville, KY",", Louisville, KY",200.0,hundreds,"['https://www.nytimes.com/2020/05/29/us/louisville-protest-shooting-breonna-taylor.html', 'https://www.courier-journal.com/picture-gallery/news/local/2020/05/29/breonna-taylor-shooting-protesters-gather-downtown-louisville/5280403002/']",CCC
,2020-05-28,"Louisville, KY","Downtown, City Hall , Louisville, KY",1010.0,hundreds; thousands,"['https://www.courier-journal.com/story/news/2020/05/28/breonna-taylor-shooting-protesters-rally-downtown-louisville/5280279002/', 'https://www.wdrb.com/community/lmpd-will-be-joined-friday-by-kentucky-state-police-in-monitoring-expected-protest-over-breonna/article_48b61692-a1f2-11ea-900c-675130956f30.html', 'https://www.lex18.com/news/national/reports-7-protesters-shot-in-kentucky-amid-protests']",CCC
,2020-05-28,"Maplewood, MN","Maplewood Mall, Maplewood, MN",,,['http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/'],CCC
,2020-05-28,"Memphis, TN","National Civil Rights Museum , Memphis, TN",200.0,more than 200,"['https://dailymemphian.com/article/14413/protest-shuts-down-union-george-floyd', 'https://dailymemphian.com/article/14459/jim-strickland-george-floyd-memphis-protest']",CCC
,2020-05-28,"Minneapolis, MN","Outside third precinct; downtown, Minneapolis, MN",200.0,hundred; several arrests,"['https://www.fox9.com/news/rioters-set-minneapolis-police-precinct-on-fire-as-protests-reignite-over-george-floyds-death', 'https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html', 'https://abcnews.go.com/US/dangerous-protests-erupt-overnight-george-floyds-death-minneapolis/story?id=70924047']",CCC
,2020-05-28,"Minneapolis, MN",", Minneapolis, MN",2000.0,thousands marched peacefully,['https://www.kcra.com/article/minneapolis-police-precinct-on-fire-as-protests-grow/32706050#'],CCC
,2020-05-28,"Minneapolis, MN","site of Floyd's killing , Minneapolis, MN",200.0,hundreds,['https://www.lcsun-news.com/picture-gallery/news/2020/05/29/george-floyd-mourners-protesters-gather-minneapolis/5280609002/'],CCC
,2020-05-28,"New York, NY","Union Square; Foley Square; City Hall; Zuccotti Park, New York, NY",200.0,about 200,"['https://www.nydailynews.com/new-york/nyc-crime/ny-protest-union-square-george-floyd-20200528-t5wka5sycjhu5kqxusu7zzy6ju-story.html', 'https://www.pix11.com/news/local-news/friday-rally-planned-after-over-70-arrested-in-union-square-protest-over-george-floyd-death', 'https://twitter.com/JoshuaPotash/status/1266120705420255236']",CCC
,2020-05-28,"New York , NY ","Barclay Center , New York , NY ",1000.0,estimated at 1000,['https://www.nydailynews.com/new-york/ny-protest-police-brutality-george-floyd-20200529-vvmrqd2bqbh67lo4tdgouijqwi-story.html'],CCC
,2020-05-28,"Oakdale , MN","Near Chauvin's home, Oakdale , MN",,,"['6 arrests day prior (these arrests are in addition to)', 'https://www.twincities.com/2020/05/29/more-george-floyd-protesters-arrested-in-oakdale-chief-says-police-must-protect-life-and-property-in-city/']",CCC
,2020-05-28,"Oakland, CA",", Oakland, CA",,,['https://abc7news.com/oakland-protest-george-floyd-black-lives-matter-minneapolis/6219682/'],CCC
,2020-05-28,"Oakland , CA ","Police Headquarters; various , Oakland , CA ",40.2,a few dozen; about 60   ,"['https://sfist.com/2020/05/29/second-protest-planned-friday-evening-in-oakland-over-george-floyd-death/', 'https://www.sfchronicle.com/bayarea/article/Oakland-braces-for-protest-Friday-over-15302366.php']",CCC
,2020-05-28,"Omaha, NE","precinct at 30th and Taylor streets, Omaha, NE",40.0,about 40,['https://www.omaha.com/news/local/watch-now-omahans-rally-to-protest-death-of-george-floyd-black-minneapolis-man-at-hands/article_7a1b1c26-5c1e-5b06-88fa-c827fbaf33c5.html#6'],CCC
,2020-05-28,"Phoenix, AZ","City Hall; downtown; Capitol, Phoenix, AZ",245.0,hundreds; several hundreds ,"['https://www.azcentral.com/picture-gallery/news/local/phoenix/2020/05/29/hundreds-gather-downtown-phoenix-protest-death-george-floyd-minneapolis/5281116002/; https://twitter.com/andrew_howard4/status/1266243486539374596', 'https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html', 'https://www.azcentral.com/story/news/local/phoenix-breaking/2020/05/28/phoenix-protest-stand-solidarity-family-george-floyd/5276289002/']",CCC
,2020-05-28,"Portland, OR","near Portland Police Bureau;  SW Main & 3rd Ave , Portland, OR",,,"['https://pamplinmedia.com/pt/9-news/468533-379451-looting-erupts-in-downtown-portland-police-declare-riot-?wallit_nosession=1', 'https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html', 'https://twitter.com/JenDowlingKoin6/status/1266158001657753602?s=20']",CCC
,2020-05-28,"Portland, OR","Terry Schrunk Plaza, Portland, OR",,,['https://www.kptv.com/news/naacp-hosts-rally-in-downtown-portland-to-honor-victims-of-police-brutality/article_208d325c-a1e0-11ea-add0-2ff515c4131e.html'],CCC
,2020-05-28,"Roseville, MN",", Roseville, MN",,,['http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/'],CCC
,2020-05-28,"San Jose, CA","City Hall, San Jose, CA",200.0,hundreds,['https://www.nbcbayarea.com/news/local/demonstrations-in-bay-area-over-george-floyds-death/2298701/'],CCC
,2020-05-28,"Santa Monica, CA",", Santa Monica, CA",24.0,dozens ,"['https://www.smdp.com/george-floyd-protesters-march-from-santa-monica-to-venice/192147', 'https://abc7.com/black-lives-matter-blm-fontana-violent-protest/6218615/']",CCC
,2020-05-28,"Santa Monica, CA",", Santa Monica, CA",24.0,dozens,"['https://santamariatimes.com/news/local/state-and-regional/9-arrested-in-california-protest-over-george-floyd-death/article_050c8f92-5c7e-54d9-b0d5-840c2953f5be.html', 'https://abc7.com/black-lives-matter-blm-fontana-violent-protest/6218615/']",CCC
,2020-05-28,"St. Anthony, MN",", St. Anthony, MN",,,['http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/'],CCC
,2020-05-28,"St. Louis, MO","Interstate 70 , St. Louis, MO",200.0,hundreds,['https://www.stltoday.com/news/local/metro/several-hundred-protesters-gather-in-st-louis-to-protest-deadly-arrest-in-minneapolis/article_1dad790b-137f-5da1-8875-5363540b63ab.html'],CCC
,2020-05-28,"St. Louis , MO ","Police Department Headquarters, St. Louis , MO ",100.0,about 100,['https://www.stltoday.com/news/multimedia/pictures/photos-protesters-in-ferguson-and-st-louis-hold-solidarity-protests-for-minneapolis/collection_8823c01b-4f09-5259-be14-180e11d281ba.html#anchor_item_4'],CCC
,2020-05-28,"St. Louis Park, MN","Minnetonka Boulevard Bridge, St. Louis Park, MN",24.0,dozens ,['https://www.hometownsource.com/sun_sailor/community/stlouispark/protest-in-george-floyd-s-city-of-residence-urges-action/article_26bfa7a6-a1f7-11ea-8706-af51c3960e80.html'],CCC
,2020-05-28,"St. Paul, MN","Midway; Target, St. Paul, MN",200.0,at least 200,"['https://www.twincities.com/2020/05/28/st-paul-police-responding-to-large-groups-in-midway-area-some-trying-to-steal-items-from-target-store/', 'https://www.mic.com/p/protests-over-george-floyds-death-are-escalating-in-minneapolis-beyond-22942046']",CCC
,2020-05-28,"St. Peter, MN","Minnesota Square Park, St. Peter, MN",245.0,hundreds; nearly 300,"['https://www.mankatofreepress.com/news/local_news/social-racial-justice-rally-slated-in-st-peter-today/article_6a799106-a0ed-11ea-b200-bfa10dd6a302.html', 'https://www.mankatofreepress.com/news/hundreds-protest-in-st-peter-over-the-death-of-george-floyd/article_636411dc-a153-11ea-89b1-df137400cd26.html']",CCC
,2020-05-28,"Stanwood, WA","by McDonald’s, Stanwood, WA",1.0,1,['https://www.heraldnet.com/news/protesters-turn-out-in-monroe-lake-stevens-event-planned/'],CCC
,2020-05-28,"Trenton, NJ","War Memorial, Trenton, NJ",,,['https://www.youtube.com/watch?v=ZtknfQ9m19U'],CCC
,2020-05-28,"Vallejo, CA","Wilson Park, Vallejo, CA",100.0,about 100,"['https://www.dailyrepublic.com/all-dr-news/wires/about-100-march-to-vallejo-police-station-to-protest-floyd-death-times-herald-vallejo-calif/', 'https://www.timesheraldonline.com/about-100-march-to-vallejo-police-station-to-protest-floyd-death']",CCC
