id,date,city_st,location,size,size_str,urls,collection
5547,2017-06-17,"Minneapolis, MN","Minneapolis, MN",150.0,150.0,"['http://minnesota.cbslocal.com/2017/06/17/loring-park-yanez-castile-rally/', 'http://www.mankatofreepress.com/region/the-latest-gather-at-minnesota-park-for-castile-rally/article_71a794fa-5f79-599a-8ddd-488fbdb4fc65.html']",Count Love
5556,2017-06-17,"Dallas, TX","Dallas, TX",300.0,300.0,['https://www.dallasnews.com/news/news/2017/06/17/hundreds-join-jordan-edwards-family-dallas-march-police-brutality'],Count Love
5560,2017-06-18,"St. Anthony, MN","St. Anthony, MN",100.0,100.0,"['http://minnesota.cbslocal.com/2017/06/18/fathers-day-protest-philando-castile/', 'http://www.postbulletin.com/news/state/around-the-state-castile-protesters-target-city-where-officer-worked/article_c8dfd02c-bbc2-5868-90af-66b50d2605dc.html']",Count Love
5563,2017-06-18,"Chicago, IL","Chicago, IL",100.0,100.0,"['http://www.chicagotribune.com/news/media/93883768-132.html', 'http://www.vagazette.com/93883768-132.html']",Count Love
5573,2017-06-19,"St. Paul, MN","St. Paul, MN",,nan,"['http://www.twincities.com/2017/06/19/philando-castile-case-protesters-to-yanez-acquittal-plan-noon-rally-at-capitol/', 'http://www.sctimes.com/story/news/local/minnesota/2017/06/20/families-philando-rally-capitol/410992001/']",Count Love
5585,2017-06-20,"Berkeley, CA","Berkeley, CA",500.0,500.0,"['http://www.sfchronicle.com/bayarea/article/2-arrests-in-protest-of-Berkeley-City-Council-11236336.php', 'https://www.eastbaytimes.com/2018/07/24/ex-teacher-photojournalist-sue-berkeley-police-for-excessive-force-during-protest/', 'http://www.dailycal.org/2018/07/25/3-individuals-sue-city-berkeley-berkeley-police-chief-alleged-excessive-force-protest/']",Count Love
5642,2017-06-25,"Missoula, MT","Missoula, MT",25.0,25.0,['http://missoulian.com/news/local/missoulians-march-to-bring-attention-to-police-treatment-of-minorities/article_1a30ca76-c5e8-5016-89f5-e8f31ceb4149.html'],Count Love
5644,2017-06-25,"Minneapolis, MN","Minneapolis, MN",75.0,75.0,"['http://minnesota.cbslocal.com/2017/06/25/pride-parade-protesters-police/', 'http://www.twincities.com/2017/06/25/glbt-pride-parade-interrupted-by-protesters-rolls-through-downtown-minneapolis/']",Count Love
5701,2017-06-28,"Cincinnati, OH","Cincinnati, OH",20.0,20.0,['http://wsav.com/ap/dozens-of-protesters-demand-3rd-trial-in-police-shooting/'],Count Love
5771,2017-07-04,"Madison, WI","Madison, WI",10.0,10.0,['http://www.waow.com/story/35815043/2017/07/05/man-dies-after-shot-by-deputy-on-milwaukee-lakefront'],Count Love
8592,2017-07-08,"Cincinnati, OH","Cincinnati, OH",,nan,['https://www.cincinnati.com/story/news/politics/2017/11/28/cincinnatis-black-lives-matter-brings-old-question-new-protesters-should-we-protestors-arm-themselve/739145001/'],Count Love
